game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,0,0,0:12:00,0:00:00,0:00:00,2,DAL,jump ball,,Bam Adebayo,Dwight Powell,,,,,,,Dwight Powell,,Dorian Finney-Smith,,,,jump ball,,,,,,Jump Ball Powell vs. Adebayo: Tip to Finney-Smith
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,0,0,0:11:40,0:00:20,0:00:20,3,MIA,foul,,,,,,,,Luka Doncic,,Andre Iguodala,,,p.foul,,,personal,,,,,,Iguodala P.FOUL (P1.T1) (M.Boland)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,0,0,0:11:29,0:00:31,0:00:11,4,DAL,shot,,,,,,,,,,Luka Doncic,0,,,missed,,3pt step back jump shot,26,-24,256,22.6,63.4,MISS Doncic 26' 3PT Step Back Jump Shot
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,0,0,0:11:27,0:00:33,0:00:02,5,MIA,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,0,0,0:11:12,0:00:48,0:00:15,6,DAL,foul,,,,,,,,Duncan Robinson,,Tim Hardaway Jr.,,,s.foul,,,shooting,,,,,,Hardaway Jr. S.FOUL (P1.T1) (K.Mauer)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,0,0,0:11:12,0:00:48,0:00:00,7,MIA,free throw,,,,,,,1,,2,Duncan Robinson,0,,,missed,,free throw 1/2,,,,,,MISS Robinson Free Throw 1 of 2
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,0,0,0:11:12,0:00:48,0:00:00,8,MIA,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Heat Rebound
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,1,0,0:11:12,0:00:48,0:00:00,9,MIA,free throw,,,,,,,2,,2,Duncan Robinson,1,,,made,,free throw 2/2,,,,,,Robinson Free Throw 2 of 2 (1 PTS)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,1,2,0:10:58,0:01:02,0:00:14,10,DAL,shot,Josh Richardson,,,,,,,,,Dorian Finney-Smith,2,,,made,,layup,2,23,6,27.3,88.4,Finney-Smith 2' Driving Finger Roll Layup (2 PTS) (Richardson 1 AST)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,1,2,0:10:42,0:01:18,0:00:16,11,MIA,shot,,,,,,,,,,Jimmy Butler,0,,,missed,,floating jump shot,6,30,50,22.0,10.0,MISS Butler 6' Floating Jump Shot
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,1,2,0:10:40,0:01:20,0:00:02,12,DAL,rebound,,,,,,,,,,Dorian Finney-Smith,,,,,,rebound defensive,,,,,,Finney-Smith REBOUND (Off:0 Def:1)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,1,2,0:10:32,0:01:28,0:00:08,13,DAL,shot,,,,,,,,,,Luka Doncic,0,,,missed,,driving floating bank jump shot,8,67,52,31.7,83.8,MISS Doncic 8' Driving Floating Bank Jump Shot
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,1,2,0:10:30,0:01:30,0:00:02,14,MIA,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:2)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:10:13,0:01:47,0:00:17,15,MIA,shot,Jimmy Butler,,,,,,,,,Tyler Herro,2,,,made,,cutting layup shot,1,-9,0,25.9,5.0,Herro 1' Cutting Layup Shot (2 PTS) (Butler 1 AST)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:09:48,0:02:12,0:00:25,16,DAL,shot,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,3pt jump shot,23,226,47,47.6,84.3,MISS Hardaway Jr. 3PT Jump Shot
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:09:45,0:02:15,0:00:03,17,MIA,rebound,,,,,,,,,,Andre Iguodala,,,,,,rebound defensive,,,,,,Iguodala REBOUND (Off:0 Def:1)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:09:40,0:02:20,0:00:05,18,DAL,foul,,,,,,,,Bam Adebayo,,Dwight Powell,,,p.foul,,,personal,,,,,,Powell P.FOUL (P1.T2) (K.Mauer)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:09:27,0:02:33,0:00:13,19,MIA,shot,,,,,,,,,,Jimmy Butler,0,,,missed,,driving layup,5,-11,47,26.1,9.7,MISS Butler 5' Driving Layup
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:09:26,0:02:34,0:00:01,20,MIA,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Heat Rebound
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:09:25,0:02:35,0:00:01,21,MIA,turnover,,,,,,,,,,Jimmy Butler,,,traveling,,,traveling,,,,,,Butler Traveling Turnover (P1.T1)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:09:13,0:02:47,0:00:12,22,DAL,turnover,,,,,,,,,,Josh Richardson,,,traveling,,,traveling,,,,,,Richardson Traveling Turnover (P1.T1)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:08:56,0:03:04,0:00:17,23,MIA,shot,,,,,,,,,,Duncan Robinson,0,,,missed,,3pt jump shot,24,212,121,3.799999999999997,17.1,MISS Robinson 24' 3PT Jump Shot
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,2,0:08:53,0:03:07,0:00:03,24,DAL,rebound,,,,,,,,,,Dorian Finney-Smith,,,,,,rebound defensive,,,,,,Finney-Smith REBOUND (Off:0 Def:2)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,4,0:08:43,0:03:17,0:00:10,25,DAL,shot,,,,,,,,,,Luka Doncic,2,,,made,,floating jump shot,10,65,78,31.5,81.2,Doncic 10' Floating Jump Shot (2 PTS)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,4,0:08:43,0:03:17,0:00:00,26,MIA,foul,,,,,,,,Luka Doncic,,Andre Iguodala,,,s.foul,,,shooting,,,,,,Iguodala S.FOUL (P2.T2) (M.Boland)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,3,5,0:08:43,0:03:17,0:00:00,27,DAL,free throw,,,,,,,1,,1,Luka Doncic,1,,,made,,free throw 1/1,,,,,,Doncic Free Throw 1 of 1 (3 PTS)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,5,5,0:08:33,0:03:27,0:00:10,28,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,layup,2,-17,2,26.7,5.2,Adebayo 2' Driving Finger Roll Layup (2 PTS)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,5,5,0:08:20,0:03:40,0:00:13,29,DAL,shot,,,,,,,,,,Dorian Finney-Smith,0,,,missed,,3pt jump shot,22,223,29,47.3,86.1,MISS Finney-Smith 3PT Jump Shot
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,5,5,0:08:17,0:03:43,0:00:03,30,MIA,rebound,,,,,,,,,,Andre Iguodala,,,,,,rebound defensive,,,,,,Iguodala REBOUND (Off:0 Def:2)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,5,5,0:08:13,0:03:47,0:00:04,31,MIA,shot,,,,,,,,,,Duncan Robinson,0,,,missed,,3pt running jump shot,25,-204,142,45.400000000000006,19.200000000000003,MISS Robinson 25' 3PT Running Jump Shot
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,5,5,0:08:10,0:03:50,0:00:03,32,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,5,5,0:07:57,0:04:03,0:00:13,33,DAL,shot,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,driving floating bank jump shot,10,-90,38,16.0,85.2,MISS Hardaway Jr. 10' Driving Floating Bank Jump Shot
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,5,5,0:07:55,0:04:05,0:00:02,34,MIA,rebound,,,,,,,,,,Tyler Herro,,,,,,rebound defensive,,,,,,Herro REBOUND (Off:0 Def:1)
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,5,5,0:07:41,0:04:19,0:00:14,35,MIA,shot,,,,,,,,,,Andre Iguodala,0,,,missed,,3pt jump shot,24,201,136,4.899999999999999,18.6,MISS Iguodala 24' 3PT Jump Shot
22000071,2020-21 Regular Season,2021-01-01,Bam Adebayo,Andre Iguodala,Jimmy Butler,Duncan Robinson,Tyler Herro,Dwight Powell,Dorian Finney-Smith,Luka Doncic,Tim Hardaway Jr.,Josh Richardson,1,5,5,0:07:37,0:04:23,0:00:04,36,DAL,rebound,,,,,,,,,,Dwight Powell,,,,,,rebound defensive,,,,,,Powell REBOUND (Off:0 Def:1)
