game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,0,0:12:00,0:00:00,0:00:00,2,BKN,jump ball,,Rudy Gobert,Jarrett Allen,,,,,,,Rudy Gobert,,Royce O'Neale,,,,jump ball,,,,,,Jump Ball Allen vs. Gobert: Tip to O'Neale
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,0,0:11:42,0:00:18,0:00:18,3,UTA,shot,,,,,,,,,,Donovan Mitchell,0,,,missed,,3pt jump shot,24,189,153,6.099999999999998,20.3,MISS Mitchell 24' 3PT Jump Shot
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,0,0:11:36,0:00:24,0:00:06,4,BKN,rebound,,,,,,,,,,Jeff Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,0,0:11:21,0:00:39,0:00:15,5,BKN,turnover,,,,,,,,,,Bruce Brown,,,traveling,,,traveling,,,,,,Brown Traveling Turnover (P1.T1)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,0,0:11:01,0:00:59,0:00:20,6,UTA,shot,,,,,,,,,,Donovan Mitchell,0,,,missed,,driving layup,1,-7,11,25.7,6.1,MISS Mitchell 1' Driving Layup
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,0,0:10:58,0:01:02,0:00:03,7,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound offensive,,,,,,Gobert REBOUND (Off:1 Def:0)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,0,0:10:58,0:01:02,0:00:00,8,UTA,shot,,,,,,,,,,Rudy Gobert,0,,,missed,,layup,0,0,0,25.0,5.0,MISS Gobert Tip Layup Shot
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,0,0:10:57,0:01:03,0:00:01,9,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:0 Def:1)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,2,0:10:50,0:01:10,0:00:07,10,BKN,shot,,,,,,,,,,Kyrie Irving,2,,,made,,driving floating jump shot,11,40,98,29.0,79.2,Irving 11' Driving Floating Jump Shot (2 PTS)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,2,0:10:33,0:01:27,0:00:17,11,UTA,shot,,,,,,,,,,Rudy Gobert,0,,,missed,,driving layup,2,2,17,24.8,6.7,MISS Gobert 2' Driving Layup
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,2,0:10:31,0:01:29,0:00:02,12,BKN,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,0,4,0:10:27,0:01:33,0:00:04,13,BKN,shot,Kyrie Irving,,,,,,,,,Bruce Brown,2,,,made,,driving layup,1,12,1,26.2,88.9,Brown 1' Driving Layup (2 PTS) (Irving 1 AST)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,4,0:10:12,0:01:48,0:00:15,14,UTA,shot,,,,,,,,,,Bojan Bogdanovic,2,,,made,,jump shot,11,100,48,15.0,9.8,Bogdanovic 11' Turnaround Jump Shot (2 PTS)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,4,0:09:57,0:02:03,0:00:15,15,BKN,shot,,,,,,,,,,Taurean Prince,0,,,missed,,3pt jump shot,25,-105,229,14.5,66.1,MISS Prince 25' 3PT Jump Shot
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,4,0:09:54,0:02:06,0:00:03,16,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:1 Def:1)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,4,0:09:44,0:02:16,0:00:10,17,UTA,turnover,,,,,,,,,,Mike Conley,,,bad pass,,Jarrett Allen,bad pass,,,,,,Allen STEAL (1 STL): Conley Bad Pass Turnover (P1.T1)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,7,0:09:38,0:02:22,0:00:06,18,BKN,shot,Bruce Brown,,,,,,,,,Kyrie Irving,3,,,made,,3pt jump shot,27,141,231,39.1,65.9,Irving 27' 3PT Jump Shot (5 PTS) (Brown 1 AST)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,7,0:09:18,0:02:42,0:00:20,19,UTA,shot,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,fadeaway jumper,11,-5,113,25.5,16.3,MISS Bogdanovic 11' Fadeaway Jumper
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,7,0:09:13,0:02:47,0:00:05,20,BKN,rebound,,,,,,,,,,Bruce Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,9,0:09:08,0:02:52,0:00:05,21,BKN,shot,Bruce Brown,,,,,,,,,Kyrie Irving,2,,,made,,layup,3,-19,-22,23.1,91.2,Irving 3' Driving Finger Roll Layup (7 PTS) (Brown 2 AST)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,9,0:09:08,0:02:52,0:00:00,22,UTA,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,Jazz Timeout: Regular (Reg.1 Short 0)
22000102,2020-21 Regular Season,2021-01-05,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jarrett Allen,Jeff Green,Bruce Brown,Kyrie Irving,Taurean Prince,1,2,9,0:08:56,0:03:04,0:00:12,23,UTA,shot,,,,,,,,,,Mike Conley,0,,,missed,,jump shot,18,-110,142,36.0,19.200000000000003,MISS Conley 18' Pullup Jump Shot
