game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,Anthony Davis,Jonas Valanciunas,,,,,,,Anthony Davis,,LeBron James,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Davis: Tip to James
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,2,0,0:11:43,0:00:17,0:00:17,3,LAL,shot,LeBron James,,,,,,,,,Anthony Davis,2,,,made,,jump shot,10,57,86,19.3,13.6,Davis 10' Pullup Jump Shot (2 PTS) (James 1 AST)
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,2,0,0:11:21,0:00:39,0:00:22,4,MEM,shot,,,,,,,,,,Dillon Brooks,0,,,missed,,floating jump shot,13,-63,111,18.7,77.9,MISS Brooks 13' Floating Jump Shot
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,2,0,0:11:18,0:00:42,0:00:03,5,LAL,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,2,0,0:10:59,0:01:01,0:00:19,6,LAL,shot,,,,,,,,,,Anthony Davis,0,,,missed,,floating jump shot,9,55,69,19.5,11.9,MISS Davis 9' Floating Jump Shot
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,2,0,0:10:56,0:01:04,0:00:03,7,MEM,rebound,,,,,,,,,,Brandon Clarke,,,,,,rebound defensive,,,,,,Clarke REBOUND (Off:0 Def:1)
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,2,3,0:10:45,0:01:15,0:00:11,8,MEM,shot,Tyus Jones,,,,,,,,,Brandon Clarke,3,,,made,,3pt jump shot,23,226,1,47.6,88.9,Clarke 3PT Jump Shot (3 PTS) (Jones 1 AST)
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,4,3,0:10:23,0:01:37,0:00:22,9,LAL,shot,Anthony Davis,,,,,,,,,Dennis Schroder,2,,,made,,jump shot,17,69,158,18.1,20.8,Schroder 17' Pullup Jump Shot (2 PTS) (Davis 1 AST)
22000103,2020-21 Regular Season,2021-01-05,Anthony Davis,LeBron James,Dennis Schroder,Kyle Kuzma,Marc Gasol,Jonas Valanciunas,Dillon Brooks,Brandon Clarke,Tyus Jones,Kyle Anderson,1,4,3,0:10:06,0:01:54,0:00:17,10,MEM,shot,,,,,,,,,,Kyle Anderson,0,,,missed,,driving layup,2,-18,15,23.2,87.5,MISS Anderson 2' Driving Layup
