game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,0,0:12:00,0:00:00,0:00:00,2,ORL,jump ball,,Andre Drummond,Nikola Vucevic,,,,,,,Andre Drummond,,Cedi Osman,,,,jump ball,,,,,,Jump Ball Vucevic vs. Drummond: Tip to Osman
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,0,0:11:43,0:00:17,0:00:17,3,CLE,shot,,,,,,,,,,Andre Drummond,0,,,missed,,hook shot,6,25,58,22.5,10.8,MISS Drummond 6' Turnaround Hook Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,0,0:11:41,0:00:19,0:00:02,4,ORL,rebound,,,,,,,,,,Aaron Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:1)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,2,0:11:31,0:00:29,0:00:10,5,ORL,shot,,,,,,,,,,Markelle Fultz,2,,,made,,driving layup,2,-21,8,22.9,88.2,Fultz 2' Driving Layup (2 PTS)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,2,0:11:31,0:00:29,0:00:00,6,CLE,foul,,,,,,,,Markelle Fultz,,Collin Sexton,,,s.foul,,,shooting,,,,,,Sexton S.FOUL (P1.T1) (S.Corbin)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,3,0:11:31,0:00:29,0:00:00,7,ORL,free throw,,,,,,,1,,1,Markelle Fultz,1,,,made,,free throw 1/1,,,,,,Fultz Free Throw 1 of 1 (3 PTS)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,3,0:11:20,0:00:40,0:00:11,8,CLE,turnover,,,,,,,,,,Andre Drummond,,,bad pass,,,bad pass,,,,,,Drummond Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,3,0:11:06,0:00:54,0:00:14,9,ORL,shot,,,,,,,,,,Markelle Fultz,0,,,missed,,driving layup,4,-30,25,22.0,86.5,MISS Fultz 4' Driving Layup
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,3,0:11:04,0:00:56,0:00:02,10,CLE,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,0,3,0:11:02,0:00:58,0:00:02,11,ORL,foul,,,,,,,,Collin Sexton,,Gary Clark,,,s.foul,,,shooting,,,,,,Clark S.FOUL (P1.T1) (S.Corbin)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,1,3,0:11:02,0:00:58,0:00:00,12,CLE,free throw,,,,,,,1,,2,Collin Sexton,1,,,made,,free throw 1/2,,,,,,Sexton Free Throw 1 of 2 (1 PTS)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,2,3,0:11:02,0:00:58,0:00:00,13,CLE,free throw,,,,,,,2,,2,Collin Sexton,1,,,made,,free throw 2/2,,,,,,Sexton Free Throw 2 of 2 (2 PTS)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,2,3,0:10:44,0:01:16,0:00:18,14,ORL,turnover,,,,,,,,,,Aaron Gordon,,,bad pass,,Cedi Osman,bad pass,,,,,,Gordon Bad Pass Turnover (P1.T1): Osman STEAL (1 STL)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,4,3,0:10:40,0:01:20,0:00:04,15,CLE,shot,Cedi Osman,,,,,,,,,Collin Sexton,2,,,made,,layup,2,2,17,24.8,6.7,Sexton 2' Running Layup (4 PTS) (Osman 1 AST)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,4,3,0:10:29,0:01:31,0:00:11,16,ORL,shot,,,,,,,,,,Nikola Vucevic,0,,,missed,,3pt jump shot,25,-86,235,16.4,65.5,MISS Vucevic 25' 3PT Jump Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,4,3,0:10:26,0:01:34,0:00:03,17,CLE,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound defensive,,,,,,Nance Jr. REBOUND (Off:0 Def:1)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,4,3,0:10:09,0:01:51,0:00:17,18,CLE,shot,,,,,,,,,,Cedi Osman,0,,,missed,,3pt jump shot,26,-125,225,37.5,27.5,MISS Osman 26' 3PT Jump Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,4,3,0:10:07,0:01:53,0:00:02,19,ORL,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,MAGIC Rebound
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,4,3,0:09:47,0:02:13,0:00:20,20,ORL,shot,,,,,,,,,,Aaron Gordon,0,,,missed,,jump shot,15,-78,125,17.2,76.5,MISS Gordon 15' Turnaround Jump Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,4,3,0:09:44,0:02:16,0:00:03,21,CLE,rebound,,,,,,,,,,Cedi Osman,,,,,,rebound defensive,,,,,,Osman REBOUND (Off:0 Def:1)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,4,3,0:09:27,0:02:33,0:00:17,22,CLE,shot,,,,,,,,,,Andre Drummond,0,,,missed,,driving layup,3,14,31,23.6,8.1,MISS Drummond 3' Driving Layup
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,6,3,0:09:21,0:02:39,0:00:06,23,CLE,shot,,,,,,,,,,Andre Drummond,2,,,made,,layup,0,0,0,25.0,5.0,Drummond Tip Layup Shot (2 PTS)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,6,3,0:09:21,0:02:39,0:00:00,24,CLE,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound offensive,,,,,,Drummond REBOUND (Off:1 Def:1)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,6,3,0:09:18,0:02:42,0:00:03,25,CLE,foul,,,,,,,,Markelle Fultz,,Isaac Okoro,,,p.foul,,,personal,,,,,,Okoro P.FOUL (P1.T2) (M.Ervin)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,6,3,0:09:12,0:02:48,0:00:06,26,ORL,shot,,,,,,,,,,Markelle Fultz,0,,,missed,,jump shot,15,-58,140,19.2,75.0,MISS Fultz 15' Step Back Jump Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,6,3,0:09:08,0:02:52,0:00:04,27,CLE,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:1 Def:2)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,6,3,0:09:03,0:02:57,0:00:05,28,ORL,foul,,,,,,,,Larry Nance Jr.,,Gary Clark,,,s.foul,,,shooting,,,,,,Clark S.FOUL (P2.T2) (M.Ervin)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,7,3,0:09:03,0:02:57,0:00:00,29,CLE,free throw,,,,,,,1,,2,Larry Nance Jr.,1,,,made,,free throw 1/2,,,,,,Nance Jr. Free Throw 1 of 2 (1 PTS)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,7,3,0:09:03,0:02:57,0:00:00,30,CLE,free throw,,,,,,,2,,2,Larry Nance Jr.,0,,,missed,,free throw 2/2,,,,,,MISS Nance Jr. Free Throw 2 of 2
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,7,3,0:09:01,0:02:59,0:00:02,31,ORL,rebound,,,,,,,,,,Aaron Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:2)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,7,3,0:08:52,0:03:08,0:00:09,32,ORL,shot,,,,,,,,,,Dwayne Bacon,0,,,missed,,3pt jump shot,26,-176,187,7.399999999999999,70.3,MISS Bacon 26' 3PT Jump Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,7,3,0:08:49,0:03:11,0:00:03,33,CLE,rebound,,,,,,,,,,Cedi Osman,,,,,,rebound defensive,,,,,,Osman REBOUND (Off:0 Def:2)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,9,3,0:08:40,0:03:20,0:00:09,34,CLE,shot,Cedi Osman,,,,,,,,,Andre Drummond,2,,,made,,driving layup,4,32,18,21.8,6.8,Drummond 4' Driving Layup (4 PTS) (Osman 2 AST)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,9,3,0:08:25,0:03:35,0:00:15,35,ORL,shot,,,,,,,,,,Nikola Vucevic,0,,,missed,,hook shot,6,-9,57,24.1,83.3,MISS Vucevic 6' Hook Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,9,3,0:08:23,0:03:37,0:00:02,36,CLE,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:1 Def:3)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,9,3,0:08:13,0:03:47,0:00:10,37,CLE,shot,,,,,,,,,,Collin Sexton,0,,,missed,,driving floating jump shot,12,27,112,22.3,16.200000000000003,MISS Sexton 12' Driving Floating Jump Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,9,3,0:08:08,0:03:52,0:00:05,38,CLE,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound offensive,,,,,,Drummond REBOUND (Off:2 Def:3)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,11,3,0:08:08,0:03:52,0:00:00,39,CLE,shot,,,,,,,,,,Andre Drummond,2,,,made,,layup,0,0,0,25.0,5.0,Drummond Tip Layup Shot (6 PTS)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,11,3,0:07:57,0:04:03,0:00:11,40,ORL,foul,,,,,,,,Andre Drummond,,Nikola Vucevic,,,,,,offensive,,,,,,Vucevic OFF.Foul (P1) (H.Workman)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,11,3,0:07:57,0:04:03,0:00:00,41,ORL,turnover,,,,,,,,,,Nikola Vucevic,,,offensive foul turnover,,,offensive foul,,,,,,Vucevic Offensive Foul Turnover (P1.T2)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,11,3,0:07:41,0:04:19,0:00:16,42,CLE,turnover,,,,,,,,,,Andre Drummond,,,bad pass,,Markelle Fultz,bad pass,,,,,,Fultz STEAL (1 STL): Drummond Bad Pass Turnover (P2.T2)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,11,3,0:07:35,0:04:25,0:00:06,43,CLE,foul,,,,,,,,Markelle Fultz,,Isaac Okoro,,,p.foul,,,personal,,,,,,Okoro P.FOUL (P2.T3) (M.Ervin)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Markelle Fultz,Gary Clark,Dwayne Bacon,1,11,3,0:07:35,0:04:25,0:00:00,44,ORL,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,MAGIC Timeout: Regular (Full 1 Short 0)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Isaac Okoro,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,3,0:07:35,0:04:25,0:00:00,45,ORL,substitution,,,,,Cole Anthony,Markelle Fultz,,,,Markelle Fultz,,,,,,sub,,,,,,SUB: Anthony FOR Fultz
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,3,0:07:35,0:04:25,0:00:00,46,CLE,substitution,,,,,Damyean Dotson,Isaac Okoro,,,,Isaac Okoro,,,,,,sub,,,,,,SUB: Dotson FOR Okoro
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,3,0:07:20,0:04:40,0:00:15,47,ORL,shot,,,,,,,,,,Cole Anthony,0,,,missed,,driving floating jump shot,4,-33,14,21.7,87.6,MISS Anthony 4' Driving Floating Jump Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,3,0:07:17,0:04:43,0:00:03,48,CLE,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound defensive,,,,,,Nance Jr. REBOUND (Off:0 Def:2)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,3,0:07:12,0:04:48,0:00:05,49,CLE,shot,,,,,,,,,,Collin Sexton,0,,,missed,,jump shot,10,4,100,24.6,15.0,MISS Sexton 10' Pullup Jump Shot
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,3,0:07:10,0:04:50,0:00:02,50,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,5,0:07:04,0:04:56,0:00:06,51,ORL,shot,Cole Anthony,,,,,,,,,Dwayne Bacon,2,,,made,,driving layup,2,25,1,27.5,88.9,Bacon 3' Driving Layup (2 PTS) (Anthony 1 AST)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,5,0:07:04,0:04:56,0:00:00,52,CLE,foul,,,,,,,,Dwayne Bacon,,Cedi Osman,,,s.foul,,,shooting,,,,,,Osman S.FOUL (P1.T4) (H.Workman)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,JaVale McGee,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,5,0:07:04,0:04:56,0:00:00,53,CLE,substitution,,,,,JaVale McGee,Larry Nance Jr.,,,,Larry Nance Jr.,,,,,,sub,,,,,,SUB: McGee FOR Nance Jr.
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,Larry Nance Jr.,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,11,6,0:07:04,0:04:56,0:00:00,54,ORL,free throw,,,,,,,1,,1,Dwayne Bacon,1,,,made,,free throw 1/1,,,,,,Bacon Free Throw 1 of 1 (3 PTS)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,JaVale McGee,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,13,6,0:06:39,0:05:21,0:00:25,55,CLE,shot,Cedi Osman,,,,,,,,,Collin Sexton,2,,,made,,driving layup,3,26,15,22.4,6.5,Sexton 3' Driving Layup (6 PTS) (Osman 3 AST)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,JaVale McGee,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,13,6,0:06:18,0:05:42,0:00:21,56,ORL,shot,,,,,,,,,,Nikola Vucevic,0,,,missed,,layup,4,-9,36,24.1,85.4,MISS Vucevic 4' Layup
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,JaVale McGee,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,13,6,0:06:15,0:05:45,0:00:03,57,CLE,rebound,,,,,,,,,,Cedi Osman,,,,,,rebound defensive,,,,,,Osman REBOUND (Off:0 Def:3)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,JaVale McGee,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,13,6,0:06:10,0:05:50,0:00:05,58,CLE,shot,,,,Aaron Gordon,,,,,,Andre Drummond,0,,,missed,,layup,3,24,11,22.6,6.1,Gordon BLOCK (1 BLK): MISS Drummond 3' Layup
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,JaVale McGee,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,13,6,0:06:07,0:05:53,0:00:03,59,ORL,rebound,,,,,,,,,,Aaron Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:3)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,JaVale McGee,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,13,6,0:06:06,0:05:54,0:00:01,60,CLE,foul,,,,,,,,Aaron Gordon,,JaVale McGee,,,p.foul,,,personal,,,,,,McGee P.FOUL (P1.PN) (S.Corbin)
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,JaVale McGee,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Khem Birch,Dwayne Bacon,1,13,6,0:06:06,0:05:54,0:00:00,61,ORL,substitution,,,,,Khem Birch,Gary Clark,,,,Gary Clark,,,,,,sub,,,,,,SUB: Birch FOR Clark
22000108,2020-21 Regular Season,2021-01-06,Andre Drummond,Cedi Osman,Collin Sexton,JaVale McGee,Damyean Dotson,Nikola Vucevic,Aaron Gordon,Cole Anthony,Gary Clark,Dwayne Bacon,1,13,6,0:06:06,0:05:54,0:00:00,62,ORL,free throw,,,,,,,1,,2,Aaron Gordon,0,,,missed,,free throw 1/2,,,,,,MISS Gordon Free Throw 1 of 2
