game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,0,0,0:12:00,0:00:00,0:00:00,2,POR,jump ball,,Clint Capela,Enes Kanter,,,,,,,Enes Kanter,,Derrick Jones Jr.,,,,jump ball,,,,,,Jump Ball Kanter vs. Capela: Tip to Jones Jr.
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,0,2,0:11:35,0:00:25,0:00:25,3,POR,shot,,,,,,,,,,Enes Kanter,2,,,made,,driving layup,1,6,7,25.6,88.3,Kanter 1' Driving Layup (2 PTS)
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,2,2,0:11:12,0:00:48,0:00:23,4,ATL,shot,Kevin Huerter,,,,,,,,,John Collins,2,,,made,,cutting dunk shot,0,2,4,24.8,5.4,Collins Cutting Dunk Shot (2 PTS) (Huerter 1 AST)
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,2,5,0:10:53,0:01:07,0:00:19,5,POR,shot,Enes Kanter,,,,,,,,,CJ McCollum,3,,,made,,3pt pullup jump shot,23,226,59,47.6,83.1,McCollum 3PT Pullup Jump Shot (3 PTS) (Kanter 1 AST)
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,4,5,0:10:40,0:01:20,0:00:13,6,ATL,shot,,,,,,,,,,Trae Young,2,,,made,,driving floating jump shot,6,-14,63,26.4,11.3,Young 6' Driving Floating Jump Shot (2 PTS)
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,4,7,0:10:30,0:01:30,0:00:10,7,POR,shot,,,,,,,,,,CJ McCollum,2,,,made,,jump shot,18,-171,63,7.899999999999999,82.7,McCollum 18' Step Back Jump Shot (5 PTS)
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,4,7,0:10:16,0:01:44,0:00:14,8,ATL,shot,,,,,,,,,,Kevin Huerter,0,,,missed,,3pt jump shot,23,-226,20,47.6,7.0,MISS Huerter 3PT Jump Shot
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,4,7,0:10:13,0:01:47,0:00:03,9,POR,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound defensive,,,,,,Kanter REBOUND (Off:0 Def:1)
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,4,7,0:10:05,0:01:55,0:00:08,10,POR,shot,,,,,,,,,,CJ McCollum,0,,,missed,,3pt jump shot,26,-206,154,4.399999999999999,73.6,MISS McCollum 26' 3PT Jump Shot
22000195,2020-21 Regular Season,2021-01-16,Clint Capela,John Collins,Kevin Huerter,Trae Young,De'Andre Hunter,Enes Kanter,Derrick Jones Jr.,CJ McCollum,Damian Lillard,Robert Covington,1,4,7,0:10:02,0:01:58,0:00:03,11,ATL,rebound,,,,,,,,,,Kevin Huerter,,,,,,rebound defensive,,,,,,Huerter REBOUND (Off:0 Def:1)
