game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,2,LAL,jump ball,,James Wiseman,Anthony Davis,,,,,,,Anthony Davis,,LeBron James,,,,jump ball,,,,,,Jump Ball Davis vs. Wiseman: Tip to James
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,0,2,0:11:41,0:00:19,0:00:19,3,LAL,shot,Anthony Davis,,,,,,,,,Dennis Schroder,2,,,made,,layup,1,5,13,25.5,87.7,Schroder 1' Driving Finger Roll Layup (2 PTS) (Davis 1 AST)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,0,2,0:11:21,0:00:39,0:00:20,4,GSW,shot,,,,,,,,,,James Wiseman,0,,,missed,,floating jump shot,12,-5,116,25.5,16.6,MISS Wiseman 12' Floating Jump Shot
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,0,2,0:11:16,0:00:44,0:00:05,5,LAL,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,0,5,0:11:02,0:00:58,0:00:14,6,LAL,shot,Anthony Davis,,,,,,,,,Marc Gasol,3,,,made,,3pt jump shot,24,-230,47,2.0,84.3,Gasol 3PT Jump Shot (3 PTS) (Davis 2 AST)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,5,0:10:50,0:01:10,0:00:12,7,GSW,shot,Draymond Green,,,,,,,,,Stephen Curry,2,,,made,,jump shot,20,-93,171,34.3,22.1,Curry 19' Jump Shot (2 PTS) (Green 1 AST)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,5,0:10:39,0:01:21,0:00:11,8,GSW,foul,,,,,,,,Dennis Schroder,,Draymond Green,,,s.foul,,,shooting,,,,,,Green S.FOUL (P1.T1) (J.Goble)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,6,0:10:39,0:01:21,0:00:00,9,LAL,free throw,,,,,,,1,,2,Dennis Schroder,1,,,made,,free throw 1/2,,,,,,Schroder Free Throw 1 of 2 (3 PTS)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,7,0:10:39,0:01:21,0:00:00,10,LAL,free throw,,,,,,,2,,2,Dennis Schroder,1,,,made,,free throw 2/2,,,,,,Schroder Free Throw 2 of 2 (4 PTS)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,7,0:10:28,0:01:32,0:00:11,11,GSW,shot,,,,,,,,,,Draymond Green,0,,,missed,,driving layup,5,-31,34,28.1,8.4,MISS Green 5' Driving Layup
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,7,0:10:26,0:01:34,0:00:02,12,LAL,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,7,0:10:25,0:01:35,0:00:01,13,GSW,foul,,,,,,,,,,Draymond Green,,,,,,technical,,,,,,Green T.FOUL (P1.T1) (J.Goble)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,8,0:10:25,0:01:35,0:00:00,14,LAL,free throw,,,,,,,1,,1,Kentavious Caldwell-Pope,1,,,made,,free throw technical,,,,,,Caldwell-Pope Free Throw Technical (1 PTS)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,10,0:10:10,0:01:50,0:00:15,15,LAL,shot,Anthony Davis,,,,,,,,,Dennis Schroder,2,,,made,,layup,2,-16,6,23.4,88.4,Schroder 2' Reverse Layup (6 PTS) (Davis 3 AST)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,2,10,0:09:57,0:02:03,0:00:13,16,LAL,foul,,,,,,,,Kelly Oubre Jr.,,Kentavious Caldwell-Pope,,,s.foul,,,shooting,,,,,,Caldwell-Pope S.FOUL (P1.T1) (J.Tiven)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,3,10,0:09:57,0:02:03,0:00:00,17,GSW,free throw,,,,,,,1,,2,Kelly Oubre Jr.,1,,,made,,free throw 1/2,,,,,,Oubre Jr. Free Throw 1 of 2 (1 PTS)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,4,10,0:09:57,0:02:03,0:00:00,18,GSW,free throw,,,,,,,2,,2,Kelly Oubre Jr.,1,,,made,,free throw 2/2,,,,,,Oubre Jr. Free Throw 2 of 2 (2 PTS)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,4,10,0:09:41,0:02:19,0:00:16,19,LAL,shot,,,,,,,,,,Anthony Davis,0,,,missed,,jump shot,13,-134,-11,11.6,90.1,MISS Davis 13' Step Back Jump Shot
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,4,10,0:09:39,0:02:21,0:00:02,20,GSW,rebound,,,,,,,,,,James Wiseman,,,,,,rebound defensive,,,,,,Wiseman REBOUND (Off:0 Def:1)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,6,10,0:09:30,0:02:30,0:00:09,21,GSW,shot,,,,,,,,,,Andrew Wiggins,2,,,made,,dunk,2,12,11,23.8,6.1,Wiggins 2' Dunk (2 PTS)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,6,13,0:09:17,0:02:43,0:00:13,22,LAL,shot,Anthony Davis,,,,,,,,,Kentavious Caldwell-Pope,3,,,made,,3pt step back jump shot,23,-229,31,2.099999999999998,85.9,Caldwell-Pope 3PT Step Back Jump Shot (4 PTS) (Davis 4 AST)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,6,13,0:09:07,0:02:53,0:00:10,23,GSW,turnover,,,,,,,,,,Stephen Curry,,,,,Dennis Schroder,lost ball,,,,,,Schroder STEAL (1 STL): Curry Lost Ball Turnover (P1.T1)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,6,13,0:09:03,0:02:57,0:00:04,24,LAL,turnover,,,,,,,,,,Dennis Schroder,,,bad pass,,James Wiseman,bad pass,,,,,,Schroder Bad Pass Turnover (P1.T1): Wiseman STEAL (1 STL)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,6,13,0:08:57,0:03:03,0:00:06,25,GSW,shot,,,,,,,,,,Stephen Curry,0,,,missed,,3pt running pull-up jump shot,26,-147,216,39.7,26.6,MISS Curry 26' 3PT Running Pull-Up Jump Shot
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,6,13,0:08:55,0:03:05,0:00:02,26,LAL,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:2)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,6,13,0:08:47,0:03:13,0:00:08,27,LAL,shot,,,,,,,,,,Marc Gasol,0,,,missed,,hook shot,6,51,22,30.1,86.8,MISS Gasol 6' Turnaround Hook Shot
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,6,13,0:08:45,0:03:15,0:00:02,28,GSW,rebound,,,,,,,,,,James Wiseman,,,,,,rebound defensive,,,,,,Wiseman REBOUND (Off:0 Def:2)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,8,13,0:08:38,0:03:22,0:00:07,29,GSW,shot,Stephen Curry,,,,,,,,,Kelly Oubre Jr.,2,,,made,,cutting dunk shot,1,8,11,24.2,6.1,Oubre Jr. 1' Cutting Dunk Shot (4 PTS) (Curry 1 AST)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,8,13,0:08:23,0:03:37,0:00:15,30,GSW,foul,,,,,,,,LeBron James,,Kelly Oubre Jr.,,,p.foul,,,personal,,,,,,Oubre Jr. P.FOUL (P1.T2) (J.Goble)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,8,13,0:08:08,0:03:52,0:00:15,31,LAL,shot,,,,,,,,,,LeBron James,0,,,missed,,3pt jump shot,22,225,15,47.5,87.5,MISS James 3PT Jump Shot
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,8,13,0:08:03,0:03:57,0:00:05,32,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,10,13,0:07:59,0:04:01,0:00:04,33,GSW,shot,Draymond Green,,,,,,,,,James Wiseman,2,,,made,,cutting dunk shot,1,-2,11,25.2,6.1,Wiseman 1' Cutting Dunk Shot (2 PTS) (Green 2 AST)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,10,15,0:07:54,0:04:06,0:00:05,34,LAL,shot,Marc Gasol,,,,,,,,,LeBron James,2,,,made,,layup,2,13,7,26.3,88.3,James 1' Running Layup (2 PTS) (Gasol 1 AST)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,10,15,0:07:53,0:04:07,0:00:01,35,GSW,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,Warriors Timeout: Regular (Reg.1 Short 0)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,10,15,0:07:43,0:04:17,0:00:10,36,GSW,turnover,,,,,,,,,,James Wiseman,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Wiseman Out of Bounds Lost Ball Turnover (P1.T2)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,10,15,0:07:21,0:04:39,0:00:22,37,LAL,shot,,,,James Wiseman,,,,,,LeBron James,0,,,missed,,layup,1,5,13,25.5,87.7,MISS James 1' Layup: Wiseman BLOCK (1 BLK)
22000212,2020-21 Regular Season,2021-01-18,James Wiseman,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Anthony Davis,LeBron James,Dennis Schroder,Marc Gasol,Kentavious Caldwell-Pope,1,10,15,0:07:18,0:04:42,0:00:03,38,LAL,rebound,,,,,,,,,,Dennis Schroder,,,,,,rebound offensive,,,,,,Schroder REBOUND (Off:1 Def:0)
