game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,0,0,0:12:00,0:00:00,0:00:00,2,SAS,jump ball,,Robin Lopez,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Dejounte Murray,,,,jump ball,,,,,,Jump Ball Aldridge vs. Lopez: Tip to Murray
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,0,0,0:11:46,0:00:14,0:00:14,3,SAS,shot,,,,,,,,,,DeMar DeRozan,0,,,missed,,driving layup,4,26,36,27.6,85.4,MISS DeRozan 4' Driving Layup
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,0,0,0:11:43,0:00:17,0:00:03,4,WAS,rebound,,,,,,,,,,Bradley Beal,,,,,,rebound defensive,,,,,,Beal REBOUND (Off:0 Def:1)
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,3,0,0:11:38,0:00:22,0:00:05,5,WAS,shot,Bradley Beal,,,,,,,,,Jerome Robinson,3,,,made,,3pt jump shot,23,229,1,2.099999999999998,5.1,Robinson 3PT Jump Shot (3 PTS) (Beal 1 AST)
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,3,2,0:11:21,0:00:39,0:00:17,6,SAS,shot,,,,,,,,,,Dejounte Murray,2,,,made,,jump shot,16,-84,130,16.6,76.0,Murray 15' Pullup Jump Shot (2 PTS)
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,5,2,0:11:01,0:00:59,0:00:20,7,WAS,shot,,,,,,,,,,Russell Westbrook,2,,,made,,layup,1,-8,8,25.8,5.8,Westbrook 1' Layup (2 PTS)
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,5,2,0:10:51,0:01:09,0:00:10,8,SAS,shot,,,,,,,,,,DeMar DeRozan,0,,,missed,,layup,3,26,2,27.6,88.8,MISS DeRozan 3' Layup
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,5,2,0:10:48,0:01:12,0:00:03,9,WAS,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
22000253,2020-21 Regular Season,2021-01-24,Robin Lopez,Bradley Beal,Jerome Robinson,Russell Westbrook,Isaac Bonga,LaMarcus Aldridge,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Lonnie Walker IV,1,8,2,0:10:44,0:01:16,0:00:04,10,WAS,shot,Jerome Robinson,,,,,,,,,Isaac Bonga,3,,,made,,3pt jump shot,24,235,15,1.5,6.5,Bonga 24' 3PT Jump Shot (3 PTS) (Robinson 1 AST)
