game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:12:00,0:00:00,0:00:00,2,ATL,jump ball,,Aron Baynes,Clint Capela,,,,,,,Clint Capela,,Trae Young,,,,jump ball,,,,,,Jump Ball Capela vs. Baynes: Tip to Young
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:11:34,0:00:26,0:00:26,3,ATL,shot,,,,,,,,,,Clint Capela,0,,,missed,,driving floating bank jump shot,11,-43,105,20.7,78.5,MISS Capela 11' Driving Floating Bank Jump Shot
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:11:33,0:00:27,0:00:01,4,ATL,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HAWKS Rebound
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:11:33,0:00:27,0:00:00,5,ATL,turnover,,,,,,,,,,,,,,,,shot clock,,,,,,HAWKS Turnover: Shot Clock (T#1)
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:11:19,0:00:41,0:00:14,6,TOR,shot,,,,,,,,,,Aron Baynes,0,,,missed,,3pt jump shot,25,19,248,23.1,29.8,MISS Baynes 25' 3PT Jump Shot
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:11:18,0:00:42,0:00:01,7,ATL,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,HAWKS Rebound
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:11:06,0:00:54,0:00:12,8,ATL,shot,,,,,,,,,,John Collins,0,,,missed,,3pt jump shot,26,-29,258,22.1,63.2,MISS Collins 26' 3PT Jump Shot
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:11:04,0:00:56,0:00:02,9,TOR,rebound,,,,,,,,,,Kyle Lowry,,,,,,rebound defensive,,,,,,Lowry REBOUND (Off:0 Def:1)
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:10:59,0:01:01,0:00:05,10,TOR,shot,,,,,,,,,,Norman Powell,0,,,missed,,3pt jump shot,24,8,243,24.2,29.3,MISS Powell 24' 3PT Jump Shot
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,0,0:10:56,0:01:04,0:00:03,11,ATL,rebound,,,,,,,,,,Trae Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,0,2,0:10:52,0:01:08,0:00:04,12,ATL,shot,Trae Young,,,,,,,,,Clint Capela,2,,,made,,layup,1,11,5,26.1,88.5,Capela 1' Running Layup (2 PTS) (Young 1 AST)
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,2,2,0:10:38,0:01:22,0:00:14,13,TOR,shot,Aron Baynes,,,,,,,,,Kyle Lowry,2,,,made,,jump shot,19,-71,178,32.1,22.8,Lowry 19' Pullup Jump Shot (2 PTS) (Baynes 1 AST)
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,2,2,0:10:24,0:01:36,0:00:14,14,ATL,shot,,,,,,,,,,Trae Young,0,,,missed,,jump shot,19,32,189,28.2,70.1,MISS Young 19' Step Back Jump Shot
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,2,2,0:10:22,0:01:38,0:00:02,15,ATL,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,HAWKS Rebound
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,2,2,0:10:21,0:01:39,0:00:01,16,ATL,turnover,,,,,,,,,,Trae Young,,,bad pass,,Pascal Siakam,bad pass,,,,,,Young Bad Pass Turnover (P1.T2): Siakam STEAL (1 STL)
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,2,2,0:10:01,0:01:59,0:00:20,17,TOR,shot,,,,,,,,,,Pascal Siakam,0,,,missed,,jump shot,8,-54,57,30.4,10.7,MISS Siakam 8' Turnaround Jump Shot
22000356,2020-21 Regular Season,2021-02-06,Aron Baynes,Kyle Lowry,Norman Powell,Pascal Siakam,Fred VanVleet,Clint Capela,Trae Young,John Collins,Kevin Huerter,Cam Reddish,1,2,2,0:09:57,0:02:03,0:00:04,18,ATL,rebound,,,,,,,,,,Clint Capela,,,,,,rebound defensive,,,,,,Capela REBOUND (Off:0 Def:1)
