game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,0,0,0:12:00,0:00:00,0:00:00,2,LAC,jump ball,,Marvin Bagley III,Serge Ibaka,,,,,,,Marvin Bagley III,,Richaun Holmes,,,,jump ball,,,,,,Jump Ball Ibaka vs. Bagley III: Tip to Holmes
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,0,0,0:11:46,0:00:14,0:00:14,3,SAC,shot,,,,Nicolas Batum,,,,,,Marvin Bagley III,0,,,missed,,layup,3,-26,21,27.6,7.1,Batum BLOCK (1 BLK): MISS Bagley III 3' Layup
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,0,0,0:11:44,0:00:16,0:00:02,4,LAC,rebound,,,,,,,,,,Luke Kennard,,,,,,rebound defensive,,,,,,Kennard REBOUND (Off:0 Def:1)
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,0,3,0:11:27,0:00:33,0:00:17,5,LAC,shot,Kawhi Leonard,,,,,,,,,Luke Kennard,3,,,made,,3pt jump shot,24,-237,-1,1.2999999999999972,89.1,Kennard 24' 3PT Jump Shot (3 PTS) (Leonard 1 AST)
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,2,3,0:11:12,0:00:48,0:00:15,6,SAC,shot,De'Aaron Fox,,,,,,,,,Richaun Holmes,2,,,made,,floating jump shot,9,27,90,22.3,14.0,Holmes 9' Floating Jump Shot (2 PTS) (Fox 1 AST)
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,2,3,0:10:48,0:01:12,0:00:24,7,LAC,shot,,,,,,,,,,Serge Ibaka,0,,,missed,,layup,3,25,20,27.5,87.0,MISS Ibaka 3' Layup
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,2,3,0:10:46,0:01:14,0:00:02,8,SAC,rebound,,,,,,,,,,Marvin Bagley III,,,,,,rebound defensive,,,,,,Bagley III REBOUND (Off:0 Def:1)
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,4,3,0:10:42,0:01:18,0:00:04,9,SAC,shot,De'Aaron Fox,,,,,,,,,Richaun Holmes,2,,,made,,dunk,2,-5,17,25.5,6.7,Holmes 2' Alley Oop Dunk (4 PTS) (Fox 2 AST)
22000366,2020-21 Regular Season,2021-02-07,Marvin Bagley III,Richaun Holmes,De'Aaron Fox,Buddy Hield,Harrison Barnes,Serge Ibaka,Nicolas Batum,Luke Kennard,Kawhi Leonard,Reggie Jackson,1,4,3,0:10:24,0:01:36,0:00:18,10,LAC,shot,,,,,,,,,,Nicolas Batum,0,,,missed,,3pt jump shot,26,-109,238,14.1,65.2,MISS Batum 26' 3PT Jump Shot
