game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:12:00,0:00:00,0:00:00,2,SAS,jump ball,,Juan Toscano-Anderson,Jakob Poeltl,,,,,,,Jakob Poeltl,,Dejounte Murray,,,,jump ball,,,,,,Jump Ball Poeltl vs. Toscano-Anderson: Tip to Murray
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:11:40,0:00:20,0:00:20,3,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,floating jump shot,4,-1,42,24.9,84.8,MISS Johnson 4' Floating Jump Shot
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:11:40,0:00:20,0:00:00,4,SAS,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,SPURS Rebound
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:11:34,0:00:26,0:00:06,5,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,jump shot,15,-3,151,24.7,73.9,MISS Johnson 15' Pullup Jump Shot
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:11:32,0:00:28,0:00:02,6,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:11:21,0:00:39,0:00:11,7,GSW,shot,,,,,,,,,,Andrew Wiggins,0,,,missed,,jump shot,18,-71,162,32.1,21.2,MISS Wiggins 18' Pullup Jump Shot
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:11:19,0:00:41,0:00:02,8,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound defensive,,,,,,Poeltl REBOUND (Off:0 Def:1)
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:11:14,0:00:46,0:00:05,9,SAS,turnover,,,,,,,,,,Dejounte Murray,,,bad pass,,,bad pass,,,,,,Murray Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22000378,2020-21 Regular Season,2021-02-09,Juan Toscano-Anderson,Draymond Green,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Jakob Poeltl,Dejounte Murray,Keldon Johnson,DeMar DeRozan,Devin Vassell,1,0,0,0:11:02,0:00:58,0:00:12,10,GSW,turnover,,,,,,,,,,Draymond Green,,,bad pass,,,bad pass,,,,,,Green Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
