game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,0,0:12:00,0:00:00,0:00:00,2,BOS,jump ball,,Isaiah Stewart,Daniel Theis,,,,,,,Daniel Theis,,Semi Ojeleye,,,,jump ball,,,,,,Jump Ball Theis vs. Stewart: Tip to Ojeleye
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,3,0:11:35,0:00:25,0:00:25,3,BOS,shot,Jayson Tatum,,,,,,,,,Semi Ojeleye,3,,,made,,3pt jump shot,23,226,52,47.6,83.8,Ojeleye 3PT Jump Shot (3 PTS) (Tatum 1 AST)
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,3,0:11:21,0:00:39,0:00:14,4,DET,shot,,,,,,,,,,Wayne Ellington,0,,,missed,,3pt turnaround jump shot,25,100,234,15.0,28.400000000000002,MISS Ellington 25' 3PT Turnaround Jump Shot
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,3,0:11:19,0:00:41,0:00:02,5,BOS,rebound,,,,,,,,,,Semi Ojeleye,,,,,,rebound defensive,,,,,,Ojeleye REBOUND (Off:0 Def:1)
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,5,0:11:00,0:01:00,0:00:19,6,BOS,shot,,,,,,,,,,Jaylen Brown,2,,,made,,driving floating jump shot,8,-75,22,17.5,86.8,Brown 8' Driving Floating Jump Shot (2 PTS)
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,5,0:11:00,0:01:00,0:00:00,7,DET,foul,,,,,,,,Jaylen Brown,,Isaiah Stewart,,,s.foul,,,shooting,,,,,,Stewart S.FOUL (P1.T1) (J.DeRosa)
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,6,0:11:00,0:01:00,0:00:00,8,BOS,free throw,,,,,,,1,,1,Jaylen Brown,1,,,made,,free throw 1/1,,,,,,Brown Free Throw 1 of 1 (3 PTS)
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,6,0:10:40,0:01:20,0:00:20,9,DET,shot,,,,,,,,,,Wayne Ellington,0,,,missed,,3pt jump shot,26,180,189,7.0,23.900000000000002,MISS Ellington 26' 3PT Jump Shot
22000412,2020-21 Regular Season,2021-02-12,Isaiah Stewart,Wayne Ellington,Jerami Grant,Blake Griffin,Delon Wright,Daniel Theis,Semi Ojeleye,Jayson Tatum,Jaylen Brown,Payton Pritchard,1,0,6,0:10:38,0:01:22,0:00:02,10,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
