game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,0,0,0:12:00,0:00:00,0:00:00,2,BOS,jump ball,,Clint Capela,Daniel Theis,,,,,,,Clint Capela,,John Collins,,,,jump ball,,,,,,Jump Ball Theis vs. Capela: Tip to Collins
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,0,0,0:11:37,0:00:23,0:00:23,3,ATL,shot,,,,,,,,,,Kevin Huerter,0,,,missed,,driving floating jump shot,4,-35,23,28.5,7.300000000000001,MISS Huerter 4' Driving Floating Jump Shot
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,0,0,0:11:35,0:00:25,0:00:02,4,BOS,rebound,,,,,,,,,,Kemba Walker,,,,,,rebound defensive,,,,,,Walker REBOUND (Off:0 Def:1)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,0,2,0:11:19,0:00:41,0:00:16,5,BOS,shot,Jayson Tatum,,,,,,,,,Jaylen Brown,2,,,made,,layup,2,-19,15,23.1,87.5,Brown 2' Alley Oop Layup (2 PTS) (Tatum 1 AST)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,0,2,0:11:03,0:00:57,0:00:16,6,ATL,shot,,,,Daniel Theis,,,,,,John Collins,0,,,missed,,cutting dunk shot,2,2,21,24.8,7.1,Theis BLOCK (1 BLK): MISS Collins 2' Cutting Dunk Shot
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,0,2,0:11:00,0:01:00,0:00:03,7,BOS,rebound,,,,,,,,,,Jaylen Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,0,4,0:10:56,0:01:04,0:00:04,8,BOS,shot,Jaylen Brown,,,,,,,,,Kemba Walker,2,,,made,,layup,2,20,14,27.0,87.6,Walker 2' Running Layup (2 PTS) (Brown 1 AST)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,3,4,0:10:48,0:01:12,0:00:08,9,ATL,shot,,,,,,,,,,Trae Young,3,,,made,,3pt jump shot,26,110,241,14.0,29.1,Young 26' 3PT Jump Shot (3 PTS)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,3,4,0:10:34,0:01:26,0:00:14,10,BOS,shot,,,,,,,,,,Kemba Walker,0,,,missed,,3pt jump shot,28,134,242,38.4,64.8,MISS Walker 28' 3PT Jump Shot
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,3,4,0:10:31,0:01:29,0:00:03,11,ATL,rebound,,,,,,,,,,Cam Reddish,,,,,,rebound defensive,,,,,,Reddish REBOUND (Off:0 Def:1)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,5,4,0:10:23,0:01:37,0:00:08,12,ATL,shot,Trae Young,,,,,,,,,Clint Capela,2,,,made,,hook shot,3,-22,15,27.2,6.5,Capela 3' Hook Shot (2 PTS) (Young 1 AST)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,5,4,0:10:03,0:01:57,0:00:20,13,BOS,turnover,,,,,,,,,,Jayson Tatum,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Tatum Out of Bounds Lost Ball Turnover (P1.T1)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,5,4,0:09:50,0:02:10,0:00:13,14,ATL,shot,,,,Kemba Walker,,,,,,Cam Reddish,0,,,missed,,jump shot,6,-21,61,27.1,11.100000000000001,Walker BLOCK (1 BLK): MISS Reddish 6' Jump Shot
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,5,4,0:09:45,0:02:15,0:00:05,15,BOS,rebound,,,,,,,,,,Kemba Walker,,,,,,rebound defensive,,,,,,Walker REBOUND (Off:0 Def:2)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,5,6,0:09:40,0:02:20,0:00:05,16,BOS,shot,Jaylen Brown,,,,,,,,,Tristan Thompson,2,,,made,,hook shot,9,4,90,25.4,80.0,Thompson 9' Hook Shot (2 PTS) (Brown 2 AST)
22000451,2020-21 Regular Season,2021-02-19,Clint Capela,John Collins,Kevin Huerter,Trae Young,Cam Reddish,Daniel Theis,Kemba Walker,Jaylen Brown,Jayson Tatum,Tristan Thompson,1,7,6,0:09:22,0:02:38,0:00:18,17,ATL,shot,Kevin Huerter,,,,,,,,,Clint Capela,2,,,made,,hook shot,5,-36,36,28.6,8.6,Capela 5' Driving Hook Shot (4 PTS) (Huerter 1 AST)
