game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,0,0,0:12:00,0:00:00,0:00:00,2,NYK,jump ball,,Kevon Looney,Nerlens Noel,,,,,,,Kevon Looney,,Draymond Green,,,,jump ball,,,,,,Jump Ball Noel vs. Looney: Tip to Green
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,3,0,0:11:46,0:00:14,0:00:14,3,GSW,shot,Draymond Green,,,,,,,,,Stephen Curry,3,,,made,,3pt jump shot,24,-221,95,47.1,14.5,Curry 24' 3PT Jump Shot (3 PTS) (Green 1 AST)
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,3,0,0:11:23,0:00:37,0:00:23,4,NYK,shot,,,,,,,,,,Reggie Bullock,0,,,missed,,3pt step back jump shot,25,206,142,45.6,74.8,MISS Bullock 25' 3PT Step Back Jump Shot
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,3,0,0:11:21,0:00:39,0:00:02,5,GSW,rebound,,,,,,,,,,Kelly Oubre Jr.,,,,,,rebound defensive,,,,,,Oubre Jr. REBOUND (Off:0 Def:1)
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,6,0,0:11:06,0:00:54,0:00:15,6,GSW,shot,Draymond Green,,,,,,,,,Kelly Oubre Jr.,3,,,made,,3pt jump shot,26,-183,187,43.3,23.7,Oubre Jr. 26' 3PT Jump Shot (3 PTS) (Green 2 AST)
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,6,2,0:10:43,0:01:17,0:00:23,7,NYK,shot,,,,,,,,,,Julius Randle,2,,,made,,fadeaway jumper,13,33,122,28.3,76.8,Randle 13' Fadeaway Jumper (2 PTS)
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,6,2,0:10:31,0:01:29,0:00:12,8,GSW,shot,,,,,,,,,,Draymond Green,0,,,missed,,3pt jump shot,26,119,232,13.1,28.200000000000003,MISS Green 26' 3PT Jump Shot
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,6,2,0:10:29,0:01:31,0:00:02,9,NYK,rebound,,,,,,,,,,Nerlens Noel,,,,,,rebound defensive,,,,,,Noel REBOUND (Off:0 Def:1)
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,6,4,0:10:18,0:01:42,0:00:11,10,NYK,shot,Julius Randle,,,,,,,,,Reggie Bullock,2,,,made,,jump shot,20,113,160,36.3,73.0,Bullock 20' Jump Shot (2 PTS) (Randle 1 AST)
22000483,2020-21 Regular Season,2021-02-23,Kevon Looney,Draymond Green,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Nerlens Noel,Reggie Bullock,Julius Randle,Elfrid Payton,RJ Barrett,1,8,4,0:10:00,0:02:00,0:00:18,11,GSW,shot,Kevon Looney,,,,,,,,,Andrew Wiggins,2,,,made,,jump shot,20,163,119,8.7,16.9,Wiggins 20' Pullup Jump Shot (2 PTS) (Looney 1 AST)
