game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,2,LAL,jump ball,,Enes Kanter,Marc Gasol,,,,,,,Marc Gasol,,Dennis Schroder,,,,jump ball,,,,,,Jump Ball Gasol vs. Kanter: Tip to Schroder
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,0,0,0:11:44,0:00:16,0:00:16,3,LAL,turnover,,,,,,,,,,LeBron James,,,traveling,,,traveling,,,,,,James Traveling Turnover (P1.T1)
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,0,0,0:11:25,0:00:35,0:00:19,4,POR,turnover,,,,,,,,,,Gary Trent Jr.,,,bad pass,,Markieff Morris,bad pass,,,,,,Morris STEAL (1 STL): Trent Jr. Bad Pass Turnover (P1.T1)
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,0,0,0:11:08,0:00:52,0:00:17,5,LAL,shot,,,,,,,,,,Dennis Schroder,0,,,missed,,fadeaway jumper,12,118,11,36.8,87.9,MISS Schroder 12' Fadeaway Jumper
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,0,0,0:11:05,0:00:55,0:00:03,6,POR,rebound,,,,,,,,,,Robert Covington,,,,,,rebound defensive,,,,,,Covington REBOUND (Off:0 Def:1)
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,0,0,0:11:00,0:01:00,0:00:05,7,LAL,foul,,,,,,,,Enes Kanter,,Markieff Morris,,,p.foul,,,personal,,,,,,Morris P.FOUL (P1.T1) (T.Ford)
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,3,0,0:10:51,0:01:09,0:00:09,8,POR,shot,Enes Kanter,,,,,,,,,Gary Trent Jr.,3,,,made,,3pt jump shot,22,-225,15,47.5,6.5,Trent Jr. 3PT Jump Shot (3 PTS) (Kanter 1 AST)
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,3,2,0:10:27,0:01:33,0:00:24,9,LAL,shot,,,,,,,,,,Markieff Morris,2,,,made,,turnaround fadeaway,9,54,67,30.4,82.3,Morris 9' Turnaround Fadeaway (2 PTS)
22000512,2020-21 Regular Season,2021-02-26,Enes Kanter,Gary Trent Jr.,Robert Covington,Damian Lillard,Derrick Jones Jr.,Marc Gasol,Dennis Schroder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,1,3,2,0:10:02,0:01:58,0:00:25,10,POR,shot,,,,,,,,,,Damian Lillard,0,,,missed,,fadeaway jumper,11,-19,106,26.9,15.600000000000001,MISS Lillard 11' Fadeaway Jumper
