game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:12:00,0:00:00,0:00:00,2,ORL,jump ball,,Rudy Gobert,Nikola Vucevic,,,,,,,Rudy Gobert,,Royce O'Neale,,,,jump ball,,,,,,Jump Ball Vucevic vs. Gobert: Tip to O'Neale
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:11:35,0:00:25,0:00:25,3,ORL,foul,,,,,,,,Rudy Gobert,,Nikola Vucevic,,,s.foul,,,shooting,,,,,,Vucevic S.FOUL (P1.T1) (N.Green)
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:11:35,0:00:25,0:00:00,4,UTA,free throw,,,,,,,1,,2,Rudy Gobert,0,,,missed,,free throw 1/2,,,,,,MISS Gobert Free Throw 1 of 2
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:11:35,0:00:25,0:00:00,5,UTA,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Jazz Rebound
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:11:35,0:00:25,0:00:00,6,UTA,free throw,,,,,,,2,,2,Rudy Gobert,0,,,missed,,free throw 2/2,,,,,,MISS Gobert Free Throw 2 of 2
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:11:32,0:00:28,0:00:03,7,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:11:20,0:00:40,0:00:12,8,ORL,shot,,,,,,,,,,Nikola Vucevic,0,,,missed,,hook shot,14,-29,133,22.1,75.7,MISS Vucevic 14' Turnaround Hook Shot
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:11:17,0:00:43,0:00:03,9,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:11:12,0:00:48,0:00:05,10,UTA,shot,,,,,,,,,,Donovan Mitchell,0,,,missed,,3pt running jump shot,24,-239,-33,48.900000000000006,1.6999999999999997,MISS Mitchell 24' 3PT Running Jump Shot
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,0,0:11:08,0:00:52,0:00:04,11,ORL,rebound,,,,,,,,,,Evan Fournier,,,,,,rebound defensive,,,,,,Fournier REBOUND (Off:0 Def:1)
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,0,2,0:11:01,0:00:59,0:00:07,12,ORL,shot,,,,,,,,,,Evan Fournier,2,,,made,,jump shot,19,-89,167,16.1,72.3,Fournier 19' Pullup Jump Shot (2 PTS)
22000516,2020-21 Regular Season,2021-02-27,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Joe Ingles,Bojan Bogdanovic,Nikola Vucevic,Evan Fournier,Al-Farouq Aminu,Dwayne Bacon,Michael Carter-Williams,1,2,2,0:10:43,0:01:17,0:00:18,13,UTA,shot,Donovan Mitchell,,,,,,,,,Royce O'Neale,2,,,made,,driving floating jump shot,12,-32,111,28.2,16.1,O'Neale 12' Driving Floating Jump Shot (2 PTS) (Mitchell 1 AST)
