game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,0,0:12:00,0:00:00,0:00:00,2,LAL,jump ball,,Myles Turner,Damian Jones,,,,,,,Damian Jones,,LeBron James,,,,jump ball,,,,,,Jump Ball Jones vs. Turner: Tip to James
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,2,0:11:48,0:00:12,0:00:12,3,LAL,shot,LeBron James,,,,,,,,,Kentavious Caldwell-Pope,2,,,made,,cutting layup shot,2,-5,15,24.5,87.5,Caldwell-Pope 2' Cutting Layup Shot (2 PTS) (James 1 AST)
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,2,0:11:31,0:00:29,0:00:17,4,IND,shot,,,,,,,,,,Justin Holiday,0,,,missed,,3pt jump shot,24,-70,231,32.0,28.1,MISS Holiday 24' 3PT Jump Shot
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,2,0:11:27,0:00:33,0:00:04,5,LAL,rebound,,,,,,,,,,Damian Jones,,,,,,rebound defensive,,,,,,Jones REBOUND (Off:0 Def:1)
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,4,0:11:16,0:00:44,0:00:11,6,LAL,shot,LeBron James,,,,,,,,,Damian Jones,2,,,made,,layup,3,-17,21,23.3,86.9,Jones 3' Layup (2 PTS) (James 2 AST)
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,4,0:10:58,0:01:02,0:00:18,7,LAL,foul,,,,,,,,Myles Turner,,Kentavious Caldwell-Pope,,,s.foul,,,shooting,,,,,,Caldwell-Pope S.FOUL (P1.T1) (G.Petraitis)
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,1,4,0:10:58,0:01:02,0:00:00,8,IND,free throw,,,,,,,1,,2,Myles Turner,1,,,made,,free throw 1/2,,,,,,Turner Free Throw 1 of 2 (1 PTS)
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,2,4,0:10:58,0:01:02,0:00:00,9,IND,free throw,,,,,,,2,,2,Myles Turner,1,,,made,,free throw 2/2,,,,,,Turner Free Throw 2 of 2 (2 PTS)
22000585,2020-21 Regular Season,2021-03-12,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Doug McDermott,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,2,6,0:10:36,0:01:24,0:00:22,10,LAL,shot,,,,,,,,,,LeBron James,2,,,made,,hook shot,9,5,88,25.5,80.2,James 9' Driving Hook Shot (2 PTS)
