game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,0,0:12:00,0:00:00,0:00:00,2,MIA,jump ball,,Jarrett Allen,Bam Adebayo,,,,,,,Bam Adebayo,,Jimmy Butler,,,,jump ball,,,,,,Jump Ball Adebayo vs. Allen: Tip to Butler
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,2,0:11:39,0:00:21,0:00:21,3,MIA,shot,Bam Adebayo,,,,,,,,,Duncan Robinson,2,,,made,,cutting layup shot,3,23,14,27.3,87.6,Robinson 3' Cutting Layup Shot (2 PTS) (Adebayo 1 AST)
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,2,0:11:24,0:00:36,0:00:15,4,CLE,shot,,,,,,,,,,Larry Nance Jr.,0,,,missed,,3pt jump shot,27,-61,262,31.1,31.200000000000003,MISS Nance Jr. 27' 3PT Jump Shot
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,2,0:11:21,0:00:39,0:00:03,5,MIA,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,5,0:11:09,0:00:51,0:00:12,6,MIA,shot,Bam Adebayo,,,,,,,,,Kelly Olynyk,3,,,made,,3pt jump shot,25,213,130,46.3,76.0,Olynyk 25' 3PT Jump Shot (3 PTS) (Adebayo 2 AST)
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,5,0:11:07,0:00:53,0:00:02,7,CLE,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,Cavaliers Timeout: Regular (Reg.1 Short 0)
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,5,0:10:51,0:01:09,0:00:16,8,MIA,foul,,,,,,,,Darius Garland,,Kelly Olynyk,,,p.foul,,,personal,,,,,,Olynyk P.FOUL (P1.T1) (T.Washington)
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,5,0:10:46,0:01:14,0:00:05,9,CLE,shot,,,,,,,,,,Larry Nance Jr.,0,,,missed,,3pt jump shot,26,-90,239,34.0,28.900000000000002,MISS Nance Jr. 26' 3PT Jump Shot
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,0,5,0:10:40,0:01:20,0:00:06,10,CLE,rebound,,,,,,,,,,Isaac Okoro,,,,,,rebound offensive,,,,,,Okoro REBOUND (Off:1 Def:0)
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,2,5,0:10:36,0:01:24,0:00:04,11,CLE,shot,Larry Nance Jr.,,,,,,,,,Isaac Okoro,2,,,made,,driving layup,3,-22,15,27.2,6.5,Okoro 3' Driving Layup (2 PTS) (Nance Jr. 1 AST)
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,2,5,0:10:12,0:01:48,0:00:24,12,MIA,turnover,,,,,,,,,,Bam Adebayo,,,bad pass,,Collin Sexton,bad pass,,,,,,Adebayo Bad Pass Turnover (P1.T1): Sexton STEAL (1 STL)
22000610,2020-21 Regular Season,2021-03-16,Jarrett Allen,Larry Nance Jr.,Darius Garland,Isaac Okoro,Collin Sexton,Bam Adebayo,Jimmy Butler,Duncan Robinson,Kelly Olynyk,Kendrick Nunn,1,5,5,0:10:04,0:01:56,0:00:08,13,CLE,shot,Isaac Okoro,,,,,,,,,Darius Garland,3,,,made,,3pt jump shot,27,32,268,21.8,31.8,Garland 27' 3PT Jump Shot (3 PTS) (Okoro 1 AST)
