game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,0,0:12:00,0:00:00,0:00:00,2,LAL,jump ball,,Cody Zeller,Damian Jones,,,,,,,Damian Jones,,LeBron James,,,,jump ball,,,,,,Jump Ball Jones vs. Zeller: Tip to James
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,0,0,0:11:45,0:00:15,0:00:15,3,LAL,turnover,,,,,,,,,,LeBron James,,,bad pass,,LaMelo Ball,bad pass,,,,,,James Bad Pass Turnover (P1.T1): Ball STEAL (1 STL)
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,2,0,0:11:42,0:00:18,0:00:03,4,CHA,shot,,,,,,,,,,Terry Rozier,2,,,made,,layup,4,12,35,23.8,8.5,Rozier 4' Running Layup (2 PTS)
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,2,0,0:11:42,0:00:18,0:00:00,5,LAL,foul,,,,,,,,Terry Rozier,,Kentavious Caldwell-Pope,,,s.foul,,,shooting,,,,,,Caldwell-Pope S.FOUL (P1.T1) (J.Tiven)
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,3,0,0:11:42,0:00:18,0:00:00,6,CHA,free throw,,,,,,,1,,1,Terry Rozier,1,,,made,,free throw 1/1,,,,,,Rozier Free Throw 1 of 1 (3 PTS)
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,3,3,0:11:31,0:00:29,0:00:11,7,LAL,shot,Dennis Schroder,,,,,,,,,LeBron James,3,,,made,,3pt jump shot,26,-62,254,18.8,63.599999999999994,James 26' 3PT Jump Shot (3 PTS) (Schroder 1 AST)
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,3,3,0:11:08,0:00:52,0:00:23,8,CHA,shot,,,,,,,,,,Gordon Hayward,0,,,missed,,3pt jump shot,27,-118,241,36.8,29.1,MISS Hayward 27' 3PT Jump Shot
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,3,3,0:11:05,0:00:55,0:00:03,9,LAL,rebound,,,,,,,,,,Damian Jones,,,,,,rebound defensive,,,,,,Jones REBOUND (Off:0 Def:1)
22000630,2020-21 Regular Season,2021-03-18,Cody Zeller,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Damian Jones,LeBron James,Kentavious Caldwell-Pope,Dennis Schroder,Markieff Morris,1,3,3,0:10:46,0:01:14,0:00:19,10,LAL,shot,,,,,,,,,,Dennis Schroder,0,,,missed,,3pt jump shot,25,119,222,36.9,66.8,MISS Schroder 25' 3PT Jump Shot
