game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,0,0,0:12:00,0:00:00,0:00:00,2,DEN,jump ball,,Lauri Markkanen,Nikola Jokic,,,,,,,Nikola Jokic,,Michael Porter Jr.,,,,jump ball,,,,,,Jump Ball Jokic vs. Markkanen: Tip to Porter Jr.
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,0,0,0:11:39,0:00:21,0:00:21,3,DEN,shot,,,,,,,,,,Will Barton,0,,,missed,,3pt jump shot,22,221,14,47.1,87.6,MISS Barton 3PT Jump Shot
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,0,0,0:11:37,0:00:23,0:00:02,4,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,0,0,0:11:24,0:00:36,0:00:13,5,CHI,turnover,,,,,,,,,,Tomas Satoransky,,,bad pass,,Michael Porter Jr.,bad pass,,,,,,Porter Jr. STEAL (1 STL): Satoransky Bad Pass Turnover (P1.T1)
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,0,3,0:11:21,0:00:39,0:00:03,6,DEN,shot,Michael Porter Jr.,,,,,,,,,Jamal Murray,3,,,made,,3pt running jump shot,25,-199,145,5.099999999999998,74.5,Murray 25' 3PT Running Jump Shot (3 PTS) (Porter Jr. 1 AST)
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,3,3,0:10:59,0:01:01,0:00:22,7,CHI,shot,Thaddeus Young,,,,,,,,,Tomas Satoransky,3,,,made,,3pt jump shot,23,-228,17,47.8,6.7,Satoransky 3PT Jump Shot (3 PTS) (Young 1 AST)
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,3,5,0:10:43,0:01:17,0:00:16,8,DEN,shot,Jamal Murray,,,,,,,,,Michael Porter Jr.,2,,,made,,layup,2,20,8,27.0,88.2,Porter Jr. 2' Driving Finger Roll Layup (2 PTS) (Murray 1 AST)
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,3,5,0:10:31,0:01:29,0:00:12,9,CHI,shot,,,,,,,,,,Patrick Williams,0,,,missed,,3pt jump shot,25,-134,216,38.4,26.6,MISS Williams 25' 3PT Jump Shot
22000637,2020-21 Regular Season,2021-03-19,Lauri Markkanen,Tomas Satoransky,Thaddeus Young,Patrick Williams,Zach LaVine,Nikola Jokic,Michael Porter Jr.,Will Barton,Jamal Murray,Paul Millsap,1,3,5,0:10:28,0:01:32,0:00:03,10,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
