game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,0,0,0:12:00,0:00:00,0:00:00,2,GSW,jump ball,,Tony Bradley,James Wiseman,,,,,,,James Wiseman,,Andrew Wiggins,,,,jump ball,,,,,,Jump Ball Wiseman vs. Bradley: Tip to Wiggins
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,0,0,0:11:40,0:00:20,0:00:20,3,GSW,shot,,,,,,,,,,James Wiseman,0,,,missed,,jump shot,18,-136,122,11.399999999999999,76.8,MISS Wiseman 18' Step Back Jump Shot
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,0,0,0:11:38,0:00:22,0:00:02,4,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,2,0,0:11:29,0:00:31,0:00:09,5,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,hook shot,7,-18,68,26.8,11.8,Simmons 7' Turnaround Hook Shot (2 PTS)
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,2,0,0:11:10,0:00:50,0:00:19,6,GSW,shot,,,,,,,,,,Andrew Wiggins,0,,,missed,,jump shot,19,-116,154,13.399999999999999,73.6,MISS Wiggins 19' Jump Shot
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,2,0,0:11:08,0:00:52,0:00:02,7,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:2)
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,2,0,0:11:03,0:00:57,0:00:05,8,PHI,shot,,,,,,,,,,Tobias Harris,0,,,missed,,layup,4,33,27,21.7,7.7,MISS Harris 4' Layup
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,2,0,0:11:01,0:00:59,0:00:02,9,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
22000665,2020-21 Regular Season,2021-03-23,Tony Bradley,Tobias Harris,Ben Simmons,Danny Green,Furkan Korkmaz,James Wiseman,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Jordan Poole,1,2,0,0:10:56,0:01:04,0:00:05,10,GSW,shot,,,,,,,,,,Kelly Oubre Jr.,0,,,missed,,3pt jump shot,26,194,179,44.400000000000006,71.1,MISS Oubre Jr. 26' 3PT Jump Shot
