game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,0,0,0:12:00,0:00:00,0:00:00,2,IND,jump ball,,Mason Plumlee,Myles Turner,,,,,,,Mason Plumlee,,Delon Wright,,,,jump ball,,,,,,Jump Ball Turner vs. Plumlee: Tip to Wright
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,3,0,0:11:37,0:00:23,0:00:23,3,DET,shot,Mason Plumlee,,,,,,,,,Jerami Grant,3,,,made,,3pt jump shot,25,110,220,14.0,27.0,Grant 25' 3PT Jump Shot (3 PTS) (Plumlee 1 AST)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,3,2,0:11:21,0:00:39,0:00:16,4,IND,shot,Caris LeVert,,,,,,,,,Domantas Sabonis,2,,,made,,layup,2,-11,12,23.9,87.8,Sabonis 2' Layup (2 PTS) (LeVert 1 AST)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,5,2,0:11:10,0:00:50,0:00:11,5,DET,shot,,,,,,,,,,Jerami Grant,2,,,made,,jump shot,9,11,90,23.9,14.0,Grant 9' Pullup Jump Shot (5 PTS)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,5,4,0:10:55,0:01:05,0:00:15,6,IND,shot,,,,,,,,,,Justin Holiday,2,,,made,,jump shot,17,84,151,33.4,73.9,Holiday 17' Pullup Jump Shot (2 PTS)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:10:41,0:01:19,0:00:14,7,DET,shot,Mason Plumlee,,,,,,,,,Delon Wright,2,,,made,,cutting layup shot,1,-13,4,26.3,5.4,Wright 1' Cutting Layup Shot (2 PTS) (Plumlee 2 AST)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:10:30,0:01:30,0:00:11,8,IND,shot,,,,,,,,,,Caris LeVert,0,,,missed,,3pt step back jump shot,25,-63,243,18.7,64.7,MISS LeVert 25' 3PT Step Back Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:10:27,0:01:33,0:00:03,9,DET,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:10:18,0:01:42,0:00:09,10,DET,shot,,,,,,,,,,Delon Wright,0,,,missed,,3pt step back jump shot,25,85,236,16.5,28.6,MISS Wright 25' 3PT Step Back Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:10:15,0:01:45,0:00:03,11,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound defensive,,,,,,Sabonis REBOUND (Off:0 Def:1)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:10:09,0:01:51,0:00:06,12,IND,shot,,,,,,,,,,Justin Holiday,0,,,missed,,3pt jump shot,26,-212,146,3.799999999999997,74.4,MISS Holiday 26' 3PT Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:10:06,0:01:54,0:00:03,13,DET,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:2)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:09:56,0:02:04,0:00:10,14,DET,shot,,,,,,,,,,Saddiq Bey,0,,,missed,,3pt jump shot,26,-123,232,37.3,28.200000000000003,MISS Bey 26' 3PT Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:09:54,0:02:06,0:00:02,15,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound defensive,,,,,,Sabonis REBOUND (Off:0 Def:2)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,7,4,0:09:41,0:02:19,0:00:13,16,IND,turnover,,,,,,,,,,Caris LeVert,,,bad pass,,Delon Wright,bad pass,,,,,,LeVert Bad Pass Turnover (P1.T1): Wright STEAL (1 STL)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,4,0:09:36,0:02:24,0:00:05,17,DET,shot,,,,,,,,,,Delon Wright,2,,,made,,layup,2,-18,13,26.8,6.3,Wright 2' Running Reverse Layup (4 PTS)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,4,0:09:22,0:02:38,0:00:14,18,IND,shot,,,,,,,,,,Malcolm Brogdon,0,,,missed,,driving floating jump shot,13,114,64,36.4,82.6,MISS Brogdon 13' Driving Floating Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,4,0:09:21,0:02:39,0:00:01,19,DET,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Pistons Rebound
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,4,0:09:21,0:02:39,0:00:00,20,IND,foul,,,,,,,,Mason Plumlee,,Domantas Sabonis,,,l.b.foul,,,loose ball,,,,,,Sabonis L.B.FOUL (P1.T1) (B.Taylor)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,4,0:09:12,0:02:48,0:00:09,21,IND,foul,,,,,,,,Mason Plumlee,,Justin Holiday,,,p.foul,,,personal,,,,,,Holiday P.FOUL (P1.T2) (L.Wood)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,4,0:09:04,0:02:56,0:00:08,22,DET,shot,,,,,,,,,,Frank Jackson,0,,,missed,,3pt jump shot,25,112,221,13.799999999999999,27.1,MISS Jackson 25' 3PT Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,4,0:08:59,0:03:01,0:00:05,23,DET,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound offensive,,,,,,Plumlee REBOUND (Off:1 Def:2)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,4,0:08:57,0:03:03,0:00:02,24,DET,shot,,,,,,,,,,Jerami Grant,0,,,missed,,3pt jump shot,26,0,258,25.0,30.8,MISS Grant 26' 3PT Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,4,0:08:53,0:03:07,0:00:04,25,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound defensive,,,,,,Sabonis REBOUND (Off:0 Def:3)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:08:43,0:03:17,0:00:10,26,IND,shot,,,,,,,,,,Caris LeVert,2,,,made,,driving layup,3,24,22,27.4,86.8,LeVert 3' Driving Layup (2 PTS)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:08:37,0:03:23,0:00:06,27,DET,turnover,,,,,,,,,,Frank Jackson,,,,,,lost ball,,,,,,Jackson Lost Ball Turnover (P1.T1)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:08:37,0:03:23,0:00:00,28,DET,foul,,,,,,,,Caris LeVert,,Frank Jackson,,,l.b.foul,,,loose ball,,,,,,Jackson L.B.FOUL (P1.T1) (P.Ransom)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:08:23,0:03:37,0:00:14,29,IND,shot,,,,,,,,,,Caris LeVert,0,,,missed,,jump shot,14,-62,130,18.8,76.0,MISS LeVert 14' Step Back Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:08:20,0:03:40,0:00:03,30,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound offensive,,,,,,Sabonis REBOUND (Off:1 Def:3)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:08:12,0:03:48,0:00:08,31,IND,shot,,,,,,,,,,Myles Turner,0,,,missed,,3pt jump shot,26,147,212,39.7,67.8,MISS Turner 26' 3PT Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:08:09,0:03:51,0:00:03,32,DET,rebound,,,,,,,,,,Delon Wright,,,,,,rebound defensive,,,,,,Wright REBOUND (Off:0 Def:1)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:07:51,0:04:09,0:00:18,33,DET,shot,,,,,,,,,,Jerami Grant,0,,,missed,,jump shot,18,71,162,17.9,21.2,MISS Grant 18' Pullup Jump Shot
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:07:49,0:04:11,0:00:02,34,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound defensive,,,,,,Sabonis REBOUND (Off:1 Def:4)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:07:38,0:04:22,0:00:11,35,DET,foul,,,,,,,,Justin Holiday,,Saddiq Bey,,,,,,flagrant-1,,,,,,Bey FLAGRANT.FOUL.TYPE1 (P1.T2) (L.Wood)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,6,0:07:38,0:04:22,0:00:00,36,,,,,,,,,,,,,,,,,,unknown,,,,,,
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,7,0:07:38,0:04:22,0:00:00,37,IND,free throw,,,,,,,1,,3,Justin Holiday,1,,,made,,free throw flagrant 1/3,,,,,,Holiday Free Throw Flagrant 1 of 3 (3 PTS)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,8,0:07:38,0:04:22,0:00:00,38,IND,free throw,,,,,,,2,,3,Justin Holiday,1,,,made,,free throw flagrant 2/3,,,,,,Holiday Free Throw Flagrant 2 of 3 (4 PTS)
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,8,0:07:38,0:04:22,0:00:00,39,IND,free throw,,,,,,,3,,3,Justin Holiday,0,,,missed,,free throw flagrant 3/3,,,,,,MISS Holiday Free Throw Flagrant 3 of 3
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,8,0:07:38,0:04:22,0:00:00,40,IND,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,PACERS Rebound
22000667,2020-21 Regular Season,2021-03-24,Mason Plumlee,Delon Wright,Jerami Grant,Saddiq Bey,Frank Jackson,Myles Turner,Domantas Sabonis,Caris LeVert,Justin Holiday,Malcolm Brogdon,1,9,8,0:07:38,0:04:22,0:00:00,41,IND,turnover,,,,,,,,,,Malcolm Brogdon,,,bad pass,,Delon Wright,bad pass,,,,,,Brogdon Bad Pass Turnover (P1.T2): Wright STEAL (2 STL)
