game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Kristaps Porzingis,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Jarred Vanderbilt,,,,jump ball,,,,,,Jump Ball Towns vs. Porzingis: Tip to Vanderbilt
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,0,3,0:11:45,0:00:15,0:00:15,3,MIN,shot,Anthony Edwards,,,,,,,,,Ricky Rubio,3,,,made,,3pt jump shot,24,-200,131,5.0,75.9,Rubio 24' 3PT Jump Shot (3 PTS) (Edwards 1 AST)
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,3,3,0:11:30,0:00:30,0:00:15,4,DAL,shot,Kristaps Porzingis,,,,,,,,,Josh Richardson,3,,,made,,3pt jump shot,27,-123,237,37.3,28.700000000000003,Richardson 27' 3PT Jump Shot (3 PTS) (Porzingis 1 AST)
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,3,6,0:11:13,0:00:47,0:00:17,5,MIN,shot,,,,,,,,,,Anthony Edwards,3,,,made,,3pt pullup jump shot,24,-46,241,20.4,64.9,Edwards 25' 3PT Pullup Jump Shot (3 PTS)
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,3,6,0:10:58,0:01:02,0:00:15,6,DAL,shot,,,,,,,,,,Kristaps Porzingis,0,,,missed,,3pt jump shot,27,-1,270,25.1,32.0,MISS Porzingis 27' 3PT Jump Shot
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,3,6,0:10:56,0:01:04,0:00:02,7,MIN,rebound,,,,,,,,,,Jarred Vanderbilt,,,,,,rebound defensive,,,,,,Vanderbilt REBOUND (Off:0 Def:1)
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,3,6,0:10:48,0:01:12,0:00:08,8,MIN,shot,,,,,,,,,,Anthony Edwards,0,,,missed,,3pt step back jump shot,27,63,261,31.3,62.9,MISS Edwards 27' 3PT Step Back Jump Shot
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,3,6,0:10:45,0:01:15,0:00:03,9,DAL,rebound,,,,,,,,,,Kristaps Porzingis,,,,,,rebound defensive,,,,,,Porzingis REBOUND (Off:0 Def:1)
22000673,2020-21 Regular Season,2021-03-24,Kristaps Porzingis,Josh Richardson,Luka Doncic,Maxi Kleber,Dorian Finney-Smith,Karl-Anthony Towns,Jarred Vanderbilt,Ricky Rubio,Anthony Edwards,Jaden McDaniels,1,3,6,0:10:39,0:01:21,0:00:06,10,DAL,shot,,,,Jaden McDaniels,,,,,,Luka Doncic,0,,,missed,,driving layup,6,-41,46,29.1,9.600000000000001,McDaniels BLOCK (1 BLK): MISS Doncic 6' Driving Layup
