game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,0,0,0:12:00,0:00:00,0:00:00,2,ORL,jump ball,,Jusuf Nurkic,Khem Birch,,,,,,,Khem Birch,,Chasson Randle,,,,jump ball,,,,,,Jump Ball Birch vs. Nurkic: Tip to Randle
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,0,2,0:11:45,0:00:15,0:00:15,3,ORL,shot,James Ennis III,,,,,,,,,Dwayne Bacon,2,,,made,,jump shot,17,55,163,30.5,72.7,Bacon 17' Jump Shot (2 PTS) (Ennis III 1 AST)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,0,2,0:11:29,0:00:31,0:00:16,4,POR,turnover,,,,,,,,,,Norman Powell,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Powell Out of Bounds Lost Ball Turnover (P1.T1)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,0,2,0:11:17,0:00:43,0:00:12,5,ORL,turnover,,,,,,,,,,James Ennis III,,,,,Jusuf Nurkic,lost ball,,,,,,Ennis III Lost Ball Turnover (P1.T1): Nurkic STEAL (1 STL)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,0,2,0:11:15,0:00:45,0:00:02,6,ORL,foul,,,,,,,,Derrick Jones Jr.,,Chuma Okeke,,,s.foul,,,shooting,,,,,,Okeke S.FOUL (P1.T1) (R.Mott)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,0,2,0:11:15,0:00:45,0:00:00,7,POR,free throw,,,,,,,1,,2,Derrick Jones Jr.,0,,,missed,,free throw 1/2,,,,,,MISS Jones Jr. Free Throw 1 of 2
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,0,2,0:11:15,0:00:45,0:00:00,8,POR,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Trail Blazers Rebound
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,1,2,0:11:15,0:00:45,0:00:00,9,POR,free throw,,,,,,,2,,2,Derrick Jones Jr.,1,,,made,,free throw 2/2,,,,,,Jones Jr. Free Throw 2 of 2 (1 PTS)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,1,4,0:11:02,0:00:58,0:00:13,10,ORL,shot,James Ennis III,,,,,,,,,Khem Birch,2,,,made,,jump shot,19,-38,190,21.2,70.0,Birch 19' Pullup Jump Shot (2 PTS) (Ennis III 2 AST)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,1,4,0:10:53,0:01:07,0:00:09,11,POR,shot,,,,,,,,,,CJ McCollum,0,,,missed,,3pt jump shot,26,194,169,5.599999999999998,21.900000000000002,MISS McCollum 26' 3PT Jump Shot
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,1,4,0:10:51,0:01:09,0:00:02,12,ORL,rebound,,,,,,,,,,James Ennis III,,,,,,rebound defensive,,,,,,Ennis III REBOUND (Off:0 Def:1)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,1,7,0:10:42,0:01:18,0:00:09,13,ORL,shot,Dwayne Bacon,,,,,,,,,Chuma Okeke,3,,,made,,3pt jump shot,25,-204,142,4.599999999999998,74.8,Okeke 25' 3PT Jump Shot (3 PTS) (Bacon 1 AST)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,3,7,0:10:32,0:01:28,0:00:10,14,POR,shot,CJ McCollum,,,,,,,,,Norman Powell,2,,,made,,jump shot,15,6,147,24.4,19.700000000000003,Powell 15' Pullup Jump Shot (2 PTS) (McCollum 1 AST)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,3,7,0:10:19,0:01:41,0:00:13,15,ORL,shot,,,,,,,,,,Chasson Randle,0,,,missed,,3pt pullup jump shot,25,-228,112,2.1999999999999993,77.8,MISS Randle 25' 3PT Pullup Jump Shot
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,3,7,0:10:16,0:01:44,0:00:03,16,POR,rebound,,,,,,,,,,Derrick Jones Jr.,,,,,,rebound defensive,,,,,,Jones Jr. REBOUND (Off:0 Def:1)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,5,7,0:10:07,0:01:53,0:00:09,17,POR,shot,,,,,,,,,,CJ McCollum,2,,,made,,driving layup,13,74,110,17.6,16.0,McCollum 13' Driving Layup (2 PTS)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,5,9,0:09:46,0:02:14,0:00:21,18,ORL,shot,Chasson Randle,,,,,,,,,Khem Birch,2,,,made,,floating jump shot,3,-5,29,24.5,86.1,Birch 3' Floating Jump Shot (4 PTS) (Randle 1 AST)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,5,9,0:09:38,0:02:22,0:00:08,19,ORL,foul,,,,,,,,Norman Powell,,Dwayne Bacon,,,p.foul,,,personal,,,,,,Bacon P.FOUL (P1.T2) (R.Mott)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,5,9,0:09:29,0:02:31,0:00:09,20,POR,shot,,,,,,,,,,CJ McCollum,0,,,missed,,3pt jump shot,26,139,223,11.1,27.3,MISS McCollum 26' 3PT Jump Shot
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,5,9,0:09:27,0:02:33,0:00:02,21,ORL,rebound,,,,,,,,,,James Ennis III,,,,,,rebound defensive,,,,,,Ennis III REBOUND (Off:0 Def:2)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,5,9,0:09:17,0:02:43,0:00:10,22,POR,foul,,,,,,,,Dwayne Bacon,,Jusuf Nurkic,,,s.foul,,,shooting,,,,,,Nurkic S.FOUL (P1.T1) (R.Mott)
22000687,2020-21 Regular Season,2021-03-26,Jusuf Nurkic,Norman Powell,Derrick Jones Jr.,CJ McCollum,Robert Covington,Khem Birch,Chasson Randle,Dwayne Bacon,James Ennis III,Chuma Okeke,1,5,10,0:09:17,0:02:43,0:00:00,23,ORL,free throw,,,,,,,1,,2,Dwayne Bacon,1,,,made,,free throw 1/2,,,,,,Bacon Free Throw 1 of 2 (3 PTS)
