game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,0,0,0:12:00,0:00:00,0:00:00,2,WAS,jump ball,,Boban Marjanovic,Alex Len,,,,,,,Boban Marjanovic,,Nicolo Melli,,,,jump ball,,,,,,Jump Ball Len vs. Marjanovic: Tip to Melli
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,2,0,0:11:41,0:00:19,0:00:19,3,DAL,shot,Dorian Finney-Smith,,,,,,,,,Boban Marjanovic,2,,,made,,hook shot,3,-15,21,26.5,7.1,Marjanovic 3' Hook Shot (2 PTS) (Finney-Smith 1 AST)
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,2,2,0:11:27,0:00:33,0:00:14,4,WAS,shot,,,,,,,,,,Russell Westbrook,2,,,made,,jump shot,18,163,73,41.3,81.7,Westbrook 18' Pullup Jump Shot (2 PTS)
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,2,2,0:11:02,0:00:58,0:00:25,5,DAL,shot,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,jump shot,18,56,174,19.4,22.400000000000002,MISS Hardaway Jr. 18' Pullup Jump Shot
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,2,2,0:10:58,0:01:02,0:00:04,6,WAS,rebound,,,,,,,,,,Alex Len,,,,,,rebound defensive,,,,,,Len REBOUND (Off:0 Def:1)
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,2,2,0:10:55,0:01:05,0:00:03,7,WAS,shot,,,,,,,,,,Russell Westbrook,0,,,missed,,jump shot,19,-147,120,10.299999999999999,77.0,MISS Westbrook 19' Pullup Jump Shot
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,2,2,0:10:53,0:01:07,0:00:02,8,WAS,rebound,,,,,,,,,,Alex Len,,,,,,rebound offensive,,,,,,Len REBOUND (Off:1 Def:1)
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,2,2,0:10:52,0:01:08,0:00:01,9,WAS,shot,,,,,,,,,,Garrison Mathews,0,,,missed,,3pt jump shot,26,35,256,28.5,63.4,MISS Mathews 26' 3PT Jump Shot
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,2,2,0:10:48,0:01:12,0:00:04,10,DAL,rebound,,,,,,,,,,Nicolo Melli,,,,,,rebound defensive,,,,,,Melli REBOUND (Off:0 Def:1)
22000747,2020-21 Regular Season,2021-04-03,Boban Marjanovic,Nicolo Melli,Dorian Finney-Smith,Tim Hardaway Jr.,Luka Doncic,Alex Len,Russell Westbrook,Garrison Mathews,Davis Bertans,Deni Avdija,1,4,2,0:10:31,0:01:29,0:00:17,11,DAL,shot,,,,,,,,,,Luka Doncic,2,,,made,,jump shot,7,14,64,23.6,11.4,Doncic 7' Turnaround Jump Shot (2 PTS)
