game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,0,0,0:12:00,0:00:00,0:00:00,2,UTA,jump ball,,Wendell Carter Jr.,Rudy Gobert,,,,,,,Rudy Gobert,,Royce O'Neale,,,,jump ball,,,,,,Jump Ball Gobert vs. Carter Jr.: Tip to O'Neale
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,0,0,0:11:47,0:00:13,0:00:13,3,UTA,shot,,,,,,,,,,Royce O'Neale,0,,,missed,,3pt jump shot,26,98,237,34.8,65.3,MISS O'Neale 26' 3PT Jump Shot
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,0,0,0:11:44,0:00:16,0:00:03,4,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:0 Def:1)
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,2,0,0:11:35,0:00:25,0:00:09,5,ORL,shot,,,,,,,,,,Chasson Randle,2,,,made,,driving layup,2,8,16,24.2,6.6,Randle 2' Driving Layup (2 PTS)
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,2,3,0:11:21,0:00:39,0:00:14,6,UTA,shot,Bojan Bogdanovic,,,,,,,,,Joe Ingles,3,,,made,,3pt pullup jump shot,25,136,214,38.6,67.6,Ingles 25' 3PT Pullup Jump Shot (3 PTS) (Bogdanovic 1 AST)
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,2,3,0:11:00,0:01:00,0:00:21,7,ORL,shot,,,,,,,,,,Chuma Okeke,0,,,missed,,3pt jump shot,25,-168,189,41.8,23.900000000000002,MISS Okeke 25' 3PT Jump Shot
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,2,3,0:10:58,0:01:02,0:00:02,8,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,2,3,0:10:44,0:01:16,0:00:14,9,UTA,shot,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,jump shot,9,85,32,33.5,85.8,MISS Bogdanovic 9' Step Back Bank Jump Shot
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,2,3,0:10:40,0:01:20,0:00:04,10,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:0 Def:2)
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,2,3,0:10:33,0:01:27,0:00:07,11,ORL,shot,,,,,,,,,,Wendell Carter Jr.,0,,,missed,,3pt jump shot,25,-172,184,42.2,23.400000000000002,MISS Carter Jr. 25' 3PT Jump Shot
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,2,3,0:10:31,0:01:29,0:00:02,12,UTA,rebound,,,,,,,,,,Royce O'Neale,,,,,,rebound defensive,,,,,,O'Neale REBOUND (Off:0 Def:1)
22000752,2020-21 Regular Season,2021-04-03,Wendell Carter Jr.,Chasson Randle,Chuma Okeke,James Ennis III,Dwayne Bacon,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,1,2,3,0:10:15,0:01:45,0:00:16,13,UTA,shot,,,,,,,,,,Donovan Mitchell,0,,,missed,,3pt jump shot,24,236,0,48.6,89.0,MISS Mitchell 24' 3PT Jump Shot
