game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,0,0:12:00,0:00:00,0:00:00,2,SAC,jump ball,,Brook Lopez,Richaun Holmes,,,,,,,Richaun Holmes,,Buddy Hield,,,,jump ball,,,,,,Jump Ball Holmes vs. Lopez: Tip to Hield
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,2,0:11:37,0:00:23,0:00:23,3,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,jump shot,15,-67,136,18.3,75.4,Fox 15' Step Back Jump Shot (2 PTS)
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,2,0:11:17,0:00:43,0:00:20,4,MIL,shot,,,,,,,,,,Khris Middleton,0,,,missed,,3pt pullup jump shot,26,-98,239,34.8,28.900000000000002,MISS Middleton 26' 3PT Pullup Jump Shot
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,2,0:11:13,0:00:47,0:00:04,5,SAC,rebound,,,,,,,,,,De'Aaron Fox,,,,,,rebound defensive,,,,,,Fox REBOUND (Off:0 Def:1)
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,2,0:11:07,0:00:53,0:00:06,6,SAC,shot,,,,,,,,,,Buddy Hield,0,,,missed,,3pt pullup jump shot,27,97,256,34.7,63.4,MISS Hield 27' 3PT Pullup Jump Shot
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,2,0:11:03,0:00:57,0:00:04,7,MIL,rebound,,,,,,,,,,Donte DiVincenzo,,,,,,rebound defensive,,,,,,DiVincenzo REBOUND (Off:0 Def:1)
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,2,0:10:57,0:01:03,0:00:06,8,MIL,shot,,,,,,,,,,Khris Middleton,0,,,missed,,fadeaway jumper,6,-51,27,30.1,7.7,MISS Middleton 6' Fadeaway Jumper
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,2,0:10:54,0:01:06,0:00:03,9,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound defensive,,,,,,Holmes REBOUND (Off:0 Def:1)
22000754,2020-21 Regular Season,2021-04-03,Brook Lopez,Khris Middleton,Donte DiVincenzo,Jrue Holiday,Pat Connaughton,Richaun Holmes,Buddy Hield,De'Aaron Fox,Harrison Barnes,Tyrese Haliburton,1,0,2,0:10:47,0:01:13,0:00:07,10,SAC,shot,,,,,,,,,,Richaun Holmes,0,,,missed,,floating jump shot,13,101,79,35.1,81.1,MISS Holmes 13' Floating Jump Shot
