game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,0,0:12:00,0:00:00,0:00:00,2,PHI,jump ball,,Jonas Valanciunas,Ben Simmons,,,,,,,Jonas Valanciunas,,Kyle Anderson,,,,jump ball,,,,,,Jump Ball Simmons vs. Valanciunas: Tip to Anderson
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,0,0:11:42,0:00:18,0:00:18,3,MEM,shot,,,,,,,,,,Grayson Allen,0,,,missed,,3pt step back jump shot,26,105,235,14.5,28.5,MISS Allen 26' 3PT Step Back Jump Shot
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,0,0:11:35,0:00:25,0:00:07,4,PHI,rebound,,,,,,,,,,Seth Curry,,,,,,rebound defensive,,,,,,Curry REBOUND (Off:0 Def:1)
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,2,0:11:31,0:00:29,0:00:04,5,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,dunk,1,5,-5,25.5,89.5,Simmons 1' Running Dunk (2 PTS)
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,2,0:11:12,0:00:48,0:00:19,6,MEM,turnover,,,,,,,,,,Kyle Anderson,,,bad pass,,Mike Scott,bad pass,,,,,,Scott STEAL (1 STL): Anderson Bad Pass Turnover (P1.T1)
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,2,0:11:04,0:00:56,0:00:08,7,PHI,shot,,,,,,,,,,Danny Green,0,,,missed,,3pt jump shot,27,162,211,41.2,67.9,MISS Green 27' 3PT Jump Shot
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,2,0:11:01,0:00:59,0:00:03,8,MEM,rebound,,,,,,,,,,Jonas Valanciunas,,,,,,rebound defensive,,,,,,Valanciunas REBOUND (Off:0 Def:1)
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,2,0:10:53,0:01:07,0:00:08,9,MEM,turnover,,,,,,,,,,Dillon Brooks,,,bad pass,,Ben Simmons,bad pass,,,,,,Simmons STEAL (1 STL): Brooks Bad Pass Turnover (P1.T2)
22000758,2020-21 Regular Season,2021-04-04,Jonas Valanciunas,Kyle Anderson,Grayson Allen,Dillon Brooks,Ja Morant,Ben Simmons,Seth Curry,Mike Scott,Danny Green,Tobias Harris,1,0,5,0:10:48,0:01:12,0:00:05,10,PHI,shot,Ben Simmons,,,,,,,,,Danny Green,3,,,made,,3pt jump shot,25,-202,147,4.799999999999997,74.3,Green 25' 3PT Jump Shot (3 PTS) (Simmons 1 AST)
