game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,0,0,0:12:00,0:00:00,0:00:00,2,MIL,jump ball,,P.J. Washington,Bobby Portis,,,,,,,Bobby Portis,,Bryn Forbes,,,,jump ball,,,,,,Jump Ball Portis vs. Washington: Tip to Forbes
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,0,0,0:11:45,0:00:15,0:00:15,3,MIL,shot,,,,,,,,,,Bobby Portis,0,,,missed,,cutting dunk shot,5,0,51,25.0,83.9,MISS Portis 5' Cutting Dunk Shot
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,0,0,0:11:43,0:00:17,0:00:02,4,CHA,rebound,,,,,,,,,,Terry Rozier,,,,,,rebound defensive,,,,,,Rozier REBOUND (Off:0 Def:1)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,0,0,0:11:36,0:00:24,0:00:07,5,CHA,shot,,,,,,,,,,Devonte' Graham,0,,,missed,,3pt jump shot,24,-232,59,48.2,10.9,MISS Graham 24' 3PT Jump Shot
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,0,0,0:11:33,0:00:27,0:00:03,6,MIL,rebound,,,,,,,,,,Jordan Nwora,,,,,,rebound defensive,,,,,,Nwora REBOUND (Off:0 Def:1)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,0,0,0:11:23,0:00:37,0:00:10,7,MIL,shot,,,,,,,,,,Jeff Teague,0,,,missed,,driving floating jump shot,10,6,96,25.6,79.4,MISS Teague 10' Driving Floating Jump Shot
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,0,0,0:11:21,0:00:39,0:00:02,8,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,3,0,0:11:11,0:00:49,0:00:10,9,CHA,shot,Miles Bridges,,,,,,,,,Jalen McDaniels,3,,,made,,3pt jump shot,23,-232,2,48.2,5.2,McDaniels 3PT Jump Shot (3 PTS) (Bridges 1 AST)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,3,2,0:10:50,0:01:10,0:00:21,10,MIL,shot,,,,,,,,,,Bobby Portis,2,,,made,,hook shot,7,-3,66,24.7,82.4,Portis 7' Turnaround Hook Shot (2 PTS)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,5,2,0:10:27,0:01:33,0:00:23,11,CHA,shot,,,,,,,,,,P.J. Washington,2,,,made,,jump shot,16,-157,52,40.7,10.2,Washington 17' Jump Shot (2 PTS)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,5,4,0:10:15,0:01:45,0:00:12,12,MIL,shot,,,,,,,,,,Bryn Forbes,2,,,made,,jump shot,15,-70,132,18.0,75.8,Forbes 15' Step Back Jump Shot (2 PTS)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,7,4,0:10:03,0:01:57,0:00:12,13,CHA,shot,Miles Bridges,,,,,,,,,Jalen McDaniels,2,,,made,,cutting dunk shot,1,6,11,24.4,6.1,McDaniels 1' Cutting Dunk Shot (5 PTS) (Bridges 2 AST)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,7,4,0:09:40,0:02:20,0:00:23,14,MIL,shot,,,,,,,,,,Bobby Portis,0,,,missed,,hook shot,5,24,48,27.4,84.2,MISS Portis 5' Hook Shot
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,7,4,0:09:35,0:02:25,0:00:05,15,MIL,rebound,,,,,,,,,,Thanasis Antetokounmpo,,,,,,rebound offensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:0)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,7,6,0:09:35,0:02:25,0:00:00,16,MIL,shot,,,,,,,,,,Thanasis Antetokounmpo,2,,,made,,dunk,0,0,0,25.0,89.0,Antetokounmpo Tip Dunk Shot (2 PTS)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,7,6,0:09:19,0:02:41,0:00:16,17,CHA,shot,,,,,,,,,,P.J. Washington,0,,,missed,,3pt jump shot,24,-236,-4,48.6,4.6,MISS Washington 24' 3PT Jump Shot
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,7,6,0:09:16,0:02:44,0:00:03,18,MIL,rebound,,,,,,,,,,Bobby Portis,,,,,,rebound defensive,,,,,,Portis REBOUND (Off:0 Def:1)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,7,9,0:09:09,0:02:51,0:00:07,19,MIL,shot,Thanasis Antetokounmpo,,,,,,,,,Bryn Forbes,3,,,made,,3pt jump shot,26,-116,230,13.399999999999999,66.0,Forbes 26' 3PT Jump Shot (5 PTS) (Antetokounmpo 1 AST)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,10,9,0:08:49,0:03:11,0:00:20,20,CHA,shot,Jalen McDaniels,,,,,,,,,Miles Bridges,3,,,made,,3pt jump shot,23,227,0,2.299999999999997,5.0,Bridges 3PT Jump Shot (3 PTS) (McDaniels 1 AST)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,10,9,0:08:23,0:03:37,0:00:26,21,MIL,shot,,,,,,,,,,Jordan Nwora,0,,,missed,,3pt jump shot,27,-169,208,8.099999999999998,68.2,MISS Nwora 27' 3PT Jump Shot
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,10,9,0:08:20,0:03:40,0:00:03,22,CHA,rebound,,,,,,,,,,P.J. Washington,,,,,,rebound defensive,,,,,,Washington REBOUND (Off:0 Def:1)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Thanasis Antetokounmpo,1,10,9,0:08:07,0:03:53,0:00:13,23,MIL,violation,,,,,,,,,,Bobby Portis,,,,,,kicked ball,,,,,,Portis Violation:Kicked Ball (J.Williams)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Rodions Kurucs,1,10,9,0:08:07,0:03:53,0:00:00,24,MIL,substitution,,,,,Rodions Kurucs,Thanasis Antetokounmpo,,,,Thanasis Antetokounmpo,,,,,,sub,,,,,,SUB: Kurucs FOR Antetokounmpo
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Rodions Kurucs,1,10,9,0:08:01,0:03:59,0:00:06,25,MIL,foul,,,,,,,,Miles Bridges,,Bobby Portis,,,s.foul,,,shooting,,,,,,Portis S.FOUL (P1.T1) (E.Scott)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Rodions Kurucs,1,11,9,0:08:01,0:03:59,0:00:00,26,CHA,free throw,,,,,,,1,,2,Miles Bridges,1,,,made,,free throw 1/2,,,,,,Bridges Free Throw 1 of 2 (4 PTS)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Rodions Kurucs,1,12,9,0:08:01,0:03:59,0:00:00,27,CHA,free throw,,,,,,,2,,2,Miles Bridges,1,,,made,,free throw 2/2,,,,,,Bridges Free Throw 2 of 2 (5 PTS)
22000796,2020-21 Regular Season,2021-04-09,P.J. Washington,Terry Rozier,Devonte' Graham,Miles Bridges,Jalen McDaniels,Bobby Portis,Bryn Forbes,Jordan Nwora,Jeff Teague,Rodions Kurucs,1,12,11,0:07:46,0:04:14,0:00:15,28,MIL,shot,Jeff Teague,,,,,,,,,Bobby Portis,2,,,made,,jump shot,15,51,145,30.1,74.5,Portis 15' Pullup Jump Shot (4 PTS) (Teague 1 AST)
