game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,0,0,0:12:00,0:00:00,0:00:00,2,BKN,jump ball,,Andre Drummond,LaMarcus Aldridge,,,,,,,Andre Drummond,,Dennis Schroder,,,,jump ball,,,,,,Jump Ball Aldridge vs. Drummond: Tip to Schroder
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,2,0,0:11:46,0:00:14,0:00:14,3,LAL,shot,Kentavious Caldwell-Pope,,,,,,,,,Dennis Schroder,2,,,made,,jump shot,15,-31,143,28.1,19.3,Schroder 15' Pullup Jump Shot (2 PTS) (Caldwell-Pope 1 AST)
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,2,0,0:11:26,0:00:34,0:00:20,4,BKN,shot,,,,,,,,,,Joe Harris,0,,,missed,,3pt jump shot,24,177,170,42.7,72.0,MISS Harris 25' 3PT Jump Shot
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,2,0,0:11:23,0:00:37,0:00:03,5,LAL,rebound,,,,,,,,,,Markieff Morris,,,,,,rebound defensive,,,,,,Morris REBOUND (Off:0 Def:1)
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,2,0,0:11:18,0:00:42,0:00:05,6,LAL,shot,,,,,,,,,,Markieff Morris,0,,,missed,,3pt jump shot,26,18,262,23.2,31.200000000000003,MISS Morris 26' 3PT Jump Shot
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,2,0,0:11:15,0:00:45,0:00:03,7,BKN,rebound,,,,,,,,,,Jeff Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,2,2,0:11:03,0:00:57,0:00:12,8,BKN,shot,Kevin Durant,,,,,,,,,Jeff Green,2,,,made,,driving floating jump shot,6,-3,60,24.7,83.0,Green 6' Driving Floating Jump Shot (2 PTS) (Durant 1 AST)
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,5,2,0:10:41,0:01:19,0:00:22,9,LAL,shot,Markieff Morris,,,,,,,,,Talen Horton-Tucker,3,,,made,,3pt jump shot,24,128,209,12.2,25.900000000000002,Horton-Tucker 25' 3PT Jump Shot (3 PTS) (Morris 1 AST)
22000800,2020-21 Regular Season,2021-04-10,Andre Drummond,Dennis Schroder,Kentavious Caldwell-Pope,Markieff Morris,Talen Horton-Tucker,LaMarcus Aldridge,Joe Harris,Jeff Green,Kevin Durant,Kyrie Irving,1,5,2,0:10:27,0:01:33,0:00:14,10,BKN,shot,,,,,,,,,,Joe Harris,0,,,missed,,jump shot,13,-34,122,21.6,76.8,MISS Harris 13' Pullup Jump Shot
