game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,0,0,0:12:00,0:00:00,0:00:00,2,CLE,jump ball,,Steven Adams,Isaiah Hartenstein,,,,,,,Steven Adams,,Brandon Ingram,,,,jump ball,,,,,,Jump Ball Hartenstein vs. Adams: Tip to Ingram
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,0,0,0:11:45,0:00:15,0:00:15,3,NOP,shot,,,,,,,,,,Brandon Ingram,0,,,missed,,layup,1,-3,14,25.3,6.4,MISS Ingram 1' Driving Finger Roll Layup
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,0,0,0:11:42,0:00:18,0:00:03,4,CLE,rebound,,,,,,,,,,Dean Wade,,,,,,rebound defensive,,,,,,Wade REBOUND (Off:0 Def:1)
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,0,3,0:11:33,0:00:27,0:00:09,5,CLE,shot,Matthew Dellavedova,,,,,,,,,Isaac Okoro,3,,,made,,3pt jump shot,26,-179,186,7.099999999999998,70.4,Okoro 26' 3PT Jump Shot (3 PTS) (Dellavedova 1 AST)
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,3,3,0:11:19,0:00:41,0:00:14,6,NOP,shot,Naji Marshall,,,,,,,,,Brandon Ingram,3,,,made,,3pt jump shot,25,-176,177,42.6,22.7,Ingram 25' 3PT Jump Shot (3 PTS) (Marshall 1 AST)
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,3,3,0:11:01,0:00:59,0:00:18,7,CLE,shot,,,,Naji Marshall,,,,,,Matthew Dellavedova,0,,,missed,,layup,2,-14,8,23.6,88.2,MISS Dellavedova 2' Layup: Marshall BLOCK (1 BLK)
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,3,3,0:10:58,0:01:02,0:00:03,8,NOP,rebound,,,,,,,,,,Naji Marshall,,,,,,rebound defensive,,,,,,Marshall REBOUND (Off:0 Def:1)
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,5,3,0:10:57,0:01:03,0:00:01,9,NOP,shot,,,,,,,,,,Naji Marshall,2,,,made,,layup,1,0,9,25.0,5.9,Marshall 1' Running Layup (2 PTS)
22000807,2020-21 Regular Season,2021-04-11,Steven Adams,Brandon Ingram,Naji Marshall,Eric Bledsoe,Zion Williamson,Isaiah Hartenstein,Dean Wade,Isaac Okoro,Matthew Dellavedova,Kevin Love,1,5,3,0:10:57,0:01:03,0:00:00,10,CLE,foul,,,,,,,,Naji Marshall,,Isaiah Hartenstein,,,s.foul,,,shooting,,,,,,Hartenstein S.FOUL (P1.T1) (E.Scott)
