game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,0,0,0:12:00,0:00:00,0:00:00,2,NYK,jump ball,,Andre Drummond,Nerlens Noel,,,,,,,Andre Drummond,,Dennis Schroder,,,,jump ball,,,,,,Jump Ball Noel vs. Drummond: Tip to Schroder
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,0,0,0:11:39,0:00:21,0:00:21,3,LAL,shot,,,,,,,,,,Andre Drummond,0,,,missed,,hook shot,6,12,57,23.8,10.7,MISS Drummond 6' Hook Shot
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,0,0,0:11:38,0:00:22,0:00:01,4,LAL,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Lakers Rebound
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,2,0,0:11:35,0:00:25,0:00:03,5,LAL,shot,Markieff Morris,,,,,,,,,Kyle Kuzma,2,,,made,,layup,2,-2,16,25.2,6.6,Kuzma 2' Layup (2 PTS) (Morris 1 AST)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,2,0,0:11:18,0:00:42,0:00:17,6,NYK,shot,,,,Kyle Kuzma,,,,,,RJ Barrett,0,,,missed,,fadeaway jumper,11,-38,107,21.2,78.3,MISS Barrett 11' Fadeaway Jumper: Kuzma BLOCK (1 BLK)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,2,0,0:11:16,0:00:44,0:00:02,7,LAL,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:1)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,2,0,0:11:15,0:00:45,0:00:01,8,LAL,turnover,,,,,,,,,,Kyle Kuzma,,,bad pass,,RJ Barrett,bad pass,,,,,,Barrett STEAL (1 STL): Kuzma Bad Pass Turnover (P1.T1)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,2,3,0:11:04,0:00:56,0:00:11,9,NYK,shot,Reggie Bullock,,,,,,,,,Julius Randle,3,,,made,,3pt jump shot,25,-138,212,11.2,67.8,Randle 25' 3PT Jump Shot (3 PTS) (Bullock 1 AST)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,2,3,0:10:38,0:01:22,0:00:26,10,LAL,turnover,,,,,,,,,,Andre Drummond,,,,,Nerlens Noel,lost ball,,,,,,Noel STEAL (1 STL): Drummond Lost Ball Turnover (P1.T2)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,2,5,0:10:26,0:01:34,0:00:12,11,NYK,shot,,,,,,,,,,Julius Randle,2,,,made,,jump shot,16,78,143,32.8,74.7,Randle 16' Jump Shot (5 PTS)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,5,5,0:10:17,0:01:43,0:00:09,12,LAL,shot,Dennis Schroder,,,,,,,,,Markieff Morris,3,,,made,,3pt jump shot,25,17,247,23.3,29.700000000000003,Morris 25' 3PT Jump Shot (3 PTS) (Schroder 1 AST)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,5,7,0:10:07,0:01:53,0:00:10,13,NYK,shot,RJ Barrett,,,,,,,,,Elfrid Payton,2,,,made,,driving layup,1,13,0,26.3,89.0,Payton 1' Driving Layup (2 PTS) (Barrett 1 AST)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,5,7,0:09:52,0:02:08,0:00:15,14,LAL,shot,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,3pt jump shot,26,132,221,11.799999999999999,27.1,MISS Caldwell-Pope 26' 3PT Jump Shot
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,5,7,0:09:50,0:02:10,0:00:02,15,NYK,rebound,,,,,,,,,,Nerlens Noel,,,,,,rebound defensive,,,,,,Noel REBOUND (Off:0 Def:1)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,5,7,0:09:43,0:02:17,0:00:07,16,NYK,shot,,,,Kyle Kuzma,,,,,,RJ Barrett,0,,,missed,,driving layup,3,-29,12,22.1,87.8,MISS Barrett 3' Driving Layup: Kuzma BLOCK (2 BLK)
22000815,2020-21 Regular Season,2021-04-12,Andre Drummond,Dennis Schroder,Kyle Kuzma,Markieff Morris,Kentavious Caldwell-Pope,Nerlens Noel,RJ Barrett,Julius Randle,Reggie Bullock,Elfrid Payton,1,5,7,0:09:41,0:02:19,0:00:02,17,LAL,rebound,,,,,,,,,,Kentavious Caldwell-Pope,,,,,,rebound defensive,,,,,,Caldwell-Pope REBOUND (Off:0 Def:1)
