game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,0,0,0:12:00,0:00:00,0:00:00,2,ORL,jump ball,,Jakob Poeltl,Wendell Carter Jr.,,,,,,,Wendell Carter Jr.,,Chuma Okeke,,,,jump ball,,,,,,Jump Ball Carter Jr. vs. Poeltl: Tip to Okeke
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,0,2,0:11:45,0:00:15,0:00:15,3,ORL,shot,,,,,,,,,,Wendell Carter Jr.,2,,,made,,jump shot,10,-89,50,16.1,84.0,Carter Jr. 10' Jump Shot (2 PTS)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,2,0:11:28,0:00:32,0:00:17,4,SAS,shot,DeMar DeRozan,,,,,,,,,Dejounte Murray,3,,,made,,3pt jump shot,25,-218,130,46.8,18.0,Murray 25' 3PT Jump Shot (3 PTS) (DeRozan 1 AST)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,2,0:10:58,0:01:02,0:00:30,5,ORL,shot,,,,Jakob Poeltl,,,,,,Dwayne Bacon,0,,,missed,,layup,5,-7,48,24.3,84.2,MISS Bacon 5' Layup: Poeltl BLOCK (1 BLK)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,2,0:10:55,0:01:05,0:00:03,6,SAS,rebound,,,,,,,,,,Keldon Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,2,0:10:49,0:01:11,0:00:06,7,SAS,shot,,,,,,,,,,DeMar DeRozan,0,,,missed,,hook shot,6,8,55,24.2,10.5,MISS DeRozan 6' Turnaround Hook Shot
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,2,0:10:46,0:01:14,0:00:03,8,ORL,rebound,,,,,,,,,,James Ennis III,,,,,,rebound defensive,,,,,,Ennis III REBOUND (Off:0 Def:1)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,5,0:10:41,0:01:19,0:00:05,9,ORL,shot,,,,,,,,,,James Ennis III,3,,,made,,3pt running jump shot,26,0,257,25.0,63.3,Ennis III 26' 3PT Running Jump Shot (3 PTS)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,5,0:10:28,0:01:32,0:00:13,10,SAS,turnover,,,,,,,,,,Dejounte Murray,,,bad pass,,Michael Carter-Williams,bad pass,,,,,,Carter-Williams STEAL (1 STL): Murray Bad Pass Turnover (P1.T1)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,7,0:10:09,0:01:51,0:00:19,11,ORL,shot,Chuma Okeke,,,,,,,,,Wendell Carter Jr.,2,,,made,,layup,2,-19,-6,23.1,89.6,Carter Jr. 2' Reverse Layup (4 PTS) (Okeke 1 AST)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,7,0:09:49,0:02:11,0:00:20,12,SAS,shot,,,,,,,,,,Derrick White,0,,,missed,,3pt jump shot,24,-20,243,27.0,29.3,MISS White 24' 3PT Jump Shot
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,7,0:09:44,0:02:16,0:00:05,13,ORL,rebound,,,,,,,,,,Chuma Okeke,,,,,,rebound defensive,,,,,,Okeke REBOUND (Off:0 Def:1)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,7,0:09:36,0:02:24,0:00:08,14,ORL,shot,,,,,,,,,,James Ennis III,0,,,missed,,driving layup,6,30,48,28.0,84.2,MISS Ennis III 6' Driving Layup
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,7,0:09:32,0:02:28,0:00:04,15,ORL,rebound,,,,,,,,,,James Ennis III,,,,,,rebound offensive,,,,,,Ennis III REBOUND (Off:1 Def:1)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,7,0:09:32,0:02:28,0:00:00,16,ORL,shot,,,,,,,,,,James Ennis III,0,,,missed,,layup,0,0,0,25.0,89.0,MISS Ennis III Tip Layup Shot
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,7,0:09:32,0:02:28,0:00:00,17,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound offensive,,,,,,Carter Jr. REBOUND (Off:1 Def:0)
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,7,0:09:32,0:02:28,0:00:00,18,ORL,shot,,,,,,,,,,Wendell Carter Jr.,0,,,missed,,layup,0,0,0,25.0,89.0,MISS Carter Jr. Tip Layup Shot
22000816,2020-21 Regular Season,2021-04-12,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Keldon Johnson,Derrick White,Wendell Carter Jr.,Chuma Okeke,Dwayne Bacon,James Ennis III,Michael Carter-Williams,1,3,7,0:09:32,0:02:28,0:00:00,19,SAS,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Spurs Rebound
