game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,0,0,0:12:00,0:00:00,0:00:00,2,ATL,jump ball,,Brook Lopez,Clint Capela,,,,,,,Brook Lopez,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Capela vs. Lopez: Tip to Antetokounmpo
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,0,0:11:44,0:00:16,0:00:16,3,MIL,shot,Khris Middleton,,,,,,,,,Giannis Antetokounmpo,2,,,made,,layup,0,3,1,24.7,5.1,Antetokounmpo Reverse Layup (2 PTS) (Middleton 1 AST)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,2,0:11:29,0:00:31,0:00:15,4,ATL,shot,,,,,,,,,,Kevin Huerter,2,,,made,,jump shot,14,44,134,29.4,75.6,Huerter 14' Pullup Jump Shot (2 PTS)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,2,0:11:16,0:00:44,0:00:13,5,MIL,shot,,,,,,,,,,Jrue Holiday,0,,,missed,,jump shot,14,-141,-5,39.1,4.5,MISS Holiday 14' Step Back Jump Shot
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,2,0:11:13,0:00:47,0:00:03,6,ATL,rebound,,,,,,,,,,Bogdan Bogdanovic,,,,,,rebound defensive,,,,,,Bogdanovic REBOUND (Off:0 Def:1)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,5,0:11:09,0:00:51,0:00:04,7,ATL,shot,Bogdan Bogdanovic,,,,,,,,,Solomon Hill,3,,,made,,3pt running jump shot,25,-100,230,15.0,66.0,S. Hill 25' 3PT Running Jump Shot (3 PTS) (Bogdanovic 1 AST)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,5,0:10:48,0:01:12,0:00:21,8,MIL,shot,,,,,,,,,,Bryn Forbes,0,,,missed,,3pt jump shot,23,-228,36,47.8,8.6,MISS Forbes 3PT Jump Shot
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,5,0:10:45,0:01:15,0:00:03,9,ATL,rebound,,,,,,,,,,Clint Capela,,,,,,rebound defensive,,,,,,Capela REBOUND (Off:0 Def:1)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,7,0:10:38,0:01:22,0:00:07,10,ATL,shot,,,,,,,,,,Clint Capela,2,,,made,,layup,2,-11,11,23.9,87.9,Capela 2' Layup (2 PTS)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,7,0:10:22,0:01:38,0:00:16,11,MIL,shot,,,,,,,,,,Bryn Forbes,0,,,missed,,3pt jump shot,25,-100,225,35.0,27.5,MISS Forbes 25' 3PT Jump Shot
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,7,0:10:19,0:01:41,0:00:03,12,ATL,rebound,,,,,,,,,,Clint Capela,,,,,,rebound defensive,,,,,,Capela REBOUND (Off:0 Def:2)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,7,0:10:10,0:01:50,0:00:09,13,ATL,shot,,,,,,,,,,Trae Young,0,,,missed,,driving floating jump shot,12,-8,121,24.2,76.9,MISS Young 12' Driving Floating Jump Shot
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,2,7,0:10:07,0:01:53,0:00:03,14,MIL,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,4,7,0:10:01,0:01:59,0:00:06,15,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,2,,,made,,layup,2,6,15,24.4,6.5,Antetokounmpo 2' Running Layup (4 PTS)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,4,10,0:09:42,0:02:18,0:00:19,16,ATL,shot,Solomon Hill,,,,,,,,,Bogdan Bogdanovic,3,,,made,,3pt jump shot,24,-223,101,2.6999999999999993,78.9,Bogdanovic 24' 3PT Jump Shot (3 PTS) (S. Hill 1 AST)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,6,10,0:09:25,0:02:35,0:00:17,17,MIL,shot,Jrue Holiday,,,,,,,,,Brook Lopez,2,,,made,,jump shot,15,-138,50,38.8,10.0,Lopez 15' Turnaround Jump Shot (2 PTS) (Holiday 1 AST)
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,6,10,0:09:10,0:02:50,0:00:15,18,ATL,shot,,,,,,,,,,Trae Young,0,,,missed,,driving floating jump shot,10,-5,100,24.5,79.0,MISS Young 10' Driving Floating Jump Shot
22000840,2020-21 Regular Season,2021-04-15,Brook Lopez,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Bryn Forbes,Clint Capela,Kevin Huerter,Bogdan Bogdanovic,Solomon Hill,Trae Young,1,6,10,0:09:07,0:02:53,0:00:03,19,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
