game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,0,0,0:12:00,0:00:00,0:00:00,2,PHI,jump ball,,Ivica Zubac,Joel Embiid,,,,,,,Joel Embiid,,Mike Scott,,,,jump ball,,,,,,Jump Ball Embiid vs. Zubac: Tip to Scott
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,0,3,0:11:36,0:00:24,0:00:24,3,PHI,shot,Furkan Korkmaz,,,,,,,,,Mike Scott,3,,,made,,3pt jump shot,26,142,216,39.2,67.4,Scott 26' 3PT Jump Shot (3 PTS) (Korkmaz 1 AST)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,0,3,0:11:09,0:00:51,0:00:27,4,LAC,shot,,,,,,,,,,Marcus Morris Sr.,0,,,missed,,jump shot,16,-150,55,40.0,10.5,MISS Morris Sr. 16' Jump Shot
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,0,3,0:11:05,0:00:55,0:00:04,5,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,0,3,0:11:00,0:01:00,0:00:05,6,LAC,foul,,,,,,,,Furkan Korkmaz,,Luke Kennard,,,p.foul,,,personal,,,,,,Kennard P.FOUL (P1.T1) (C.Blair)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,0,5,0:10:51,0:01:09,0:00:09,7,PHI,shot,,,,,,,,,,Joel Embiid,2,,,made,,jump shot,14,-32,134,21.8,75.6,Embiid 14' Pullup Jump Shot (2 PTS)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,5,0:10:36,0:01:24,0:00:15,8,LAC,shot,Reggie Jackson,,,,,,,,,Paul George,3,,,made,,3pt jump shot,27,-164,210,41.400000000000006,26.0,George 27' 3PT Jump Shot (3 PTS) (Jackson 1 AST)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,8,0:10:28,0:01:32,0:00:08,9,PHI,shot,Ben Simmons,,,,,,,,,Danny Green,3,,,made,,3pt jump shot,23,230,40,48.0,85.0,Green 3PT Jump Shot (3 PTS) (Simmons 1 AST)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,8,0:10:14,0:01:46,0:00:14,10,LAC,shot,,,,,,,,,,Ivica Zubac,0,,,missed,,hook shot,4,-5,41,25.5,9.100000000000001,MISS Zubac 4' Hook Shot
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,8,0:10:10,0:01:50,0:00:04,11,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:2)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,8,0:10:02,0:01:58,0:00:08,12,PHI,shot,,,,,,,,,,Mike Scott,0,,,missed,,3pt jump shot,23,-227,4,2.299999999999997,88.6,MISS Scott 3PT Jump Shot
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,8,0:09:58,0:02:02,0:00:04,13,PHI,rebound,,,,,,,,,,Danny Green,,,,,,rebound offensive,,,,,,Green REBOUND (Off:1 Def:0)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,10,0:09:44,0:02:16,0:00:14,14,PHI,shot,Danny Green,,,,,,,,,Joel Embiid,2,,,made,,fadeaway jumper,12,9,116,25.9,77.4,Embiid 12' Fadeaway Jumper (4 PTS) (Green 1 AST)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,10,0:09:31,0:02:29,0:00:13,15,LAC,shot,,,,,,,,,,Paul George,0,,,missed,,3pt jump shot,25,241,59,0.8999999999999986,10.9,MISS George 25' 3PT Jump Shot
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,10,0:09:30,0:02:30,0:00:01,16,PHI,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,76ERS Rebound
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,10,0:09:21,0:02:39,0:00:09,17,LAC,foul,,,,,,,,Joel Embiid,,Reggie Jackson,,,s.foul,,,shooting,,,,,,Jackson S.FOUL (P1.T2) (J.Goble)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,11,0:09:21,0:02:39,0:00:00,18,PHI,free throw,,,,,,,1,,2,Joel Embiid,1,,,made,,free throw 1/2,,,,,,Embiid Free Throw 1 of 2 (5 PTS)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,12,0:09:21,0:02:39,0:00:00,19,PHI,free throw,,,,,,,2,,2,Joel Embiid,1,,,made,,free throw 2/2,,,,,,Embiid Free Throw 2 of 2 (6 PTS)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,12,0:09:09,0:02:51,0:00:12,20,LAC,foul,,,,,,,,Joel Embiid,,Ivica Zubac,,,offensive charge foul,,,offensive charge,,,,,,Zubac Offensive Charge Foul (P1.T3) (J.Goble)
22000846,2020-21 Regular Season,2021-04-16,Ivica Zubac,Marcus Morris Sr.,Luke Kennard,Paul George,Reggie Jackson,Joel Embiid,Mike Scott,Furkan Korkmaz,Danny Green,Ben Simmons,1,3,12,0:09:09,0:02:51,0:00:00,21,LAC,turnover,,,,,,,,,,Ivica Zubac,,,offensive foul turnover,,,offensive foul,,,,,,Zubac Offensive Foul Turnover (P1.T1)
