game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,0,0,0:12:00,0:00:00,0:00:00,2,OKC,jump ball,,Domantas Sabonis,Moses Brown,,,,,,,Moses Brown,,Theo Maledon,,,,jump ball,,,,,,Jump Ball Brown vs. Sabonis: Tip to Maledon
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,0,0,0:11:46,0:00:14,0:00:14,3,OKC,shot,,,,Oshae Brissett,,,,,,Isaiah Roby,0,,,missed,,driving layup,4,-40,16,21.0,87.4,MISS Roby 4' Driving Layup: Brissett BLOCK (1 BLK)
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,0,0,0:11:46,0:00:14,0:00:00,4,OKC,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,THUNDER Rebound
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,0,0,0:11:40,0:00:20,0:00:06,5,OKC,shot,,,,,,,,,,Darius Bazley,0,,,missed,,hook shot,12,39,114,28.9,77.6,MISS Bazley 12' Hook Shot
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,0,0,0:11:38,0:00:22,0:00:02,6,IND,rebound,,,,,,,,,,Oshae Brissett,,,,,,rebound defensive,,,,,,Brissett REBOUND (Off:0 Def:1)
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,2,0,0:11:30,0:00:30,0:00:08,7,IND,shot,Domantas Sabonis,,,,,,,,,Oshae Brissett,2,,,made,,driving floating jump shot,12,-51,106,30.1,15.600000000000001,Brissett 12' Driving Floating Jump Shot (2 PTS) (Sabonis 1 AST)
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,2,0,0:11:05,0:00:55,0:00:25,8,OKC,shot,,,,,,,,,,Darius Bazley,0,,,missed,,driving floating jump shot,6,-60,8,19.0,88.2,MISS Bazley 6' Driving Floating Jump Shot
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,2,0,0:11:05,0:00:55,0:00:00,9,IND,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Pacers Rebound
22000963,2020-21 Regular Season,2021-05-01,Domantas Sabonis,Oshae Brissett,Edmond Sumner,Doug McDermott,Caris LeVert,Moses Brown,Theo Maledon,Isaiah Roby,Darius Bazley,Charlie Brown Jr.,1,4,0,0:10:47,0:01:13,0:00:18,10,IND,shot,Domantas Sabonis,,,,,,,,,Edmond Sumner,2,,,made,,cutting layup shot,2,-11,11,26.1,6.1,Sumner 2' Cutting Layup Shot (2 PTS) (Sabonis 2 AST)
