game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,0,0,0:12:00,0:00:00,0:00:00,2,UTA,jump ball,,Jakob Poeltl,Rudy Gobert,,,,,,,Jakob Poeltl,,Dejounte Murray,,,,jump ball,,,,,,Jump Ball Gobert vs. Poeltl: Tip to Murray
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,0,0,0:11:43,0:00:17,0:00:17,3,SAS,shot,,,,,,,,,,Devin Vassell,0,,,missed,,jump shot,12,-71,97,32.1,14.700000000000001,MISS Vassell 12' Pullup Jump Shot
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,0,0,0:11:41,0:00:19,0:00:02,4,UTA,rebound,,,,,,,,,,Royce O'Neale,,,,,,rebound defensive,,,,,,O'Neale REBOUND (Off:0 Def:1)
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,0,3,0:11:30,0:00:30,0:00:11,5,UTA,shot,Joe Ingles,,,,,,,,,Georges Niang,3,,,made,,3pt jump shot,24,-31,243,21.9,64.7,Niang 24' 3PT Jump Shot (3 PTS) (Ingles 1 AST)
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,0,3,0:11:06,0:00:54,0:00:24,6,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,driving floating jump shot,7,57,37,19.3,8.7,MISS Johnson 7' Driving Floating Jump Shot
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,0,3,0:11:03,0:00:57,0:00:03,7,UTA,rebound,,,,,,,,,,Bojan Bogdanovic,,,,,,rebound defensive,,,,,,Bogdanovic REBOUND (Off:0 Def:1)
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,0,5,0:10:57,0:01:03,0:00:06,8,UTA,shot,,,,,,,,,,Bojan Bogdanovic,2,,,made,,hook shot,5,47,15,29.7,87.5,Bogdanovic 5' Turnaround Bank Hook Shot (2 PTS)
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,2,5,0:10:37,0:01:23,0:00:20,9,SAS,shot,,,,,,,,,,Dejounte Murray,2,,,made,,fadeaway jumper,15,-76,125,32.6,17.5,Murray 15' Fadeaway Jumper (2 PTS)
22000996,2020-21 Regular Season,2021-05-05,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,DeMar DeRozan,Rudy Gobert,Royce O'Neale,Georges Niang,Joe Ingles,Bojan Bogdanovic,1,2,5,0:10:26,0:01:34,0:00:11,10,UTA,turnover,,,,,,,,,,Joe Ingles,,,bad pass,,,bad pass,,,,,,Ingles Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
