game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,0,0,0:12:00,0:00:00,0:00:00,2,UTA,jump ball,,Nikola Jokic,Rudy Gobert,,,,,,,Nikola Jokic,,Facundo Campazzo,,,,jump ball,,,,,,Jump Ball Gobert vs. Jokic: Tip to Campazzo
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,0,0,0:11:46,0:00:14,0:00:14,3,DEN,turnover,,,,,,,,,,Facundo Campazzo,,,bad pass,,Royce O'Neale,bad pass,,,,,,O'Neale STEAL (1 STL): Campazzo Bad Pass Turnover (P1.T1)
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,0,0,0:11:40,0:00:20,0:00:06,4,UTA,shot,,,,,,,,,,Joe Ingles,0,,,missed,,3pt jump shot,24,-234,55,1.5999999999999979,83.5,MISS Ingles 24' 3PT Jump Shot
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,0,0,0:11:38,0:00:22,0:00:02,5,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,2,0,0:11:24,0:00:36,0:00:14,6,DEN,shot,,,,,,,,,,Paul Millsap,2,,,made,,driving layup,2,-18,6,26.8,5.6,Millsap 2' Driving Layup (2 PTS)
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,2,0,0:11:07,0:00:53,0:00:17,7,UTA,shot,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,3pt jump shot,25,182,167,43.2,72.3,MISS Bogdanovic 25' 3PT Jump Shot
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,2,0,0:11:05,0:00:55,0:00:02,8,DEN,rebound,,,,,,,,,,Facundo Campazzo,,,,,,rebound defensive,,,,,,Campazzo REBOUND (Off:0 Def:1)
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,4,0,0:10:58,0:01:02,0:00:07,9,DEN,shot,,,,,,,,,,Facundo Campazzo,2,,,made,,layup,2,-20,-2,27.0,4.8,Campazzo 2' Running Layup (2 PTS)
22001008,2020-21 Regular Season,2021-05-07,Nikola Jokic,Facundo Campazzo,Paul Millsap,Aaron Gordon,Michael Porter Jr.,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Georges Niang,1,4,2,0:10:43,0:01:17,0:00:15,10,UTA,shot,Joe Ingles,,,,,,,,,Rudy Gobert,2,,,made,,cutting layup shot,3,18,21,26.8,86.9,Gobert 3' Cutting Layup Shot (2 PTS) (Ingles 1 AST)
