game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,0,0,0:12:00,0:00:00,0:00:00,2,CHI,jump ball,,Kevin Durant,Nikola Vucevic,,,,,,,Kevin Durant,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Vucevic vs. Durant: Tip to Griffin
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,3,0,0:11:46,0:00:14,0:00:14,3,BKN,shot,Blake Griffin,,,,,,,,,Joe Harris,3,,,made,,3pt jump shot,24,112,218,13.799999999999999,26.8,Harris 25' 3PT Jump Shot (3 PTS) (Griffin 1 AST)
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,3,0,0:11:33,0:00:27,0:00:13,4,CHI,shot,,,,,,,,,,Zach LaVine,0,,,missed,,3pt jump shot,27,56,263,30.6,62.7,MISS LaVine 27' 3PT Jump Shot
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,3,0,0:11:31,0:00:29,0:00:02,5,BKN,rebound,,,,,,,,,,Bruce Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,6,0,0:11:24,0:00:36,0:00:07,6,BKN,shot,Kyrie Irving,,,,,,,,,Blake Griffin,3,,,made,,3pt jump shot,25,74,242,17.6,29.200000000000003,Griffin 25' 3PT Jump Shot (3 PTS) (Irving 1 AST)
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,6,0,0:11:08,0:00:52,0:00:16,7,CHI,shot,,,,,,,,,,Daniel Theis,0,,,missed,,hook shot,7,2,71,25.2,81.9,MISS Theis 7' Turnaround Hook Shot
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,6,0,0:11:08,0:00:52,0:00:00,8,BKN,rebound,,,,,,,,,,Joe Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,6,0,0:11:00,0:01:00,0:00:08,9,BKN,turnover,,,,,,,,,,Kevin Durant,,,bad pass,,,bad pass,,,,,,Durant Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22001036,2020-21 Regular Season,2021-05-11,Kevin Durant,Blake Griffin,Joe Harris,Bruce Brown,Kyrie Irving,Nikola Vucevic,Zach LaVine,Daniel Theis,Coby White,Patrick Williams,1,6,0,0:10:49,0:01:11,0:00:11,10,CHI,shot,,,,,,,,,,Nikola Vucevic,0,,,missed,,3pt jump shot,27,73,264,32.3,62.599999999999994,MISS Vucevic 27' 3PT Jump Shot
