game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,0,0,0:12:00,0:00:00,0:00:00,2,BKN,jump ball,,Jakob Poeltl,Kevin Durant,,,,,,,Jakob Poeltl,,Keldon Johnson,,,,jump ball,,,,,,Jump Ball Durant vs. Poeltl: Tip to Johnson
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,2,0,0:11:44,0:00:16,0:00:16,3,SAS,shot,,,,,,,,,,Keldon Johnson,2,,,made,,driving layup,2,-20,1,27.0,5.1,Johnson 2' Driving Layup (2 PTS)
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,2,2,0:11:25,0:00:35,0:00:19,4,BKN,shot,,,,,,,,,,Blake Griffin,2,,,made,,hook shot,3,34,1,28.4,88.9,Griffin 3' Turnaround Hook Shot (2 PTS)
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,2,2,0:11:09,0:00:51,0:00:16,5,SAS,shot,,,,,,,,,,Dejounte Murray,0,,,missed,,jump shot,15,74,127,17.6,17.700000000000003,MISS Murray 15' Pullup Jump Shot
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,2,2,0:11:05,0:00:55,0:00:04,6,BKN,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,2,4,0:10:54,0:01:06,0:00:11,7,BKN,shot,Mike James,,,,,,,,,Kevin Durant,2,,,made,,driving dunk,2,16,-2,26.6,89.2,Durant 2' Driving Dunk (2 PTS) (James 1 AST)
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,4,4,0:10:37,0:01:23,0:00:17,8,SAS,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,jump shot,18,37,180,21.3,23.0,DeRozan 18' Pullup Jump Shot (2 PTS)
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,4,7,0:10:27,0:01:33,0:00:10,9,BKN,shot,Mike James,,,,,,,,,Blake Griffin,3,,,made,,3pt jump shot,25,-65,242,18.5,64.8,Griffin 25' 3PT Jump Shot (5 PTS) (James 2 AST)
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,4,7,0:10:15,0:01:45,0:00:12,10,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,driving layup,0,2,-3,24.8,4.7,MISS Johnson Driving Layup
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,4,7,0:10:13,0:01:47,0:00:02,11,BKN,rebound,,,,,,,,,,Bruce Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,4,7,0:09:53,0:02:07,0:00:20,12,BKN,shot,,,,,,,,,,Blake Griffin,0,,,missed,,3pt step back jump shot,24,231,50,48.1,84.0,MISS Griffin 24' 3PT Step Back Jump Shot
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,4,7,0:09:49,0:02:11,0:00:04,13,SAS,rebound,,,,,,,,,,Lonnie Walker IV,,,,,,rebound defensive,,,,,,Walker IV REBOUND (Off:0 Def:1)
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,6,7,0:09:38,0:02:22,0:00:11,14,SAS,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,fadeaway jumper,8,57,59,19.3,10.9,DeRozan 8' Fadeaway Jumper (4 PTS)
22001043,2020-21 Regular Season,2021-05-12,Jakob Poeltl,Keldon Johnson,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Kevin Durant,Blake Griffin,Mike James,Bruce Brown,Landry Shamet,1,6,7,0:09:38,0:02:22,0:00:00,15,BKN,foul,,,,,,,,DeMar DeRozan,,Bruce Brown,,,s.foul,,,shooting,,,,,,Brown S.FOUL (P1.T1) (J.Goble)
