game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,2,LAL,jump ball,,Kelly Olynyk,Andre Drummond,,,,,,,Andre Drummond,,Wesley Matthews,,,,jump ball,,,,,,Jump Ball Drummond vs. Olynyk: Tip to Matthews
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,0,2,0:11:34,0:00:26,0:00:26,3,LAL,shot,,,,,,,,,,Markieff Morris,2,,,made,,driving layup,3,-3,26,24.7,86.4,Morris 3' Driving Layup (2 PTS)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,0,2,0:11:20,0:00:40,0:00:14,4,LAL,foul,,,,,,,,Kenyon Martin Jr.,,Andre Drummond,,,s.foul,,,shooting,,,,,,Drummond S.FOUL (P1.T1) (E.Dalen)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,1,2,0:11:20,0:00:40,0:00:00,5,HOU,free throw,,,,,,,1,,2,Kenyon Martin Jr.,1,,,made,,free throw 1/2,,,,,,Martin Jr. Free Throw 1 of 2 (1 PTS)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,2,2,0:11:20,0:00:40,0:00:00,6,HOU,free throw,,,,,,,2,,2,Kenyon Martin Jr.,1,,,made,,free throw 2/2,,,,,,Martin Jr. Free Throw 2 of 2 (2 PTS)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,2,2,0:11:08,0:00:52,0:00:12,7,LAL,turnover,,,,,,,,,,Talen Horton-Tucker,,,bad pass,,Khyri Thomas,bad pass,,,,,,Horton-Tucker Bad Pass Turnover (P1.T1): Thomas STEAL (1 STL)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,4,2,0:11:02,0:00:58,0:00:06,8,HOU,shot,Kelly Olynyk,,,,,,,,,Kenyon Martin Jr.,2,,,made,,dunk,2,-2,21,25.2,7.1,Martin Jr. 2' Running Alley Oop Dunk Shot (4 PTS) (Olynyk 1 AST)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,4,4,0:10:53,0:01:07,0:00:09,9,LAL,shot,,,,,,,,,,Talen Horton-Tucker,2,,,made,,driving reverse layup,2,-14,7,23.6,88.3,Horton-Tucker 2' Driving Reverse Layup (2 PTS)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,7,4,0:10:36,0:01:24,0:00:17,10,HOU,shot,D.J. Augustin,,,,,,,,,Kelly Olynyk,3,,,made,,3pt jump shot,26,174,187,7.599999999999998,23.7,Olynyk 26' 3PT Jump Shot (3 PTS) (Augustin 1 AST)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,7,7,0:10:11,0:01:49,0:00:25,11,LAL,shot,Talen Horton-Tucker,,,,,,,,,Wesley Matthews,3,,,made,,3pt step back jump shot,25,189,170,43.900000000000006,72.0,Matthews 25' 3PT Step Back Jump Shot (3 PTS) (Horton-Tucker 1 AST)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,7,7,0:09:54,0:02:06,0:00:17,12,LAL,jump ball,,Kelly Olynyk,Talen Horton-Tucker,,,,,,,Kelly Olynyk,,Kenyon Martin Jr.,,,,jump ball,,,,,,Jump Ball Horton-Tucker vs. Olynyk: Tip to Martin Jr.
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,9,7,0:09:47,0:02:13,0:00:07,13,HOU,shot,Kenyon Martin Jr.,,,,,,,,,Kelly Olynyk,2,,,made,,hook shot,3,14,31,23.6,8.1,Olynyk 3' Turnaround Hook Shot (5 PTS) (Martin Jr. 1 AST)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,9,7,0:09:37,0:02:23,0:00:10,14,LAL,turnover,,,,,,,,,,Andre Drummond,,,bad pass,,,bad pass,,,,,,Drummond Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,12,7,0:09:22,0:02:38,0:00:15,15,HOU,shot,D.J. Augustin,,,,,,,,,Jae'Sean Tate,3,,,made,,3pt jump shot,23,228,43,2.1999999999999993,9.3,Tate 3PT Jump Shot (3 PTS) (Augustin 2 AST)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,12,9,0:09:07,0:02:53,0:00:15,16,LAL,shot,Markieff Morris,,,,,,,,,Andre Drummond,2,,,made,,layup,3,-14,26,23.6,86.4,Drummond 3' Layup (2 PTS) (Morris 1 AST)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,12,9,0:09:07,0:02:53,0:00:00,17,HOU,foul,,,,,,,,Andre Drummond,,Kelly Olynyk,,,s.foul,,,shooting,,,,,,Olynyk S.FOUL (P1.T1) (E.Dalen)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,12,9,0:09:07,0:02:53,0:00:00,18,LAL,free throw,,,,,,,1,,1,Andre Drummond,0,,,missed,,free throw 1/1,,,,,,MISS Drummond Free Throw 1 of 1
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,12,9,0:09:03,0:02:57,0:00:04,19,HOU,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound defensive,,,,,,Olynyk REBOUND (Off:0 Def:1)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,14,9,0:08:55,0:03:05,0:00:08,20,HOU,shot,Kelly Olynyk,,,,,,,,,Khyri Thomas,2,,,made,,driving layup,4,1,42,24.9,9.2,Thomas 4' Driving Layup (2 PTS) (Olynyk 2 AST)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,14,9,0:08:55,0:03:05,0:00:00,21,LAL,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,LAKERS Timeout: Regular (Full 1 Short 0)
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,14,9,0:08:38,0:03:22,0:00:17,22,LAL,shot,,,,,,,,,,Markieff Morris,0,,,missed,,hook shot,8,-6,75,24.4,81.5,MISS Morris 8' Driving Bank Hook Shot
22001046,2020-21 Regular Season,2021-05-12,Kelly Olynyk,Kenyon Martin Jr.,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Andre Drummond,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,Kentavious Caldwell-Pope,1,14,9,0:08:35,0:03:25,0:00:03,23,HOU,rebound,,,,,,,,,,Jae'Sean Tate,,,,,,rebound defensive,,,,,,Tate REBOUND (Off:0 Def:1)
