game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,0,0:12:00,0:00:00,0:00:00,2,CHA,jump ball,,Ivica Zubac,Bismack Biyombo,,,,,,,Ivica Zubac,,Kawhi Leonard,,,,jump ball,,,,,,Jump Ball Biyombo vs. Zubac: Tip to Leonard
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,0,0:11:41,0:00:19,0:00:19,3,LAC,shot,,,,,,,,,,Kawhi Leonard,0,,,missed,,jump shot,17,117,122,13.299999999999999,17.200000000000003,MISS Leonard 17' Step Back Jump Shot
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,0,0:11:37,0:00:23,0:00:04,4,CHA,rebound,,,,,,,,,,P.J. Washington,,,,,,rebound defensive,,,,,,Washington REBOUND (Off:0 Def:1)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,2,0:11:22,0:00:38,0:00:15,5,CHA,shot,Jalen McDaniels,,,,,,,,,Bismack Biyombo,2,,,made,,dunk,1,2,7,25.2,88.3,Biyombo 1' Dunk (2 PTS) (McDaniels 1 AST)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,2,0:11:09,0:00:51,0:00:13,6,LAC,shot,,,,,,,,,,Paul George,0,,,missed,,3pt jump shot,27,40,266,21.0,31.6,MISS George 27' 3PT Jump Shot
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,2,0:11:06,0:00:54,0:00:03,7,LAC,rebound,,,,,,,,,,Marcus Morris Sr.,,,,,,rebound offensive,,,,,,Morris Sr. REBOUND (Off:1 Def:0)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,2,0:11:06,0:00:54,0:00:00,8,LAC,turnover,,,,,,,,,,Marcus Morris Sr.,,,,,,step out of bounds,,,,,,Morris Sr. Step Out of Bounds Turnover (P1.T1)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,4,0:10:43,0:01:17,0:00:23,9,CHA,shot,Terry Rozier,,,,,,,,,Bismack Biyombo,2,,,made,,layup,1,-7,8,24.3,88.2,Biyombo 1' Layup (4 PTS) (Rozier 1 AST)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,4,0:10:35,0:01:25,0:00:08,10,LAC,foul,,,,,,,,Terry Rozier,,Marcus Morris Sr.,,,,,,offensive,,,,,,Morris Sr. OFF.Foul (P1) (B.Adams)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,4,0:10:35,0:01:25,0:00:00,11,LAC,turnover,,,,,,,,,,Marcus Morris Sr.,,,offensive foul turnover,,,offensive foul,,,,,,Morris Sr. Offensive Foul Turnover (P2.T2)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,4,0:10:20,0:01:40,0:00:15,12,CHA,shot,,,,,,,,,,Jalen McDaniels,0,,,missed,,3pt jump shot,24,234,21,48.400000000000006,86.9,MISS McDaniels 3PT Jump Shot
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,4,0:10:17,0:01:43,0:00:03,13,LAC,rebound,,,,,,,,,,Marcus Morris Sr.,,,,,,rebound defensive,,,,,,Morris Sr. REBOUND (Off:1 Def:1)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,4,0:10:06,0:01:54,0:00:11,14,LAC,shot,,,,,,,,,,Kawhi Leonard,0,,,missed,,jump shot,9,40,78,21.0,12.8,MISS Leonard 9' Pullup Jump Shot
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,4,0:10:06,0:01:54,0:00:00,15,CHA,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,HORNETS Rebound
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,4,0:09:49,0:02:11,0:00:17,16,LAC,foul,,,,,,,,LaMelo Ball,,Marcus Morris Sr.,,,s.foul,,,shooting,,,,,,Morris Sr. S.FOUL (P2.T1) (B.Adams)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,5,0:09:49,0:02:11,0:00:00,17,CHA,free throw,,,,,,,1,,2,LaMelo Ball,1,,,made,,free throw 1/2,,,,,,Ball Free Throw 1 of 2 (1 PTS)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,0,6,0:09:49,0:02:11,0:00:00,18,CHA,free throw,,,,,,,2,,2,LaMelo Ball,1,,,made,,free throw 2/2,,,,,,Ball Free Throw 2 of 2 (2 PTS)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,2,6,0:09:36,0:02:24,0:00:13,19,LAC,shot,Kawhi Leonard,,,,,,,,,Ivica Zubac,2,,,made,,dunk,1,-5,3,25.5,5.3,Zubac 1' Dunk (2 PTS) (Leonard 1 AST)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,2,6,0:09:19,0:02:41,0:00:17,20,CHA,shot,,,,,,,,,,Terry Rozier,0,,,missed,,3pt jump shot,30,-149,256,10.1,63.4,MISS Rozier 30' 3PT Jump Shot
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,2,6,0:09:16,0:02:44,0:00:03,21,LAC,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:1)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,2,6,0:09:08,0:02:52,0:00:08,22,LAC,turnover,,,,,,,,,,Paul George,,,bad pass,,P.J. Washington,bad pass,,,,,,Washington STEAL (1 STL): George Bad Pass Turnover (P1.T3)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,2,6,0:09:01,0:02:59,0:00:07,23,CHA,shot,,,,,,,,,,P.J. Washington,0,,,missed,,3pt jump shot,26,-5,256,24.5,63.4,MISS Washington 26' 3PT Jump Shot
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,2,6,0:08:57,0:03:03,0:00:04,24,LAC,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:2)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,5,6,0:08:48,0:03:12,0:00:09,25,LAC,shot,Kawhi Leonard,,,,,,,,,Paul George,3,,,made,,3pt jump shot,27,-149,221,39.9,27.1,George 27' 3PT Jump Shot (3 PTS) (Leonard 2 AST)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,5,6,0:08:31,0:03:29,0:00:17,26,CHA,shot,,,,,,,,,,Terry Rozier,0,,,missed,,jump bank shot,10,-89,47,16.1,84.3,MISS Rozier 10' Jump Bank Shot
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,5,6,0:08:28,0:03:32,0:00:03,27,LAC,rebound,,,,,,,,,,Ivica Zubac,,,,,,rebound defensive,,,,,,Zubac REBOUND (Off:0 Def:1)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,5,6,0:08:17,0:03:43,0:00:11,28,LAC,shot,,,,,,,,,,Patrick Beverley,0,,,missed,,driving floating jump shot,10,-87,42,33.7,9.2,MISS Beverley 10' Driving Floating Jump Shot
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,5,6,0:08:15,0:03:45,0:00:02,29,LAC,rebound,,,,,,,,,,Ivica Zubac,,,,,,rebound offensive,,,,,,Zubac REBOUND (Off:1 Def:1)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,5,6,0:08:15,0:03:45,0:00:00,30,CHA,violation,,,,,,,,,,Jalen McDaniels,,,,,,kicked ball,,,,,,McDaniels Violation:Kicked Ball (D.Taylor)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,5,6,0:08:08,0:03:52,0:00:07,31,LAC,shot,,,,,,,,,,Paul George,0,,,missed,,3pt jump shot,27,-106,246,35.6,29.6,MISS George 27' 3PT Jump Shot
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,5,6,0:08:05,0:03:55,0:00:03,32,CHA,rebound,,,,,,,,,,P.J. Washington,,,,,,rebound defensive,,,,,,Washington REBOUND (Off:0 Def:2)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,5,8,0:07:56,0:04:04,0:00:09,33,CHA,shot,,,,,,,,,,LaMelo Ball,2,,,made,,driving layup,1,8,-4,25.8,89.4,Ball 1' Driving Layup (4 PTS)
22001047,2020-21 Regular Season,2021-05-13,Ivica Zubac,Kawhi Leonard,Paul George,Marcus Morris Sr.,Patrick Beverley,Bismack Biyombo,P.J. Washington,Jalen McDaniels,Terry Rozier,LaMelo Ball,1,8,8,0:07:37,0:04:23,0:00:19,34,LAC,shot,Paul George,,,,,,,,,Marcus Morris Sr.,3,,,made,,3pt jump shot,26,-157,201,40.7,25.1,Morris Sr. 26' 3PT Jump Shot (3 PTS) (George 1 AST)
