game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,0,0,0:12:00,0:00:00,0:00:00,2,PHX,jump ball,,Jusuf Nurkic,Dario Saric,,,,,,,Jusuf Nurkic,,Damian Lillard,,,,jump ball,,,,,,Jump Ball Saric vs. Nurkic: Tip to Lillard
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,2,0,0:11:43,0:00:17,0:00:17,3,POR,shot,Norman Powell,,,,,,,,,Jusuf Nurkic,2,,,made,,driving reverse layup,4,24,31,22.6,8.1,Nurkic 4' Driving Reverse Layup (2 PTS) (Powell 1 AST)
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,2,2,0:11:26,0:00:34,0:00:17,4,PHX,shot,,,,,,,,,,Mikal Bridges,2,,,made,,jump shot,15,-144,28,10.6,86.2,Bridges 15' Pullup Jump Shot (2 PTS)
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,5,2,0:11:08,0:00:52,0:00:18,5,POR,shot,CJ McCollum,,,,,,,,,Norman Powell,3,,,made,,3pt jump shot,23,-233,-25,48.3,2.5,Powell 3PT Jump Shot (3 PTS) (McCollum 1 AST)
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,5,2,0:10:54,0:01:06,0:00:14,6,POR,foul,,,,,,,,Dario Saric,,Robert Covington,,,s.foul,,,shooting,,,,,,Covington S.FOUL (P1.T1) (C.Kirkland)
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,5,3,0:10:54,0:01:06,0:00:00,7,PHX,free throw,,,,,,,1,,2,Dario Saric,1,,,made,,free throw 1/2,,,,,,Saric Free Throw 1 of 2 (1 PTS)
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,5,4,0:10:54,0:01:06,0:00:00,8,PHX,free throw,,,,,,,2,,2,Dario Saric,1,,,made,,free throw 2/2,,,,,,Saric Free Throw 2 of 2 (2 PTS)
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,5,4,0:10:42,0:01:18,0:00:12,9,POR,shot,,,,,,,,,,Norman Powell,0,,,missed,,3pt pullup jump shot,26,-8,263,25.8,31.3,MISS Powell 26' 3PT Pullup Jump Shot
22001053,2020-21 Regular Season,2021-05-13,Jusuf Nurkic,Damian Lillard,Norman Powell,CJ McCollum,Robert Covington,Dario Saric,Mikal Bridges,Jae Crowder,Devin Booker,Chris Paul,1,5,4,0:10:40,0:01:20,0:00:02,10,PHX,rebound,,,,,,,,,,Dario Saric,,,,,,rebound defensive,,,,,,Saric REBOUND (Off:0 Def:1)
