game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:12:00,0:00:00,0:00:00,2,PHI,jump ball,,Wendell Carter Jr.,Joel Embiid,,,,,,,Wendell Carter Jr.,,Cole Anthony,,,,jump ball,,,,,,Jump Ball Embiid vs. Carter Jr.: Tip to Anthony
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:11:48,0:00:12,0:00:12,3,PHI,foul,,,,,,,,Wendell Carter Jr.,,Tobias Harris,,,p.foul,,,personal,,,,,,Harris P.FOUL (P1.T1) (D.Guthrie)
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:11:43,0:00:17,0:00:05,4,ORL,shot,,,,,,,,,,Wendell Carter Jr.,0,,,missed,,jump bank shot,14,65,130,18.5,18.0,MISS Carter Jr. 15' Jump Bank Shot
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:11:39,0:00:21,0:00:04,5,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:11:36,0:00:24,0:00:03,6,PHI,turnover,,,,,,,,,,Danny Green,,,,,,step out of bounds,,,,,,Green Step Out of Bounds Turnover (P1.T1)
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:11:23,0:00:37,0:00:13,7,ORL,foul,,,,,,,,Seth Curry,,Moritz Wagner,,,offensive charge foul,,,offensive charge,,,,,,Wagner Offensive Charge Foul (P1.T1) (N.Green)
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:11:23,0:00:37,0:00:00,8,ORL,turnover,,,,,,,,,,Moritz Wagner,,,offensive foul turnover,,,offensive foul,,,,,,Wagner Offensive Foul Turnover (P1.T1)
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:10:58,0:01:02,0:00:25,9,PHI,shot,,,,,,,,,,Tobias Harris,0,,,missed,,jump shot,9,26,83,27.6,80.7,MISS Harris 9' Jump Shot
22001055,2020-21 Regular Season,2021-05-14,Wendell Carter Jr.,Cole Anthony,Moritz Wagner,Dwayne Bacon,Gary Harris,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Ben Simmons,1,0,0,0:10:56,0:01:04,0:00:02,10,ORL,rebound,,,,,,,,,,Cole Anthony,,,,,,rebound defensive,,,,,,Anthony REBOUND (Off:0 Def:1)
