game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,0,0,0:12:00,0:00:00,0:00:00,2,SAS,jump ball,,Jalen Smith,Jakob Poeltl,,,,,,,Jakob Poeltl,,Dejounte Murray,,,,jump ball,,,,,,Jump Ball Poeltl vs. Smith: Tip to Murray
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,0,0,0:11:43,0:00:17,0:00:17,3,PHX,foul,,,,,,,,DeMar DeRozan,,Cameron Payne,,,s.foul,,,shooting,,,,,,Payne S.FOUL (P1.T1) (R.Mott)
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,0,0,0:11:43,0:00:17,0:00:00,4,SAS,free throw,,,,,,,1,,2,DeMar DeRozan,0,,,missed,,free throw 1/2,,,,,,MISS DeRozan Free Throw 1 of 2
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,0,0,0:11:43,0:00:17,0:00:00,5,SAS,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,SPURS Rebound
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,0,1,0:11:43,0:00:17,0:00:00,6,SAS,free throw,,,,,,,2,,2,DeMar DeRozan,1,,,made,,free throw 2/2,,,,,,DeRozan Free Throw 2 of 2 (1 PTS)
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,2,1,0:11:31,0:00:29,0:00:12,7,PHX,shot,Jevon Carter,,,,,,,,,Mikal Bridges,2,,,made,,jump shot,15,-147,13,39.7,6.3,Bridges 15' Pullup Jump Shot (2 PTS) (Carter 1 AST)
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,2,1,0:11:11,0:00:49,0:00:20,8,SAS,shot,,,,,,,,,,Jakob Poeltl,0,,,missed,,cutting layup shot,6,3,57,25.3,83.3,MISS Poeltl 6' Cutting Layup Shot
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,2,1,0:11:09,0:00:51,0:00:02,9,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound offensive,,,,,,Poeltl REBOUND (Off:1 Def:0)
22001078,2020-21 Regular Season,2021-05-16,Jalen Smith,Cameron Payne,Mikal Bridges,Jevon Carter,Dario Saric,Jakob Poeltl,Dejounte Murray,DeMar DeRozan,Lonnie Walker IV,Keldon Johnson,1,2,3,0:11:08,0:00:52,0:00:01,10,SAS,shot,,,,,,,,,,Jakob Poeltl,2,,,made,,layup,2,16,8,26.6,88.2,Poeltl 2' Putback Layup (2 PTS)
