game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,0,0,0:12:00,0:00:00,0:00:00,2,BKN,jump ball,,Tristan Thompson,Kevin Durant,,,,,,,Kevin Durant,,James Harden,,,,jump ball,,,,,,Jump Ball Durant vs. Thompson: Tip to Harden
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,0,0,0:11:38,0:00:22,0:00:22,3,BKN,turnover,,,,,,,,,,Kyrie Irving,,,bad pass,,Evan Fournier,bad pass,,,,,,Irving Bad Pass Turnover (P1.T1): Fournier STEAL (1 STL)
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,0,0,0:11:34,0:00:26,0:00:04,4,BOS,shot,,,,,,,,,,Kemba Walker,0,,,missed,,layup,3,-24,21,27.4,7.1,MISS Walker 3' Running Layup
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,0,0,0:11:32,0:00:28,0:00:02,5,BKN,rebound,,,,,,,,,,James Harden,,,,,,rebound defensive,,,,,,Harden REBOUND (Off:0 Def:1)
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,0,0,0:11:27,0:00:33,0:00:05,6,BKN,shot,,,,,,,,,,James Harden,0,,,missed,,3pt step back jump shot,25,-71,237,17.9,65.3,MISS Harden 25' 3PT Step Back Jump Shot
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,0,0,0:11:23,0:00:37,0:00:04,7,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,0,0,0:11:11,0:00:49,0:00:12,8,BOS,turnover,,,,,,,,,,Marcus Smart,,,,,,step out of bounds,,,,,,Smart Step Out of Bounds Turnover (P1.T1)
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,0,2,0:10:49,0:01:11,0:00:22,9,BKN,shot,Blake Griffin,,,,,,,,,Kyrie Irving,2,,,made,,jump shot,22,-84,198,16.6,69.2,Irving 22' Pullup Jump Shot (2 PTS) (Griffin 1 AST)
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,2,2,0:10:29,0:01:31,0:00:20,10,BOS,shot,,,,,,,,,,Jayson Tatum,2,,,made,,turnaround fadeaway,12,-49,115,29.9,16.5,Tatum 13' Turnaround Fadeaway (2 PTS)
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,2,2,0:10:16,0:01:44,0:00:13,11,BKN,shot,,,,,,,,,,Kyrie Irving,0,,,missed,,3pt jump shot,25,125,220,37.5,67.0,MISS Irving 25' 3PT Jump Shot
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,2,2,0:10:14,0:01:46,0:00:02,12,BOS,rebound,,,,,,,,,,Evan Fournier,,,,,,rebound defensive,,,,,,Fournier REBOUND (Off:0 Def:1)
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,4,2,0:09:58,0:02:02,0:00:16,13,BOS,shot,,,,,,,,,,Jayson Tatum,2,,,made,,driving layup,0,0,1,25.0,5.1,Tatum Driving Layup (4 PTS)
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,4,2,0:09:33,0:02:27,0:00:25,14,BKN,shot,,,,,,,,,,Kevin Durant,0,,,missed,,3pt jump shot,25,138,206,38.8,68.4,MISS Durant 25' 3PT Jump Shot
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,4,2,0:09:31,0:02:29,0:00:02,15,BOS,rebound,,,,,,,,,,Evan Fournier,,,,,,rebound defensive,,,,,,Fournier REBOUND (Off:0 Def:2)
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,4,2,0:09:21,0:02:39,0:00:10,16,BOS,shot,,,,,,,,,,Evan Fournier,0,,,missed,,3pt pullup jump shot,25,38,248,21.2,29.8,MISS Fournier 25' 3PT Pullup Jump Shot
42000111,2020-21 Playoffs,2021-05-22,Tristan Thompson,Evan Fournier,Kemba Walker,Jayson Tatum,Marcus Smart,Kevin Durant,James Harden,Kyrie Irving,Blake Griffin,Joe Harris,1,4,2,0:09:18,0:02:42,0:00:03,17,BOS,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Celtics Rebound
