game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:12:00,0:00:00,0:00:00,2,PHX,jump ball,,Andre Drummond,Deandre Ayton,,,,,,,Deandre Ayton,,Chris Paul,,,,jump ball,,,,,,Jump Ball Ayton vs. Drummond: Tip to Paul
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:11:40,0:00:20,0:00:20,3,PHX,shot,,,,Anthony Davis,,,,,,Devin Booker,0,,,missed,,driving floating jump shot,11,-52,97,19.8,79.3,MISS Booker 11' Driving Floating Jump Shot: Davis BLOCK (1 BLK)
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:11:38,0:00:22,0:00:02,4,LAL,rebound,,,,,,,,,,Dennis Schroder,,,,,,rebound defensive,,,,,,Schroder REBOUND (Off:0 Def:1)
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:11:34,0:00:26,0:00:04,5,LAL,shot,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,3pt jump shot,26,111,236,13.899999999999999,28.6,MISS Caldwell-Pope 26' 3PT Jump Shot
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:11:30,0:00:30,0:00:04,6,PHX,rebound,,,,,,,,,,Chris Paul,,,,,,rebound defensive,,,,,,Paul REBOUND (Off:0 Def:1)
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:11:12,0:00:48,0:00:18,7,PHX,turnover,,,,,,,,,,Chris Paul,,,bad pass,,Andre Drummond,bad pass,,,,,,Paul Bad Pass Turnover (P1.T1): Drummond STEAL (1 STL)
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:11:09,0:00:51,0:00:03,8,PHX,foul,,,,,,,,Anthony Davis,,Jae Crowder,,,p.foul,,,personal,,,,,,Crowder P.FOUL (P1.T1) (Z.Zarba)
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:11:02,0:00:58,0:00:07,9,PHX,foul,,,,,,,,Anthony Davis,,Jae Crowder,,,s.foul,,,shooting,,,,,,Crowder S.FOUL (P2.T2) (B.Forte)
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,0,0,0:11:02,0:00:58,0:00:00,10,,,,,,,,,,,,,,,,,,unknown,,,,,,
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,1,0,0:11:02,0:00:58,0:00:00,11,LAL,free throw,,,,,,,1,,2,Anthony Davis,1,,,made,,free throw 1/2,,,,,,Davis Free Throw 1 of 2 (1 PTS)
42000152,2020-21 Playoffs,2021-05-25,Andre Drummond,Anthony Davis,Dennis Schroder,Kentavious Caldwell-Pope,LeBron James,Deandre Ayton,Chris Paul,Devin Booker,Jae Crowder,Mikal Bridges,1,1,0,0:11:02,0:00:58,0:00:00,12,LAL,free throw,,,,,,,2,,2,Anthony Davis,0,,,missed,,free throw 2/2,,,,,,MISS Davis Free Throw 2 of 2
