game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,0,0,0:12:00,0:00:00,0:00:00,2,PHI,jump ball,,Clint Capela,Joel Embiid,,,,,,,Clint Capela,,Solomon Hill,,,,jump ball,,,,,,Jump Ball Embiid vs. Capela: Tip to S. Hill
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,3,0,0:11:43,0:00:17,0:00:17,3,ATL,shot,Trae Young,,,,,,,,,Bogdan Bogdanovic,3,,,made,,3pt jump shot,27,-190,186,44.0,23.6,Bogdanovic 27' 3PT Jump Shot (3 PTS) (Young 1 AST)
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,3,2,0:11:23,0:00:37,0:00:20,4,PHI,shot,Seth Curry,,,,,,,,,Ben Simmons,2,,,made,,cutting layup shot,2,6,24,25.6,86.6,Simmons 2' Cutting Layup Shot (2 PTS) (Curry 1 AST)
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,3,2,0:10:59,0:01:01,0:00:24,5,ATL,turnover,,,,,,,,,,John Collins,,,traveling,,,traveling,,,,,,Collins Traveling Turnover (P1.T1)
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,3,2,0:10:47,0:01:13,0:00:12,6,PHI,turnover,,,,,,,,,,Joel Embiid,,,traveling,,,traveling,,,,,,Embiid Traveling Turnover (P1.T1)
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,3,2,0:10:37,0:01:23,0:00:10,7,ATL,shot,,,,,,,,,,Trae Young,0,,,missed,,3pt step back jump shot,26,95,242,15.5,29.200000000000003,MISS Young 26' 3PT Step Back Jump Shot
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,3,2,0:10:34,0:01:26,0:00:03,8,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,3,4,0:10:28,0:01:32,0:00:06,9,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,driving reverse layup,3,22,-17,27.2,90.7,Simmons 3' Driving Reverse Layup (4 PTS)
42000201,2020-21 Playoffs,2021-06-06,Clint Capela,Solomon Hill,Bogdan Bogdanovic,Trae Young,John Collins,Joel Embiid,Ben Simmons,Seth Curry,Tobias Harris,Danny Green,1,6,4,0:10:07,0:01:53,0:00:21,10,ATL,shot,John Collins,,,,,,,,,Bogdan Bogdanovic,3,,,made,,3pt jump shot,25,242,64,0.7999999999999972,11.4,Bogdanovic 25' 3PT Jump Shot (6 PTS) (Collins 1 AST)
