game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Aleksej Pokusevski,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Towns vs. Pokusevski: Tip to Russell
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,0,0:11:43,0:00:17,0:00:17,3,MIN,shot,,,,Aleksej Pokusevski,,,,,,Rudy Gobert,0,,,missed,,layup,4,13,36,26.3,85.4,MISS Gobert 4' Layup: Pokusevski BLOCK (1 BLK)
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,0,0:11:40,0:00:20,0:00:03,4,MIN,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound offensive,,,,,,Gobert REBOUND (Off:1 Def:0)
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:11:38,0:00:22,0:00:02,5,MIN,shot,,,,,,,,,,Rudy Gobert,2,,,made,,layup,0,0,4,25.0,88.6,Gobert Putback Layup (2 PTS)
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:11:21,0:00:39,0:00:17,6,OKC,shot,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,jump shot,14,-140,13,39.0,6.3,MISS Gilgeous-Alexander 14' Step Back Jump Shot
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:11:18,0:00:42,0:00:03,7,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:11:14,0:00:46,0:00:04,8,MIN,shot,,,,,,,,,,Jaden McDaniels,0,,,missed,,3pt running jump shot,24,-237,32,1.2999999999999972,85.8,MISS McDaniels 24' 3PT Running Jump Shot
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:11:11,0:00:49,0:00:03,9,OKC,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound defensive,,,,,,K. Williams REBOUND (Off:0 Def:1)
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:11:06,0:00:54,0:00:05,10,OKC,shot,,,,,,,,,,Kenrich Williams,0,,,missed,,3pt running pull-up jump shot,25,-115,217,36.5,26.700000000000003,MISS K. Williams 25' 3PT Running Pull-Up Jump Shot
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:11:04,0:00:56,0:00:02,11,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:2)
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:10:55,0:01:05,0:00:09,12,MIN,shot,,,,Shai Gilgeous-Alexander,,,,,,D'Angelo Russell,0,,,missed,,driving floating jump shot,8,-16,83,23.4,80.7,MISS Russell 8' Driving Floating Jump Shot: Gilgeous-Alexander BLOCK (1 BLK)
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:10:52,0:01:08,0:00:03,13,OKC,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound defensive,,,,,,K. Williams REBOUND (Off:0 Def:2)
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:10:47,0:01:13,0:00:05,14,OKC,shot,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,3pt jump shot,25,-85,239,33.5,28.900000000000002,MISS Gilgeous-Alexander 25' 3PT Jump Shot
22200010,2022-23 Regular Season,2022-10-19,Aleksej Pokusevski,Shai Gilgeous-Alexander,Kenrich Williams,Josh Giddey,Luguentz Dort,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Jaden McDaniels,Anthony Edwards,1,0,2,0:10:42,0:01:18,0:00:05,15,MIN,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:1 Def:1)
