game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,0,0,0:12:00,0:00:00,0:00:00,2,WAS,jump ball,,Myles Turner,Kristaps Porzingis,,,,,,,Kristaps Porzingis,,Kyle Kuzma,,,,jump ball,,,,,,Jump Ball Porzingis vs. Turner: Tip to Kuzma
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,0,0,0:11:42,0:00:18,0:00:18,3,WAS,shot,,,,,,,,,,Kristaps Porzingis,0,,,missed,,3pt jump shot,26,-159,199,9.1,69.1,MISS Porzingis 25' 3PT Jump Shot
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,0,0,0:11:39,0:00:21,0:00:03,4,IND,rebound,,,,,,,,,,Jalen Smith,,,,,,rebound defensive,,,,,,Smith REBOUND (Off:0 Def:1)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,0,0:11:26,0:00:34,0:00:13,5,IND,shot,Tyrese Haliburton,,,,,,,,,Myles Turner,3,,,made,,3pt jump shot,27,-44,267,29.4,31.700000000000003,Turner 27' 3PT Jump Shot (3 PTS) (Haliburton 1 AST)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,2,0:11:02,0:00:58,0:00:24,6,WAS,shot,,,,,,,,,,Bradley Beal,2,,,made,,layup,4,9,37,25.9,85.3,Beal 4' Driving Finger Roll Layup (2 PTS)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,2,0:10:50,0:01:10,0:00:12,7,IND,shot,,,,,,,,,,Aaron Nesmith,0,,,missed,,3pt jump shot,24,-233,55,48.3,10.5,MISS Nesmith 24' 3PT Jump Shot
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,2,0:10:47,0:01:13,0:00:03,8,WAS,rebound,,,,,,,,,,Kristaps Porzingis,,,,,,rebound defensive,,,,,,Porzingis REBOUND (Off:0 Def:1)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,5,0:10:29,0:01:31,0:00:18,9,WAS,shot,Bradley Beal,,,,,,,,,Deni Avdija,3,,,made,,3pt jump shot,25,222,122,47.2,76.8,Avdija 25' 3PT Jump Shot (3 PTS) (Beal 1 AST)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,5,0:10:14,0:01:46,0:00:15,10,IND,shot,,,,,,,,,,Myles Turner,0,,,missed,,3pt jump shot,27,110,247,14.0,29.700000000000003,MISS Turner 27' 3PT Jump Shot
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,5,0:10:12,0:01:48,0:00:02,11,WAS,rebound,,,,,,,,,,Bradley Beal,,,,,,rebound defensive,,,,,,Beal REBOUND (Off:0 Def:1)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,5,0:10:09,0:01:51,0:00:03,12,WAS,shot,,,,,,,,,,Deni Avdija,0,,,missed,,3pt jump shot,27,189,191,43.900000000000006,69.9,MISS Avdija 27' 3PT Jump Shot
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,5,0:10:06,0:01:54,0:00:03,13,WAS,rebound,,,,,,,,,,Deni Avdija,,,,,,rebound offensive,,,,,,Avdija REBOUND (Off:1 Def:0)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,3,7,0:10:04,0:01:56,0:00:02,14,WAS,shot,,,,,,,,,,Deni Avdija,2,,,made,,driving layup,1,1,12,25.1,87.8,Avdija 1' Driving Layup (5 PTS)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,5,7,0:09:50,0:02:10,0:00:14,15,IND,shot,Myles Turner,,,,,,,,,Jalen Smith,2,,,made,,layup,5,-12,47,26.2,9.7,Smith 5' Layup (2 PTS) (Turner 1 AST)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,5,7,0:09:41,0:02:19,0:00:09,16,WAS,shot,,,,,,,,,,Kyle Kuzma,0,,,missed,,layup,3,2,31,25.2,85.9,MISS Kuzma 3' Layup
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,5,7,0:09:41,0:02:19,0:00:00,17,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,7,7,0:09:38,0:02:22,0:00:03,18,IND,shot,,,,,,,,,,Tyrese Haliburton,2,,,made,,layup,5,-15,43,26.5,9.3,Haliburton 5' Layup (2 PTS)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,7,7,0:09:38,0:02:22,0:00:00,19,WAS,foul,,,,,,,,Tyrese Haliburton,,Monte Morris,,,s.foul,,,shooting,,,,,,Morris S.FOUL (P1.T1) (G.Petraitis)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,7,0:09:38,0:02:22,0:00:00,20,IND,free throw,,,,,,,1,,1,Tyrese Haliburton,1,,,made,,free throw 1/1,,,,,,Haliburton Free Throw 1 of 1 (3 PTS)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,9,0:09:24,0:02:36,0:00:14,21,WAS,shot,Monte Morris,,,,,,,,,Bradley Beal,2,,,made,,driving floating bank jump shot,12,-86,83,16.4,80.7,Beal 12' Driving Floating Bank Jump Shot (4 PTS) (Morris 1 AST)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,9,0:09:09,0:02:51,0:00:15,22,IND,shot,,,,,,,,,,Tyrese Haliburton,0,,,missed,,driving layup,7,-15,64,26.5,11.4,MISS Haliburton 7' Driving Layup
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,9,0:09:08,0:02:52,0:00:01,23,WAS,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:1)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,11,0:08:55,0:03:05,0:00:13,24,WAS,shot,Kyle Kuzma,,,,,,,,,Kristaps Porzingis,2,,,made,,jump shot,19,21,188,27.1,70.2,Porzingis 19' Pullup Jump Shot (2 PTS) (Kuzma 1 AST)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,11,0:08:55,0:03:05,0:00:00,25,IND,foul,,,,,,,,Kristaps Porzingis,,Jalen Smith,,,s.foul,,,shooting,,,,,,Smith S.FOUL (P1.T1) (G.Petraitis)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,11,0:08:55,0:03:05,0:00:00,26,IND,foul,,,,,,,,,,Buddy Hield,,,,,,technical,,,,,,Hield T.FOUL (P0.T1) (G.Petraitis)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,12,0:08:55,0:03:05,0:00:00,27,WAS,free throw,,,,,,,1,,1,Bradley Beal,1,,,made,,free throw technical,,,,,,Beal Free Throw Technical (5 PTS)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,13,0:08:55,0:03:05,0:00:00,28,WAS,free throw,,,,,,,1,,1,Kristaps Porzingis,1,,,made,,free throw 1/1,,,,,,Porzingis Free Throw 1 of 1 (3 PTS)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,13,0:08:44,0:03:16,0:00:11,29,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,3pt pullup jump shot,24,214,114,3.599999999999998,16.4,MISS Hield 24' 3PT Pullup Jump Shot
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,8,13,0:08:42,0:03:18,0:00:02,30,IND,rebound,,,,,,,,,,Aaron Nesmith,,,,,,rebound offensive,,,,,,Nesmith REBOUND (Off:1 Def:0)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,11,13,0:08:37,0:03:23,0:00:05,31,IND,shot,Aaron Nesmith,,,,,,,,,Tyrese Haliburton,3,,,made,,3pt jump shot,27,-154,222,40.4,27.200000000000003,Haliburton 27' 3PT Jump Shot (6 PTS) (Nesmith 1 AST)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,11,13,0:08:19,0:03:41,0:00:18,32,WAS,shot,,,,Myles Turner,,,,,,Deni Avdija,0,,,missed,,driving layup,9,9,94,25.9,79.6,MISS Avdija 9' Driving Layup: Turner BLOCK (1 BLK)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,11,13,0:08:16,0:03:44,0:00:03,33,IND,rebound,,,,,,,,,,Aaron Nesmith,,,,,,rebound defensive,,,,,,Nesmith REBOUND (Off:1 Def:1)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,14,13,0:08:05,0:03:55,0:00:11,34,IND,shot,Tyrese Haliburton,,,,,,,,,Aaron Nesmith,3,,,made,,3pt jump shot,25,218,115,3.1999999999999993,16.5,Nesmith 25' 3PT Jump Shot (3 PTS) (Haliburton 2 AST)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,14,13,0:07:50,0:04:10,0:00:15,35,WAS,shot,,,,,,,,,,Kristaps Porzingis,0,,,missed,,layup,4,-21,39,22.9,85.1,MISS Porzingis 4' Layup
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,14,13,0:07:47,0:04:13,0:00:03,36,IND,rebound,,,,,,,,,,Tyrese Haliburton,,,,,,rebound defensive,,,,,,Haliburton REBOUND (Off:0 Def:1)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,17,13,0:07:43,0:04:17,0:00:04,37,IND,shot,Tyrese Haliburton,,,,,,,,,Buddy Hield,3,,,made,,3pt jump shot,26,-134,225,38.4,27.5,Hield 26' 3PT Jump Shot (3 PTS) (Haliburton 3 AST)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,17,13,0:07:43,0:04:17,0:00:00,38,WAS,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,WIZARDS Timeout: Regular (Full 1 Short 0)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,17,15,0:07:23,0:04:37,0:00:20,39,WAS,shot,,,,,,,,,,Kristaps Porzingis,2,,,made,,jump shot,14,-12,134,23.8,75.6,Porzingis 13' Turnaround Jump Shot (5 PTS)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,17,15,0:06:59,0:05:01,0:00:24,40,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,layup,4,-1,43,25.1,9.3,MISS Hield 4' Layup
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,17,15,0:06:56,0:05:04,0:00:03,41,WAS,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:2)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,17,15,0:06:52,0:05:08,0:00:04,42,WAS,shot,,,,,,,,,,Kyle Kuzma,0,,,missed,,driving layup,3,-16,29,23.4,86.1,MISS Kuzma 3' Driving Layup
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,17,15,0:06:49,0:05:11,0:00:03,43,IND,rebound,,,,,,,,,,Jalen Smith,,,,,,rebound defensive,,,,,,Smith REBOUND (Off:0 Def:2)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,17,15,0:06:44,0:05:16,0:00:05,44,WAS,foul,,,,,,,,Jalen Smith,,Deni Avdija,,,s.foul,,,shooting,,,,,,Avdija S.FOUL (P1.T2) (E.Scott)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Kyle Kuzma,Bradley Beal,Deni Avdija,Monte Morris,1,18,15,0:06:44,0:05:16,0:00:00,45,IND,free throw,,,,,,,1,,2,Jalen Smith,1,,,made,,free throw 1/2,,,,,,Smith Free Throw 1 of 2 (3 PTS)
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Johnny Davis,Bradley Beal,Deni Avdija,Monte Morris,1,18,15,0:06:44,0:05:16,0:00:00,46,WAS,substitution,,,,,Johnny Davis,Kyle Kuzma,,,,Kyle Kuzma,,,,,,sub,,,,,,SUB: Davis FOR Kuzma
22200074,2022-23 Regular Season,2022-10-28,Myles Turner,Jalen Smith,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Kristaps Porzingis,Johnny Davis,Bradley Beal,Deni Avdija,Rui Hachimura,1,18,15,0:06:44,0:05:16,0:00:00,47,WAS,substitution,,,,,Rui Hachimura,Monte Morris,,,,Monte Morris,,,,,,sub,,,,,,SUB: Hachimura FOR Morris
