game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,0,0,0:12:00,0:00:00,0:00:00,2,DEN,jump ball,,Kelly Olynyk,Nikola Jokic,,,,,,,Nikola Jokic,,Aaron Gordon,,,,jump ball,,,,,,Jump Ball Jokic vs. Olynyk: Tip to Gordon
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,0,0,0:11:47,0:00:13,0:00:13,3,DEN,shot,,,,Jordan Clarkson,,,,,,Michael Porter Jr.,0,,,missed,,layup,4,-28,24,22.2,86.6,MISS Porter Jr. 4' Reverse Layup: Clarkson BLOCK (1 BLK)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,0,0,0:11:42,0:00:18,0:00:05,4,UTA,rebound,,,,,,,,,,Jordan Clarkson,,,,,,rebound defensive,,,,,,Clarkson REBOUND (Off:0 Def:1)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,0,0,0:11:27,0:00:33,0:00:15,5,UTA,shot,,,,,,,,,,Jordan Clarkson,0,,,missed,,3pt jump shot,27,-157,216,40.7,26.6,MISS Clarkson 27' 3PT Jump Shot
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,0,0,0:11:24,0:00:36,0:00:03,6,DEN,rebound,,,,,,,,,,Michael Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:1)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,0,0,0:11:17,0:00:43,0:00:07,7,DEN,shot,,,,Jarred Vanderbilt,,,,,,Aaron Gordon,0,,,missed,,driving layup,4,-13,38,23.7,85.2,MISS Gordon 4' Driving Layup: Vanderbilt BLOCK (1 BLK)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,0,0,0:11:15,0:00:45,0:00:02,8,UTA,rebound,,,,,,,,,,Jarred Vanderbilt,,,,,,rebound defensive,,,,,,Vanderbilt REBOUND (Off:0 Def:1)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,3,0,0:11:06,0:00:54,0:00:09,9,UTA,shot,Mike Conley,,,,,,,,,Kelly Olynyk,3,,,made,,3pt jump shot,26,-96,246,34.6,29.6,Olynyk 26' 3PT Jump Shot (3 PTS) (Conley 1 AST)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,3,3,0:10:46,0:01:14,0:00:20,10,DEN,shot,Bruce Brown,,,,,,,,,Aaron Gordon,3,,,made,,3pt jump shot,23,229,24,47.900000000000006,86.6,Gordon 3PT Jump Shot (3 PTS) (Brown 1 AST)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,6,3,0:10:29,0:01:31,0:00:17,11,UTA,shot,Kelly Olynyk,,,,,,,,,Mike Conley,3,,,made,,3pt jump shot,26,118,228,13.2,27.8,Conley 26' 3PT Jump Shot (3 PTS) (Olynyk 1 AST)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,6,3,0:10:10,0:01:50,0:00:19,12,DEN,shot,,,,,,,,,,Aaron Gordon,0,,,missed,,3pt jump shot,24,-134,205,11.6,68.5,MISS Gordon 24' 3PT Jump Shot
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,6,3,0:10:08,0:01:52,0:00:02,13,UTA,rebound,,,,,,,,,,Jordan Clarkson,,,,,,rebound defensive,,,,,,Clarkson REBOUND (Off:0 Def:2)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,6,3,0:09:58,0:02:02,0:00:10,14,UTA,shot,,,,,,,,,,Jordan Clarkson,0,,,missed,,driving floating jump shot,8,64,48,18.6,9.8,MISS Clarkson 8' Driving Floating Jump Shot
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,6,3,0:09:56,0:02:04,0:00:02,15,DEN,rebound,,,,,,,,,,Michael Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:2)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,6,3,0:09:46,0:02:14,0:00:10,16,DEN,turnover,,,,,,,,,,Aaron Gordon,,,,,Kelly Olynyk,lost ball,,,,,,Gordon Lost Ball Turnover (P1.T1): Olynyk STEAL (1 STL)
22200078,2022-23 Regular Season,2022-10-28,Kelly Olynyk,Jordan Clarkson,Jarred Vanderbilt,Mike Conley,Lauri Markkanen,Nikola Jokic,Aaron Gordon,Michael Porter Jr.,Bruce Brown,Jamal Murray,1,9,3,0:09:39,0:02:21,0:00:07,17,UTA,shot,Kelly Olynyk,,,,,,,,,Lauri Markkanen,3,,,made,,3pt jump shot,25,174,178,7.599999999999998,22.8,Markkanen 25' 3PT Jump Shot (3 PTS) (Olynyk 2 AST)
