game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,0,0,0:12:00,0:00:00,0:00:00,2,CHA,jump ball,,Kevon Looney,Mason Plumlee,,,,,,,Mason Plumlee,,Dennis Smith Jr.,,,,jump ball,,,,,,Jump Ball Plumlee vs. Looney: Tip to Smith Jr.
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,0,2,0:11:45,0:00:15,0:00:15,3,CHA,shot,Mason Plumlee,,,,,,,,,Gordon Hayward,2,,,made,,jump shot,18,-4,176,24.6,71.4,Hayward 18' Pullup Jump Shot (2 PTS) (Plumlee 1 AST)
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,2,2,0:11:29,0:00:31,0:00:16,4,GSW,shot,Klay Thompson,,,,,,,,,Kevon Looney,2,,,made,,jump shot,21,126,173,12.399999999999999,22.3,Looney 21' Jump Shot (2 PTS) (Thompson 1 AST)
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,2,4,0:11:13,0:00:47,0:00:16,5,CHA,shot,Mason Plumlee,,,,,,,,,Gordon Hayward,2,,,made,,jump shot,20,91,175,34.1,71.5,Hayward 20' Jump Shot (4 PTS) (Plumlee 2 AST)
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,2,4,0:11:05,0:00:55,0:00:08,6,GSW,shot,,,,,,,,,,Andrew Wiggins,0,,,missed,,3pt jump shot,27,156,224,9.399999999999999,27.400000000000002,MISS Wiggins 27' 3PT Jump Shot
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,2,4,0:11:02,0:00:58,0:00:03,7,CHA,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,2,7,0:10:49,0:01:11,0:00:13,8,CHA,shot,Gordon Hayward,,,,,,,,,Kelly Oubre Jr.,3,,,made,,3pt jump shot,27,-12,268,23.8,62.2,Oubre Jr. 27' 3PT Jump Shot (3 PTS) (Hayward 1 AST)
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,2,7,0:10:35,0:01:25,0:00:14,9,GSW,shot,,,,,,,,,,Stephen Curry,0,,,missed,,3pt jump shot,25,-62,243,31.2,29.3,MISS Curry 25' 3PT Jump Shot
22200082,2022-23 Regular Season,2022-10-29,Kevon Looney,Klay Thompson,Andrew Wiggins,Stephen Curry,Draymond Green,Mason Plumlee,Dennis Smith Jr.,Gordon Hayward,Kelly Oubre Jr.,P.J. Washington,1,2,7,0:10:32,0:01:28,0:00:03,10,GSW,rebound,,,,,,,,,,Andrew Wiggins,,,,,,rebound offensive,,,,,,Wiggins REBOUND (Off:1 Def:0)
