game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,0,0,0:12:00,0:00:00,0:00:00,2,DAL,jump ball,,Christian Koloko,Dwight Powell,,,,,,,Christian Koloko,,Scottie Barnes,,,,jump ball,,,,,,Jump Ball Powell vs. Koloko: Tip to Barnes
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,0,0,0:11:47,0:00:13,0:00:13,3,TOR,turnover,,,,,,,,,,Pascal Siakam,,,bad pass,,Dorian Finney-Smith,bad pass,,,,,,Finney-Smith STEAL (1 STL): Siakam Bad Pass Turnover (P1.T1)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,0,0,0:11:38,0:00:22,0:00:09,4,DAL,shot,,,,,,,,,,Reggie Bullock,0,,,missed,,3pt pullup jump shot,25,72,244,32.2,64.6,MISS Bullock 25' 3PT Pullup Jump Shot
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,0,0,0:11:34,0:00:26,0:00:04,5,TOR,rebound,,,,,,,,,,Scottie Barnes,,,,,,rebound defensive,,,,,,Barnes REBOUND (Off:0 Def:1)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,0,0,0:11:32,0:00:28,0:00:02,6,TOR,shot,,,,,,,,,,O.G. Anunoby,0,,,missed,,layup,1,12,8,23.8,5.8,MISS Anunoby 1' Running Layup
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,0,0,0:11:27,0:00:33,0:00:05,7,TOR,rebound,,,,,,,,,,O.G. Anunoby,,,,,,rebound offensive,,,,,,Anunoby REBOUND (Off:1 Def:0)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,2,0,0:11:27,0:00:33,0:00:00,8,TOR,shot,,,,,,,,,,O.G. Anunoby,2,,,made,,layup,0,0,0,25.0,5.0,Anunoby Tip Layup Shot (2 PTS)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,2,0,0:11:09,0:00:51,0:00:18,9,DAL,turnover,,,,,,,,,,Luka Doncic,,,bad pass,,Pascal Siakam,bad pass,,,,,,Doncic Bad Pass Turnover (P1.T1): Siakam STEAL (1 STL)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,4,0,0:11:05,0:00:55,0:00:04,10,TOR,shot,Pascal Siakam,,,,,,,,,O.G. Anunoby,2,,,made,,layup,1,6,9,24.4,5.9,Anunoby 1' Running Layup (4 PTS) (Siakam 1 AST)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,4,0,0:11:00,0:01:00,0:00:05,11,DAL,turnover,,,,,,,,,,Dorian Finney-Smith,,,bad pass,,O.G. Anunoby,bad pass,,,,,,Finney-Smith Bad Pass Turnover (P1.T2): Anunoby STEAL (1 STL)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,4,0,0:10:57,0:01:03,0:00:03,12,TOR,turnover,,,,,,,,,,O.G. Anunoby,,,bad pass,,Reggie Bullock,bad pass,,,,,,Bullock STEAL (1 STL): Anunoby Bad Pass Turnover (P1.T2)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,4,0,0:10:40,0:01:20,0:00:17,13,DAL,shot,,,,Christian Koloko,,,,,,Reggie Bullock,0,,,missed,,3pt jump shot,22,224,8,47.400000000000006,88.2,MISS Bullock 3PT Jump Shot: Koloko BLOCK (1 BLK)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,4,0,0:10:38,0:01:22,0:00:02,14,DAL,rebound,,,,,,,,,,Reggie Bullock,,,,,,rebound offensive,,,,,,Bullock REBOUND (Off:1 Def:0)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,4,2,0:10:37,0:01:23,0:00:01,15,DAL,shot,,,,,,,,,,Reggie Bullock,2,,,made,,jump shot,8,83,11,33.3,87.9,Bullock 8' Jump Shot (2 PTS)
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,4,2,0:10:19,0:01:41,0:00:18,16,TOR,shot,,,,,,,,,,Pascal Siakam,0,,,missed,,3pt jump shot,23,-227,3,47.7,5.3,MISS Siakam 3PT Jump Shot
22200127,2022-23 Regular Season,2022-11-04,Christian Koloko,Scottie Barnes,Pascal Siakam,O.G. Anunoby,Gary Trent Jr.,Dwight Powell,Dorian Finney-Smith,Reggie Bullock,Luka Doncic,Spencer Dinwiddie,1,4,2,0:10:16,0:01:44,0:00:03,17,TOR,rebound,,,,,,,,,,Scottie Barnes,,,,,,rebound offensive,,,,,,Barnes REBOUND (Off:1 Def:1)
