game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,0,0,0:12:00,0:00:00,0:00:00,2,CLE,jump ball,,Rudy Gobert,Evan Mobley,,,,,,,Rudy Gobert,,Anthony Edwards,,,,jump ball,,,,,,Jump Ball E. Mobley vs. Gobert: Tip to Edwards
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,0,0:11:54,0:00:06,0:00:06,3,MIN,shot,,,,,,,,,,Anthony Edwards,2,,,made,,driving layup,2,-9,22,25.9,7.2,Edwards 2' Driving Layup (2 PTS)
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,0,0:11:41,0:00:19,0:00:13,4,CLE,shot,,,,,,,,,,Kevin Love,0,,,missed,,3pt jump shot,30,-132,275,11.799999999999999,61.5,MISS Love 31' 3PT Jump Shot
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,0,0:11:37,0:00:23,0:00:04,5,MIN,rebound,,,,,,,,,,Anthony Edwards,,,,,,rebound defensive,,,,,,Edwards REBOUND (Off:0 Def:1)
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,0,0:11:24,0:00:36,0:00:13,6,MIN,shot,,,,,,,,,,Jaden McDaniels,0,,,missed,,3pt jump shot,26,-203,159,45.3,20.9,MISS McDaniels 26' 3PT Jump Shot
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,0,0:11:20,0:00:40,0:00:04,7,CLE,rebound,,,,,,,,,,Lamar Stevens,,,,,,rebound defensive,,,,,,Stevens REBOUND (Off:0 Def:1)
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,0,0:11:08,0:00:52,0:00:12,8,CLE,shot,,,,,,,,,,Kevin Love,0,,,missed,,3pt pullup jump shot,27,70,257,32.0,63.3,MISS Love 27' 3PT Pullup Jump Shot
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,0,0:11:05,0:00:55,0:00:03,9,MIN,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,0,0:10:54,0:01:06,0:00:11,10,MIN,shot,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,3pt jump shot,26,-100,235,35.0,28.5,MISS Towns 26' 3PT Jump Shot
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,0,0:10:52,0:01:08,0:00:02,11,CLE,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,CAVALIERS Rebound
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,2,3,0:10:35,0:01:25,0:00:17,12,CLE,shot,Darius Garland,,,,,,,,,Caris LeVert,3,,,made,,3pt jump shot,23,229,21,47.900000000000006,86.9,LeVert 3PT Jump Shot (3 PTS) (Garland 1 AST)
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,4,3,0:10:13,0:01:47,0:00:22,13,MIN,shot,,,,,,,,,,D'Angelo Russell,2,,,made,,fadeaway jumper,17,135,99,11.5,14.9,Russell 17' Fadeaway Jumper (2 PTS)
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,4,3,0:10:06,0:01:54,0:00:07,14,MIN,foul,,,,,,,,Caris LeVert,,Anthony Edwards,,,p.foul,,,personal,,,,,,Edwards P.FOUL (P1.T1) (K.Lane)
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,4,3,0:09:52,0:02:08,0:00:14,15,CLE,shot,,,,,,,,,,Darius Garland,0,,,missed,,3pt pullup jump shot,32,-180,262,7.0,62.8,MISS Garland 32' 3PT Pullup Jump Shot
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,4,3,0:09:50,0:02:10,0:00:02,16,CLE,rebound,,,,,,,,,,Darius Garland,,,,,,rebound offensive,,,,,,Garland REBOUND (Off:1 Def:0)
22200193,2022-23 Regular Season,2022-11-13,Rudy Gobert,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Evan Mobley,Kevin Love,Lamar Stevens,Caris LeVert,Darius Garland,1,4,6,0:09:47,0:02:13,0:00:03,17,CLE,shot,,,,,,,,,,Darius Garland,3,,,made,,3pt jump shot,28,-65,273,18.5,61.7,Garland 28' 3PT Jump Shot (3 PTS)
