game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,0,0:12:00,0:00:00,0:00:00,2,DEN,jump ball,,Dwight Powell,Nikola Jokic,,,,,,,Nikola Jokic,,Bruce Brown,,,,jump ball,,,,,,Jump Ball Jokic vs. Powell: Tip to Brown
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,2,0:11:40,0:00:20,0:00:20,3,DEN,shot,Bruce Brown,,,,,,,,,Aaron Gordon,2,,,made,,layup,4,-27,29,22.3,86.1,Gordon 4' Layup (2 PTS) (Brown 1 AST)
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,2,0:11:22,0:00:38,0:00:18,4,DEN,foul,,,,,,,,Dwight Powell,,Kentavious Caldwell-Pope,,,p.foul,,,personal,,,,,,Caldwell-Pope P.FOUL (P1.T1) (N.Buchert)
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,2,0:11:12,0:00:48,0:00:10,5,DAL,shot,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,jump shot,16,-157,20,40.7,7.0,MISS Hardaway Jr. 16' Pullup Jump Shot
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,2,0:11:08,0:00:52,0:00:04,6,DEN,rebound,,,,,,,,,,Bruce Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,5,0:10:55,0:01:05,0:00:13,7,DEN,shot,Jamal Murray,,,,,,,,,Kentavious Caldwell-Pope,3,,,made,,3pt jump shot,23,-229,21,2.099999999999998,86.9,Caldwell-Pope 3PT Jump Shot (3 PTS) (Murray 1 AST)
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,5,0:10:41,0:01:19,0:00:14,8,DAL,shot,,,,,,,,,,Luka Doncic,0,,,missed,,3pt step back jump shot,25,-121,221,37.1,27.1,MISS Doncic 25' 3PT Step Back Jump Shot
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,5,0:10:38,0:01:22,0:00:03,9,DEN,rebound,,,,,,,,,,Kentavious Caldwell-Pope,,,,,,rebound defensive,,,,,,Caldwell-Pope REBOUND (Off:0 Def:1)
22200362,2022-23 Regular Season,2022-12-06,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Spencer Dinwiddie,Dorian Finney-Smith,Nikola Jokic,Bruce Brown,Aaron Gordon,Kentavious Caldwell-Pope,Jamal Murray,1,0,8,0:10:33,0:01:27,0:00:05,10,DEN,shot,Nikola Jokic,,,,,,,,,Aaron Gordon,3,,,made,,3pt running pull-up jump shot,25,100,226,35.0,66.4,Gordon 25' 3PT Running Pull-Up Jump Shot (5 PTS) (Jokic 1 AST)
