game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,Domantas Sabonis,Jalen Duren,,,,,,,Domantas Sabonis,,De'Aaron Fox,,,,jump ball,,,,,,Jump Ball Duren vs. Sabonis: Tip to Fox
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,0,0,0:11:44,0:00:16,0:00:16,3,SAC,shot,,,,,,,,,,De'Aaron Fox,0,,,missed,,3pt pullup jump shot,26,23,261,22.7,31.1,MISS Fox 26' 3PT Pullup Jump Shot
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,0,0,0:11:43,0:00:17,0:00:01,4,DET,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,PISTONS Rebound
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,0,0,0:11:32,0:00:28,0:00:11,5,DET,shot,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,driving layup,8,70,42,32.0,84.8,MISS Bogdanovic 8' Driving Layup
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,0,0,0:11:26,0:00:34,0:00:06,6,DET,rebound,,,,,,,,,,Jalen Duren,,,,,,rebound offensive,,,,,,Duren REBOUND (Off:1 Def:0)
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,0,0,0:11:26,0:00:34,0:00:00,7,DET,shot,,,,,,,,,,Jalen Duren,0,,,missed,,layup,0,0,0,25.0,89.0,MISS Duren Tip Layup Shot
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,0,0,0:11:26,0:00:34,0:00:00,8,SAC,rebound,,,,,,,,,,Keegan Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,3,0,0:11:11,0:00:49,0:00:15,9,SAC,shot,Domantas Sabonis,,,,,,,,,Keegan Murray,3,,,made,,3pt jump shot,25,-141,204,39.1,25.400000000000002,Murray 25' 3PT Jump Shot (3 PTS) (Sabonis 1 AST)
22200429,2022-23 Regular Season,2022-12-16,Domantas Sabonis,De'Aaron Fox,Keegan Murray,Harrison Barnes,Kevin Huerter,Jalen Duren,Bojan Bogdanovic,Jaden Ivey,Isaiah Stewart,Killian Hayes,1,3,3,0:10:51,0:01:09,0:00:20,10,DET,shot,Bojan Bogdanovic,,,,,,,,,Jaden Ivey,3,,,made,,3pt jump shot,28,-92,270,15.799999999999999,62.0,Ivey 29' 3PT Jump Shot (3 PTS) (Bogdanovic 1 AST)
