game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,0,0,0:12:00,0:00:00,0:00:00,2,UTA,jump ball,,Daniel Gafford,Walker Kessler,,,,,,,Walker Kessler,,Jordan Clarkson,,,,jump ball,,,,,,Jump Ball Kessler vs. Gafford: Tip to Clarkson
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,0,0,0:11:52,0:00:08,0:00:08,3,UTA,shot,,,,,,,,,,Mike Conley,0,,,missed,,3pt pullup jump shot,26,126,227,37.6,66.3,MISS Conley 26' 3PT Pullup Jump Shot
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,0,0,0:11:49,0:00:11,0:00:03,4,WAS,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Wizards Rebound
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,0,0:11:32,0:00:28,0:00:17,5,WAS,shot,Bradley Beal,,,,,,,,,Daniel Gafford,2,,,made,,dunk,3,20,23,23.0,7.300000000000001,Gafford 3' Alley Oop Dunk (2 PTS) (Beal 1 AST)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,0,0:11:18,0:00:42,0:00:14,6,UTA,turnover,,,,,,,,,,Walker Kessler,,,bad pass,,,bad pass,,,,,,Kessler Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,0,0:11:01,0:00:59,0:00:17,7,WAS,shot,,,,,,,,,,Kyle Kuzma,0,,,missed,,3pt jump shot,24,-237,6,48.7,5.6,MISS Kuzma 24' 3PT Jump Shot
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,0,0:10:57,0:01:03,0:00:04,8,UTA,rebound,,,,,,,,,,Jordan Clarkson,,,,,,rebound defensive,,,,,,Clarkson REBOUND (Off:0 Def:1)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,3,0:10:43,0:01:17,0:00:14,9,UTA,shot,Mike Conley,,,,,,,,,Lauri Markkanen,3,,,made,,3pt jump shot,25,-185,169,6.5,72.1,Markkanen 25' 3PT Jump Shot (3 PTS) (Conley 1 AST)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,3,0:10:23,0:01:37,0:00:20,10,WAS,shot,,,,Walker Kessler,,,,,,Kyle Kuzma,0,,,missed,,layup,6,54,21,19.6,7.1,Kessler BLOCK (1 BLK): MISS Kuzma 6' Layup
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,3,0:10:20,0:01:40,0:00:03,11,UTA,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,3,0:10:05,0:01:55,0:00:15,12,UTA,shot,,,,,,,,,,Jordan Clarkson,0,,,missed,,3pt jump shot,26,191,178,44.1,71.2,MISS Clarkson 26' 3PT Jump Shot
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,3,0:10:03,0:01:57,0:00:02,13,WAS,rebound,,,,,,,,,,Daniel Gafford,,,,,,rebound defensive,,,,,,Gafford REBOUND (Off:0 Def:1)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,2,3,0:09:50,0:02:10,0:00:13,14,UTA,foul,,,,,,,,Kyle Kuzma,,Walker Kessler,,,s.foul,,,shooting,,,,,,Kessler S.FOUL (P1.T1) (S.Wright)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,3,3,0:09:50,0:02:10,0:00:00,15,WAS,free throw,,,,,,,1,,2,Kyle Kuzma,1,,,made,,free throw 1/2,,,,,,Kuzma Free Throw 1 of 2 (1 PTS)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,4,3,0:09:50,0:02:10,0:00:00,16,WAS,free throw,,,,,,,2,,2,Kyle Kuzma,1,,,made,,free throw 2/2,,,,,,Kuzma Free Throw 2 of 2 (2 PTS)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,4,5,0:09:33,0:02:27,0:00:17,17,UTA,shot,,,,,,,,,,Mike Conley,2,,,made,,driving floating jump shot,7,6,71,25.6,81.9,Conley 7' Driving Floating Jump Shot (2 PTS)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,4,5,0:09:20,0:02:40,0:00:13,18,WAS,shot,,,,,,,,,,Bradley Beal,0,,,missed,,driving layup,6,-34,50,28.4,10.0,MISS Beal 6' Driving Layup
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,6,5,0:09:15,0:02:45,0:00:05,19,WAS,shot,,,,,,,,,,Daniel Gafford,2,,,made,,dunk,0,0,0,25.0,5.0,Gafford Tip Dunk Shot (4 PTS)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,6,5,0:09:15,0:02:45,0:00:00,20,WAS,rebound,,,,,,,,,,Daniel Gafford,,,,,,rebound offensive,,,,,,Gafford REBOUND (Off:1 Def:1)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,6,5,0:09:03,0:02:57,0:00:12,21,UTA,shot,,,,,,,,,,Jordan Clarkson,0,,,missed,,3pt pullup jump shot,26,227,132,47.7,75.8,MISS Clarkson 26' 3PT Pullup Jump Shot
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,6,5,0:09:00,0:03:00,0:00:03,22,WAS,rebound,,,,,,,,,,Corey Kispert,,,,,,rebound defensive,,,,,,Kispert REBOUND (Off:0 Def:1)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,8,5,0:08:56,0:03:04,0:00:04,23,WAS,shot,,,,,,,,,,Kyle Kuzma,2,,,made,,layup,6,56,26,19.4,7.6,Kuzma 6' Running Layup (4 PTS)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Jarred Vanderbilt,1,8,5,0:08:56,0:03:04,0:00:00,24,UTA,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,JAZZ Timeout: Regular (Full 1 Short 0)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Collin Sexton,1,8,5,0:08:56,0:03:04,0:00:00,25,UTA,substitution,,,,,Collin Sexton,Jarred Vanderbilt,,,,Jarred Vanderbilt,,,,,,sub,,,,,,SUB: Sexton FOR Vanderbilt
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Collin Sexton,1,8,5,0:08:40,0:03:20,0:00:16,26,UTA,shot,,,,,,,,,,Lauri Markkanen,0,,,missed,,jump shot,11,70,82,32.0,80.8,MISS Markkanen 11' Pullup Jump Shot
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Collin Sexton,1,8,5,0:08:37,0:03:23,0:00:03,27,WAS,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:1)
22200478,2022-23 Regular Season,2022-12-22,Daniel Gafford,Bradley Beal,Kyle Kuzma,Corey Kispert,Monte Morris,Walker Kessler,Jordan Clarkson,Mike Conley,Lauri Markkanen,Collin Sexton,1,8,5,0:08:28,0:03:32,0:00:09,28,UTA,foul,,,,,,,,Daniel Gafford,,Lauri Markkanen,,,l.b.foul,,,loose ball,,,,,,Markkanen L.B.FOUL (P1.T2) (S.Wright)
