game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,0,0:12:00,0:00:00,0:00:00,2,WAS,jump ball,,Jonas Valanciunas,Kristaps Porzingis,,,,,,,Kristaps Porzingis,,Corey Kispert,,,,jump ball,,,,,,Jump Ball Porzingis vs. Valanciunas: Tip to Kispert
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,0,0:11:40,0:00:20,0:00:20,3,NOP,foul,,,,,,,,Kristaps Porzingis,,Trey Murphy III,,,s.foul,,,shooting,,,,,,Murphy III S.FOUL (P1.T1) (M.Smith)
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,1,0:11:40,0:00:20,0:00:00,4,WAS,free throw,,,,,,,1,,2,Kristaps Porzingis,1,,,made,,free throw 1/2,,,,,,Porzingis Free Throw 1 of 2 (1 PTS)
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,2,0:11:40,0:00:20,0:00:00,5,WAS,free throw,,,,,,,2,,2,Kristaps Porzingis,1,,,made,,free throw 2/2,,,,,,Porzingis Free Throw 2 of 2 (2 PTS)
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,2,0:11:28,0:00:32,0:00:12,6,NOP,shot,,,,,,,,,,Trey Murphy III,0,,,missed,,3pt jump shot,28,158,228,9.2,27.8,MISS Murphy III 28' 3PT Jump Shot
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,2,0:11:26,0:00:34,0:00:02,7,WAS,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:1)
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,5,0:11:15,0:00:45,0:00:11,8,WAS,shot,Daniel Gafford,,,,,,,,,Corey Kispert,3,,,made,,3pt jump shot,26,183,180,43.3,71.0,Kispert 26' 3PT Jump Shot (3 PTS) (Gafford 1 AST)
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,5,0:10:59,0:01:01,0:00:16,9,NOP,turnover,,,,,,,,,,Naji Marshall,,,bad pass,,Corey Kispert,bad pass,,,,,,Kispert STEAL (1 STL): Marshall Bad Pass Turnover (P1.T1)
22200605,2022-23 Regular Season,2023-01-09,Jonas Valanciunas,Trey Murphy III,Naji Marshall,CJ McCollum,Herbert Jones,Kristaps Porzingis,Corey Kispert,Kyle Kuzma,Daniel Gafford,Monte Morris,1,0,7,0:10:45,0:01:15,0:00:14,10,WAS,shot,Monte Morris,,,,,,,,,Kristaps Porzingis,2,,,made,,driving dunk,3,5,30,25.5,86.0,Porzingis 3' Driving Dunk (4 PTS) (Morris 1 AST)
