game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,0,0,0:12:00,0:00:00,0:00:00,2,WAS,jump ball,,Mitchell Robinson,Kristaps Porzingis,,,,,,,Kristaps Porzingis,,Kyle Kuzma,,,,jump ball,,,,,,Jump Ball Porzingis vs. Robinson: Tip to Kuzma
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,0,2,0:11:43,0:00:17,0:00:17,3,WAS,shot,Jordan Goodwin,,,,,,,,,Kyle Kuzma,2,,,made,,driving layup,5,42,20,29.2,87.0,Kuzma 5' Driving Layup (2 PTS) (Goodwin 1 AST)
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:11:25,0:00:35,0:00:18,4,NYK,shot,Jalen Brunson,,,,,,,,,Julius Randle,3,,,made,,3pt jump shot,26,9,255,24.1,30.5,Randle 26' 3PT Jump Shot (3 PTS) (Brunson 1 AST)
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:11:09,0:00:51,0:00:16,5,WAS,shot,,,,,,,,,,Kristaps Porzingis,0,,,missed,,driving floating bank jump shot,8,74,32,32.4,85.8,MISS Porzingis 8' Driving Floating Bank Jump Shot
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:11:05,0:00:55,0:00:04,6,NYK,rebound,,,,,,,,,,Mitchell Robinson,,,,,,rebound defensive,,,,,,Robinson REBOUND (Off:0 Def:1)
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:10:58,0:01:02,0:00:07,7,NYK,shot,,,,,,,,,,Julius Randle,0,,,missed,,3pt jump shot,27,-72,256,32.2,30.6,MISS Randle 27' 3PT Jump Shot
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:10:55,0:01:05,0:00:03,8,NYK,rebound,,,,,,,,,,Mitchell Robinson,,,,,,rebound offensive,,,,,,Robinson REBOUND (Off:1 Def:1)
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:10:53,0:01:07,0:00:02,9,NYK,shot,,,,,,,,,,Quentin Grimes,0,,,missed,,3pt step back jump shot,24,-237,47,48.7,9.7,MISS Grimes 24' 3PT Step Back Jump Shot
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:10:49,0:01:11,0:00:04,10,WAS,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:1)
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:10:36,0:01:24,0:00:13,11,WAS,shot,,,,Mitchell Robinson,,,,,,Jordan Goodwin,0,,,missed,,driving layup,6,53,27,30.3,86.3,MISS Goodwin 6' Driving Layup: Robinson BLOCK (1 BLK)
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:10:33,0:01:27,0:00:03,12,WAS,rebound,,,,,,,,,,Daniel Gafford,,,,,,rebound offensive,,,,,,Gafford REBOUND (Off:1 Def:0)
22200634,2022-23 Regular Season,2023-01-13,Mitchell Robinson,Julius Randle,Jalen Brunson,Quentin Grimes,RJ Barrett,Kristaps Porzingis,Kyle Kuzma,Jordan Goodwin,Daniel Gafford,Corey Kispert,1,3,2,0:10:32,0:01:28,0:00:01,13,WAS,shot,,,,,,,,,,Kristaps Porzingis,0,,,missed,,3pt jump shot,26,-153,207,9.7,68.3,MISS Porzingis 26' 3PT Jump Shot
