game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:12:00,0:00:00,0:00:00,2,POR,jump ball,,Joel Embiid,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Damian Lillard,,,,jump ball,,,,,,Jump Ball Nurkic vs. Embiid: Tip to Lillard
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:11:40,0:00:20,0:00:20,3,POR,shot,,,,,,,,,,Anfernee Simons,0,,,missed,,driving floating jump shot,14,61,131,31.1,75.9,MISS Simons 14' Driving Floating Jump Shot
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:11:37,0:00:23,0:00:03,4,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:11:31,0:00:29,0:00:06,5,PHI,shot,,,,,,,,,,James Harden,0,,,missed,,3pt running pull-up jump shot,27,-6,268,25.6,31.8,MISS Harden 27' 3PT Running Pull-Up Jump Shot
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:11:28,0:00:32,0:00:03,6,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:11:18,0:00:42,0:00:10,7,POR,shot,,,,,,,,,,Jerami Grant,0,,,missed,,3pt jump shot,23,229,44,47.900000000000006,84.6,MISS Grant 3PT Jump Shot
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:11:16,0:00:44,0:00:02,8,PHI,rebound,,,,,,,,,,James Harden,,,,,,rebound defensive,,,,,,Harden REBOUND (Off:0 Def:1)
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:10:57,0:01:03,0:00:19,9,PHI,shot,,,,,,,,,,Joel Embiid,0,,,missed,,jump shot,17,88,146,16.2,19.6,MISS Embiid 17' Jump Shot
22200682,2022-23 Regular Season,2023-01-19,Joel Embiid,Tobias Harris,James Harden,P.J. Tucker,De'Anthony Melton,Jusuf Nurkic,Damian Lillard,Anfernee Simons,Jerami Grant,Josh Hart,1,0,0,0:10:54,0:01:06,0:00:03,10,POR,rebound,,,,,,,,,,Josh Hart,,,,,,rebound defensive,,,,,,Hart REBOUND (Off:0 Def:1)
