game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,0,0,0:12:00,0:00:00,0:00:00,2,IND,jump ball,,Deandre Ayton,Myles Turner,,,,,,,Deandre Ayton,,Devin Booker,,,,jump ball,,,,,,Jump Ball Turner vs. Ayton: Tip to Booker
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,3,0,0:11:49,0:00:11,0:00:11,3,PHX,shot,Chris Paul,,,,,,,,,Devin Booker,3,,,made,,3pt jump shot,27,100,252,15.0,30.200000000000003,Booker 27' 3PT Jump Shot (3 PTS) (Paul 1 AST)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,3,2,0:11:31,0:00:29,0:00:18,4,IND,shot,,,,,,,,,,Myles Turner,2,,,made,,jump shot,11,6,114,25.6,77.6,Turner 11' Step Back Jump Shot (2 PTS)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,3,2,0:11:21,0:00:39,0:00:10,5,PHX,turnover,,,,,,,,,,Devin Booker,,,bad pass,,Tyrese Haliburton,bad pass,,,,,,Haliburton STEAL (1 STL): Booker Bad Pass Turnover (P1.T1)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,3,2,0:11:16,0:00:44,0:00:05,6,IND,turnover,,,,,,,,,,Tyrese Haliburton,,,,,,step out of bounds,,,,,,Haliburton Step Out of Bounds Turnover (P1.T1)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,5,2,0:11:03,0:00:57,0:00:13,7,PHX,shot,Devin Booker,,,,,,,,,Deandre Ayton,2,,,made,,jump shot,19,-96,169,34.6,21.900000000000002,Ayton 19' Jump Shot (2 PTS) (Booker 1 AST)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,5,2,0:10:49,0:01:11,0:00:14,8,PHX,foul,,,,,,,,Aaron Nesmith,,Devin Booker,,,p.foul,,,personal,,,,,,Booker P.FOUL (P1.T1) (R.Acosta)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,5,4,0:10:46,0:01:14,0:00:03,9,IND,shot,Andrew Nembhard,,,,,,,,,Tyrese Haliburton,2,,,made,,driving floating jump shot,15,89,120,33.9,77.0,Haliburton 15' Driving Floating Jump Shot (2 PTS) (Nembhard 1 AST)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,5,4,0:10:39,0:01:21,0:00:07,10,IND,foul,,,,,,,,Josh Okogie,,Buddy Hield,,,p.foul,,,personal,,,,,,Hield P.FOUL (P1.T1) (N.Green)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,5,4,0:10:26,0:01:34,0:00:13,11,PHX,shot,,,,,,,,,,Deandre Ayton,0,,,missed,,layup,4,25,27,22.5,7.7,MISS Ayton 4' Layup
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,5,4,0:10:23,0:01:37,0:00:03,12,IND,rebound,,,,,,,,,,Tyrese Haliburton,,,,,,rebound defensive,,,,,,Haliburton REBOUND (Off:0 Def:1)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,5,4,0:10:21,0:01:39,0:00:02,13,IND,turnover,,,,,,,,,,Tyrese Haliburton,,,bad pass,,Devin Booker,bad pass,,,,,,Haliburton Bad Pass Turnover (P2.T2): Booker STEAL (1 STL)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,7,4,0:10:19,0:01:41,0:00:02,14,PHX,shot,,,,,,,,,,Devin Booker,2,,,made,,dunk,2,-15,-3,26.5,4.7,Booker 2' Running Dunk (5 PTS)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,7,4,0:10:13,0:01:47,0:00:06,15,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,3pt jump shot,26,-185,183,6.5,70.7,MISS Hield 26' 3PT Jump Shot
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,7,4,0:10:09,0:01:51,0:00:04,16,PHX,rebound,,,,,,,,,,Devin Booker,,,,,,rebound defensive,,,,,,Booker REBOUND (Off:0 Def:1)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,7,4,0:10:04,0:01:56,0:00:05,17,PHX,shot,,,,,,,,,,Devin Booker,0,,,missed,,3pt pullup jump shot,29,-72,277,32.2,32.7,MISS Booker 29' 3PT Pullup Jump Shot
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,9,4,0:09:59,0:02:01,0:00:05,18,PHX,shot,,,,,,,,,,Torrey Craig,2,,,made,,dunk,0,0,0,25.0,5.0,Craig Tip Dunk Shot (2 PTS)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,9,4,0:09:59,0:02:01,0:00:00,19,PHX,rebound,,,,,,,,,,Torrey Craig,,,,,,rebound offensive,,,,,,Craig REBOUND (Off:1 Def:0)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,9,4,0:09:45,0:02:15,0:00:14,20,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,3pt jump shot,26,157,201,40.7,68.9,MISS Hield 26' 3PT Jump Shot
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,9,4,0:09:43,0:02:17,0:00:02,21,PHX,rebound,,,,,,,,,,Devin Booker,,,,,,rebound defensive,,,,,,Booker REBOUND (Off:0 Def:2)
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,9,4,0:09:32,0:02:28,0:00:11,22,PHX,shot,,,,,,,,,,Chris Paul,0,,,missed,,fadeaway jumper,18,114,142,13.6,19.200000000000003,MISS Paul 18' Fadeaway Jumper
22200836,2022-23 Regular Season,2023-02-10,Deandre Ayton,Devin Booker,Chris Paul,Josh Okogie,Torrey Craig,Myles Turner,Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Buddy Hield,1,9,4,0:09:29,0:02:31,0:00:03,23,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
