game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,0,0,0:12:00,0:00:00,0:00:00,2,MIA,jump ball,,Nikola Jokic,Bam Adebayo,,,,,,,Bam Adebayo,,Jimmy Butler,,,,jump ball,,,,,,Jump Ball Adebayo vs. Jokic: Tip to Butler
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,0,3,0:11:41,0:00:19,0:00:19,3,MIA,shot,Jimmy Butler,,,,,,,,,Max Strus,3,,,made,,3pt pullup jump shot,26,-71,245,17.9,64.5,Strus 26' 3PT Pullup Jump Shot (3 PTS) (Butler 1 AST)
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,2,3,0:11:19,0:00:41,0:00:22,4,DEN,shot,,,,,,,,,,Nikola Jokic,2,,,made,,driving layup,5,40,29,21.0,7.9,Jokic 5' Driving Layup (2 PTS)
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,2,3,0:11:08,0:00:52,0:00:11,5,MIA,shot,,,,,,,,,,Bam Adebayo,0,,,missed,,driving floating jump shot,10,7,100,25.7,79.0,MISS Adebayo 10' Driving Floating Jump Shot
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,2,3,0:11:07,0:00:53,0:00:01,6,MIA,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,HEAT Rebound
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,2,6,0:11:03,0:00:57,0:00:04,7,MIA,shot,Jimmy Butler,,,,,,,,,Gabe Vincent,3,,,made,,3pt jump shot,25,-125,219,12.5,67.1,Vincent 25' 3PT Jump Shot (3 PTS) (Butler 2 AST)
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,5,6,0:10:39,0:01:21,0:00:24,8,DEN,shot,,,,,,,,,,Michael Porter Jr.,3,,,made,,3pt jump shot,25,181,174,6.899999999999999,22.400000000000002,Porter Jr. 25' 3PT Jump Shot (3 PTS)
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,5,6,0:10:27,0:01:33,0:00:12,9,MIA,shot,,,,,,,,,,Bam Adebayo,0,,,missed,,jump shot,13,4,129,25.4,76.1,MISS Adebayo 13' Jump Shot
22200861,2022-23 Regular Season,2023-02-13,Nikola Jokic,Michael Porter Jr.,Kentavious Caldwell-Pope,Vlatko Cancar,Bruce Brown,Bam Adebayo,Jimmy Butler,Max Strus,Gabe Vincent,Caleb Martin,1,5,6,0:10:23,0:01:37,0:00:04,10,DEN,rebound,,,,,,,,,,Kentavious Caldwell-Pope,,,,,,rebound defensive,,,,,,Caldwell-Pope REBOUND (Off:0 Def:1)
