player,team,TotMin,TotalGames,AvgMin
Aaron Gordon,ORL,552,19,29.1
Aaron Holiday,IND,403,20,20.1
Aaron Nesmith,BOS,115,9,12.8
Abdel Nader,PHX,130,7,18.6
Adam Mokoka,CHI,41,6,6.8
Al Horford,OKC,297,11,27
Alec Burks,NYK,265,10,26.5
Aleksej Pokusevski,OKC,276,16,17.2
Alex Caruso,LAL,311,17,18.3
Alex Len,TOR,76,7,10.9
Alex Len,WAS,68,5,13.6
Alfonzo McKinnie,LAL,35,11,3.2
Amir Coffey,LAC,88,15,5.9
Andre Drummond,CLE,570,19,30
Andre Iguodala,MIA,380,18,21.1
Andrew Wiggins,GSW,628,20,31.4
Anfernee Simons,POR,254,16,15.9
Anthony Davis,LAL,628,19,33.1
Anthony Edwards,MIN,519,20,26
Anthony Gill,WAS,60,8,7.5
Anzejs Pasecniks,WAS,6,1,6
Aron Baynes,TOR,302,17,17.8
Ashton Hagans,MIN,4,2,2
Austin Rivers,NYK,394,16,24.6
Avery Bradley,MIA,198,9,22
Bam Adebayo,MIA,596,18,33.1
Ben McLemore,HOU,194,11,17.6
Ben Simmons,PHI,621,19,32.7
Bismack Biyombo,CHA,471,19,24.8
Blake Griffin,DET,474,15,31.6
Boban Marjanovic,DAL,102,14,7.3
Bobby Portis,MIL,438,20,21.9
Bogdan Bogdanovic,ATL,213,9,23.7
Bojan Bogdanovic,UTA,603,20,30.1
Bol Bol,DEN,56,10,5.6
Brad Wanamaker,GSW,330,20,16.5
Bradley Beal,WAS,537,15,35.8
Brandon Clarke,MEM,407,14,29.1
Brandon Goodwin,ATL,224,17,13.2
Brandon Ingram,NOP,664,19,34.9
Brian Bowen II,IND,5,1,5
Brodric Thomas,HOU,24,4,6
Brook Lopez,MIL,546,20,27.3
Bruce Brown,BKN,317,18,17.6
Bruno Caboclo,HOU,36,6,6
Bruno Fernando,ATL,105,11,9.5
Bryn Forbes,MIL,323,20,16.1
Buddy Hield,SAC,688,20,34.4
CJ Elleby,POR,43,7,6.1
CJ McCollum,POR,440,13,33.8
Caleb Martin,CHA,261,18,14.5
Cam Reddish,ATL,462,16,28.9
Cameron Johnson,PHX,467,18,25.9
Cameron Payne,PHX,227,13,17.5
Caris LeVert,BKN,334,12,27.8
Carmelo Anthony,POR,458,18,25.4
Carsen Edwards,BOS,64,7,9.1
Cassius Stanley,IND,23,8,2.9
Cassius Winston,WAS,43,5,8.6
Cedi Osman,CLE,606,21,28.9
Chandler Hutchison,CHI,60,6,10
Chimezie Metu,SAC,62,9,6.9
Chris Boucher,TOR,449,20,22.4
Chris Chiozza,BKN,90,8,11.2
Chris Paul,PHX,587,18,32.6
Chris Silva,MIA,53,6,8.8
Christian Wood,HOU,462,14,33
Chuma Okeke,ORL,91,5,18.2
Clint Capela,ATL,508,17,29.9
Coby White,CHI,644,19,33.9
Cody Martin,CHA,127,12,10.6
Cody Zeller,CHA,192,8,24
Cole Anthony,ORL,561,21,26.7
Collin Sexton,CLE,555,16,34.7
Cory Joseph,SAC,385,20,19.2
Cristiano Felicio,CHI,18,3,6
D'Angelo Russell,MIN,515,17,30.3
D.J. Augustin,MIL,319,19,16.8
D.J. Wilson,MIL,81,8,10.1
Dakota Mathias,PHI,123,8,15.4
Damian Jones,PHX,42,5,8.4
Damian Lillard,POR,682,19,35.9
Damion Lee,GSW,372,20,18.6
Damyean Dotson,CLE,413,19,21.7
Daniel Gafford,CHI,248,17,14.6
Daniel Oturu,LAC,42,10,4.2
Daniel Theis,BOS,417,18,23.2
Danilo Gallinari,ATL,127,8,15.9
Danny Green,PHI,586,21,27.9
Dante Exum,CLE,116,6,19.3
Danuel House Jr.,HOU,191,7,27.3
Dario Saric,PHX,132,7,18.9
Darius Bazley,OKC,533,18,29.6
Darius Garland,CLE,416,13,32
Darius Miller,OKC,14,3,4.7
David Nwaba,HOU,384,17,22.6
Davis Bertans,WAS,320,13,24.6
De'Aaron Fox,SAC,646,20,32.3
De'Andre Hunter,ATL,579,18,32.2
De'Anthony Melton,MEM,171,8,21.4
DeAndre Jordan,BKN,430,21,20.5
DeAndre' Bembry,TOR,88,11,8
DeMar DeRozan,SAS,603,18,33.5
DeMarcus Cousins,HOU,263,15,17.5
Dean Wade,CLE,154,16,9.6
Deandre Ayton,PHX,574,18,31.9
Deividas Sirvydis,DET,3,3,1
Dejounte Murray,SAS,615,20,30.8
Delon Wright,DET,542,20,27.1
Deni Avdija,WAS,270,12,22.5
Dennis Schroder,LAL,674,22,30.6
Dennis Smith Jr.,NYK,28,3,9.3
Denzel Valentine,CHI,254,15,16.9
Derrick Favors,UTA,292,18,16.2
Derrick Jones Jr.,POR,466,17,27.4
Derrick Rose,DET,342,15,22.8
Derrick White,SAS,45,2,22.5
Desmond Bane,MEM,306,14,21.9
Devin Booker,PHX,500,14,35.7
Devin Vassell,SAS,340,19,17.9
Devon Dotson,CHI,10,1,10
Devontae Cacok,LAL,2,1,2
Devonte' Graham,CHA,723,21,34.4
Dillon Brooks,MEM,408,14,29.1
Domantas Sabonis,IND,736,20,36.8
Donovan Mitchell,UTA,596,18,33.1
Donte DiVincenzo,MIL,503,20,25.1
Dorian Finney-Smith,DAL,315,11,28.6
Doug McDermott,IND,502,20,25.1
Draymond Green,GSW,426,16,26.6
Drew Eubanks,SAS,62,4,15.5
Duncan Robinson,MIA,678,20,33.9
Dwayne Bacon,ORL,493,21,23.5
Dwight Howard,PHI,371,21,17.7
Dwight Powell,DAL,223,12,18.6
Dylan Windler,CLE,129,8,16.1
E'Twaun Moore,PHX,58,5,11.6
Ed Davis,MIN,255,17,15
Edmond Sumner,IND,119,11,10.8
Elfrid Payton,NYK,611,22,27.8
Elijah Hughes,UTA,27,6,4.5
Enes Kanter,POR,426,19,22.4
Eric Bledsoe,NOP,541,18,30.1
Eric Gordon,HOU,395,14,28.2
Eric Paschall,GSW,337,19,17.7
Evan Fournier,ORL,340,12,28.3
Facundo Campazzo,DEN,238,19,12.5
Frank Jackson,DET,35,6,5.8
Frank Kaminsky,PHX,148,12,12.3
Frank Ntilikina,NYK,42,4,10.5
Fred VanVleet,TOR,718,20,35.9
Furkan Korkmaz,PHI,181,10,18.1
Gabe Vincent,MIA,250,12,20.8
Garrett Temple,CHI,475,18,26.4
Garrison Mathews,WAS,197,10,19.7
Gary Clark,ORL,372,18,20.7
Gary Harris,DEN,553,18,30.7
Gary Trent Jr.,POR,458,17,26.9
George Hill,OKC,369,14,26.4
Georges Niang,UTA,240,20,12
Giannis Antetokounmpo,MIL,626,19,32.9
Glenn Robinson III,SAC,250,15,16.7
Goga Bitadze,IND,54,6,9
Goran Dragic,MIA,400,15,26.7
Gordon Hayward,CHA,718,20,35.9
Gorgui Dieng,MEM,194,11,17.6
Grant Williams,BOS,261,15,17.4
Grayson Allen,MEM,258,12,21.5
Hamidou Diallo,OKC,365,18,20.3
Harrison Barnes,SAC,710,20,35.5
Harry Giles III,POR,170,15,11.3
Hassan Whiteside,SAC,183,13,14.1
Ignas Brazdeikis,NYK,7,4,1.8
Immanuel Quickley,NYK,354,18,19.7
Isaac Bonga,WAS,197,13,15.2
Isaac Okoro,CLE,566,16,35.4
Isaiah Hartenstein,DEN,116,13,8.9
Isaiah Joe,PHI,186,11,16.9
Isaiah Roby,OKC,297,15,19.8
Isaiah Stewart,DET,317,18,17.6
Ish Smith,WAS,235,12,19.6
Ivica Zubac,LAC,398,21,19
JJ Redick,NOP,319,16,19.9
Ja Morant,MEM,174,6,29
JaKarr Sampson,IND,59,8,7.4
JaMychal Green,DEN,337,16,21.1
JaVale McGee,CLE,261,16,16.3
Jaden McDaniels,MIN,225,14,16.1
Jae Crowder,PHX,527,18,29.3
Jae'Sean Tate,HOU,461,18,25.6
Jahlil Okafor,DET,120,12,10
Jahmi'us Ramsey,SAC,16,4,4
Jake Layman,MIN,228,15,15.2
