player,Position,Experience,Birth,Age,Salary
Stephen Curry,PG,11,3/14/1988,32,43006362
Chris Paul,PG,15,5/6/1985,35,41358814
Russell Westbrook,PG,12,11/12/1988,32,41358814
James Harden,PG-SG,11,8/26/1989,31,41254920
John Wall,PG,9,9/6/1990,30,41254920
Kevin Durant,PF,12,9/29/1988,32,40108950
LeBron James,PG,17,12/30/1984,35,39219566
Paul George,SF,10,5/2/1990,30,35450412
Mike Conley,PG,13,10/11/1987,33,34502132
Jimmy Butler,SF,9,9/14/1989,31,34379100
Kawhi Leonard,SF,9,6/29/1991,29,34379100
Kemba Walker,PG,9,5/8/1990,30,34379100
Tobias Harris,PF,9,7/15/1992,28,34358850
Blake Griffin,PF,10,3/16/1989,31,33900241
Kyrie Irving,PG,9,3/23/1992,28,33722850
Khris Middleton,SF,8,8/12/1991,29,33051724
Anthony Davis,PF,8,3/11/1993,27,32742000
Damian Lillard,PG,8,7/15/1990,30,31626953
Kevin Love,PF,12,9/7/1988,32,31258256
Ben Simmons,PG,3,7/20/1996,24,30559200
Pascal Siakam,PF,4,4/2/1994,26,30559200
Kyle Lowry,PG,14,3/25/1986,34,30500000
Steven Adams,C,7,7/20/1993,27,29592695
Andrew Wiggins,PF,6,2/23/1995,25,29542010
Joel Embiid,C,4,3/16/1994,26,29542010
Nikola Jokic,C,5,2/19/1995,25,29542010
Devin Booker,SG,5,10/30/1996,24,29467800
Karl-Anthony Towns,C,5,11/15/1995,25,29467800
Kristaps Porzingis,C,4,8/2/1995,25,29467800
CJ McCollum,SG,7,9/19/1991,29,29354152
Andre Drummond,C,8,8/10/1993,27,28751774
Bradley Beal,SG,8,6/28/1993,27,28751774
D'Angelo Russell,PG,5,2/23/1996,24,28649250
Gordon Hayward,SF,10,3/23/1990,30,28500000
Otto Porter Jr.,SF-PF,7,6/3/1993,27,28489239
DeMar DeRozan,PF,11,8/7/1989,31,27739975
Giannis Antetokounmpo,PF,7,12/6/1994,26,27528088
Rudy Gobert,C,7,6/26/1992,28,27525281
Al Horford,C,13,6/3/1986,34,27500000
Brandon Ingram,SF,4,9/2/1997,23,27285000
Jamal Murray,PG,4,2/23/1997,23,27285000
Jrue Holiday,PG,11,6/12/1990,30,27026011
Nikola Vucevic,C,9,10/24/1990,30,26000000
Jaylen Brown,SG,4,10/24/1996,24,25035118
Buddy Hield,SG,4,12/17/1992,28,24931817
Draymond Green,PF,8,3/4/1990,30,22246956
Harrison Barnes,PF,8,5/30/1992,28,22215909
Fred VanVleet,SG,4,2/25/1994,26,21250000
Victor Oladipo,SG,7,5/4/1992,28,21000000
Malcolm Brogdon,PG,4,12/11/1992,28,20700000
Julius Randle,PF,6,11/29/1994,26,19845000
Domantas Sabonis,PF,4,5/3/1996,24,19800000
Gary Harris,SG,6,9/14/1994,26,19610714
Danilo Gallinari,PF,11,8/8/1988,32,19500000
Zach LaVine,SG,6,3/10/1995,25,19500000
Jerami Grant,SF,6,3/12/1994,26,19050000
Tim Hardaway Jr.,SG,7,3/16/1992,28,18975000
Terry Rozier,SG,5,3/17/1994,26,18900000
Aaron Gordon,PF,6,9/16/1995,25,18136364
Bogdan Bogdanovic,SG,3,8/18/1992,28,18000000
Clint Capela,C,6,5/18/1994,26,18000000
Goran Dragic,PG,12,5/6/1986,34,18000000
Myles Turner,C,5,3/24/1996,24,18000000
Bojan Bogdanovic,SF,3,8/18/1992,28,17850000
LaMarcus Aldridge,C,14,7/19/1985,35,17628340
Gorgui Dieng,C,7,1/18/1990,30,17587688
Evan Fournier,SF-SG,8,10/29/1992,28,17150000
Ricky Rubio,PG,9,10/21/1990,30,17000000
Eric Bledsoe,SG,10,12/9/1989,31,16875000
Eric Gordon,SG,12,12/25/1988,31,16869267
Caris LeVert,SG,4,8/25/1994,26,16203704
Joe Harris,SF,6,9/6/1991,29,16071429
James Johnson,PF,11,2/20/1987,33,16047100
Dennis Schroder,SG,7,9/15/1993,27,15500000
Cody Zeller,C,7,10/5/1992,28,15415730
Danny Green,SF,11,6/22/1987,33,15365853
Andre Iguodala,SF,16,1/28/1984,36,15000000
Davis Bertans,PF,4,11/12/1992,28,15000000
Jonas Valanciunas,C,8,5/6/1992,28,15000000
Marcus Morris Sr.,PF,9,9/2/1989,31,14883721
Rudy Gay,PF,14,8/17/1986,34,14500000
Kelly Oubre Jr.,SF,5,12/9/1995,25,14375000
Dejounte Murray,PG,3,9/19/1996,24,14286000
Will Barton,SF,8,1/6/1991,29,13723214
Thaddeus Young,PF,13,6/21/1988,32,13545000
Patty Mills,PG,14,2/10/1985,35,13535714
Terrence Ross,SG,8,2/5/1991,29,13500000
Malik Beasley,SG,4,11/26/1996,24,13425895
Patrick Beverley,PG,8,7/12/1988,32,13333333
Christian Wood,C,4,9/27/1995,25,13015874
JJ Redick,SG,14,6/24/1984,36,13013700
Justise Winslow,SF,5,3/26/1996,24,13000000
