Team,Possession,Points,Opp. Points,Assists,Opp. Assists,Rebounds,Opp. Rebounds,Blocks,Opp. Blocks,Steals,Opp. Steals,Turnovers,Opp. Turnovers,All FGM,All FGA,All FG%,Opp. All FGM,Opp. All FGA,Opp. All FG%,3FGM,3FGA,3FG%,Opp. 3FGM,Opp. 3FGA,Opp. 3FG%,Free Throws,Possession - Rank,Points - Rank,Opp. Points - Rank,Assists - Rank,Opp. Assists - Rank,Rebounds - Rank,Opp. Rebounds - Rank,Blocks - Rank,Opp. Blocks - Rank,Steals - Rank,Opp. Steals - Rank,Turnovers - Rank,Opp. Turnovers - Rank,All FGM - Rank,All FGA - Rank,All FG% - Rank,Opp. All FGM - Rank,Opp. All FGA - Rank,Opp. All FG% - Rank,3FGM - Rank,3FGA - Rank,3FG% - Rank,Opp. 3FGM - Rank,Opp. 3FGA - Rank,Opp. 3FG% - Rank,Free Throws - Rank
LAC,96.94,114.01,107.83,24.39,22.92,44.17,41.19,4.1,4.22,7.07,7.08,13.18,12.85,3009,6242,48.21,2887,6223,46.39,1027,2497,41.13,833,2341,35.58,83.92,28,10,4,17,3,17,2,29,5,20,7,7,22,12,25,5,9,7,13,6,14,1,6,7,6,1
PHX,97.24,115.28,109.46,26.93,22.94,42.94,42.69,4.33,3.57,7.18,6.93,12.54,13.62,3118,6356,49.06,2916,6248,46.67,940,2490,37.75,836,2359,35.44,83.44,26,7,7,3,4,23,9,25,1,19,5,4,17,2,16,2,11,9,15,13,15,7,7,10,5,2
POR,98.41,116.11,114.32,21.26,24.92,44.54,45.4,5.06,4.62,6.89,6.11,11.1,12.39,2973,6558,45.33,3007,6355,47.32,1132,2939,38.52,928,2494,37.21,82.28,19,5,23,30,16,12,21,13,10,25,1,1,28,16,4,23,18,15,25,2,2,6,19,17,20,3
TOR,99.19,111.26,111.74,24.1,26,41.54,45.88,5.43,5.58,8.61,6.62,13.22,16.15,2859,6382,44.8,2809,6098,46.06,1041,2831,36.77,1001,2642,37.89,81.51,13,19,15,20,26,28,23,4,27,4,4,8,1,23,13,27,2,1,10,4,4,15,26,24,24,4
ATL,97.58,113.69,111.38,24.12,24.36,45.61,42.68,4.74,5.07,6.99,7.72,13.22,12.32,2937,6281,46.76,2971,6418,46.29,895,2402,37.26,858,2460,34.88,81.2,23,13,12,19,11,6,8,18,18,24,21,9,29,19,23,17,14,19,12,17,19,12,9,14,3,5
BKN,99.51,118.57,114.07,26.79,24.01,44.43,43.08,5.26,4.58,6.72,7.62,13.53,12.62,3106,6290,49.38,3017,6572,45.91,1020,2600,39.23,951,2607,36.48,80.41,12,2,21,7,8,14,12,7,9,27,16,13,26,6,21,1,20,25,7,7,12,2,22,23,14,6
DEN,97.09,115.06,110.12,26.85,25.89,44.44,41.19,4.49,4.5,8.08,7.5,13.5,14.08,3114,6422,48.49,2883,6149,46.89,927,2462,37.65,934,2570,36.34,80.3,27,8,8,5,24,13,1,21,7,8,12,12,14,4,9,4,7,3,18,15,16,8,20,22,11,7
UTA,98.54,116.42,107.17,23.65,22.28,48.24,42.61,5.14,3.93,6.6,7.69,14.21,11.5,2971,6344,46.83,2943,6580,44.73,1205,3098,38.9,783,2292,34.16,79.88,18,4,3,23,1,1,7,9,3,29,20,18,30,17,18,16,12,27,2,1,1,5,1,3,2,8
IND,101.54,115.31,115.35,27.4,26.07,42.67,46.79,6.39,5.29,8.49,7.43,13.54,14.81,3115,6567,47.43,3076,6576,46.78,889,2445,36.36,828,2265,36.56,79.24,5,6,25,2,28,26,25,1,23,5,11,14,8,3,3,11,26,26,16,18,18,17,4,2,16,9
SAS,98.9,111.08,112.82,24.43,24.78,43.88,47.4,5.08,5.17,7.01,6.31,11.4,13.17,3014,6519,46.23,3055,6469,47.23,716,2047,34.98,885,2349,37.68,79.17,15,20,19,16,14,18,29,10,19,22,2,2,19,11,7,20,24,24,22,30,30,24,11,8,23,10
CHI,99.01,110.68,111.57,26.76,24.12,44.92,42.14,4.21,5.06,6.69,8.5,15.1,12.74,3035,6378,47.59,2983,6312,47.26,904,2445,36.97,829,2329,35.59,79.09,14,21,14,8,10,11,5,27,17,28,28,27,24,10,14,9,17,13,23,16,17,13,5,5,7,11
MIA,96.62,108.07,108.04,26.32,25.79,41.49,42.88,3.94,3.99,7.92,7.51,14.08,15.07,2824,6028,46.85,2815,6135,45.88,932,2605,35.78,1027,2814,36.5,79.01,29,25,5,9,23,29,10,30,4,9,13,17,5,26,30,15,3,2,6,14,11,19,27,29,15,12
GSW,102.2,113.71,112.65,27.65,23.76,43.01,47.29,4.75,4.32,8.17,7.88,15.01,15.06,2973,6346,46.85,2897,6408,45.21,1048,2789,37.58,891,2481,35.91,78.49,3,12,18,1,7,22,27,17,6,6,22,26,6,15,17,14,10,17,3,3,5,9,12,16,8,13
NYK,95.93,107.03,104.72,21.4,23.56,45.15,44.1,5.07,5.43,7.04,6.54,12.93,12.75,2839,6226,45.6,2730,6210,43.96,847,2163,39.16,864,2565,33.68,78.42,30,26,1,29,6,9,16,11,25,21,3,6,23,24,26,21,1,5,1,21,27,3,10,21,1,14
